  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.1000000      0.5000000E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       1.148683      -1.148683    
    31  0.3707874E-01  0.1133357E-01   0.000000     -0.6292126E-01  0.6333570E-02   0.000000      0.7080000E-01   0.000000      0.1138982       0.000000      0.1138982       0.000000      0.1138982       0.000000      0.7630000E-01  0.1348953E-01  0.6281047E-01  0.6852158E-16  0.6518327     -0.6518327    
    60  0.2022778E-01  0.4967771E-03   0.000000     -0.1685096E-01 -0.1083679E-01   0.000000      0.6800000E-02   0.000000      0.2401355E-01   0.000000      0.2401355E-01   0.000000      0.2401355E-01   0.000000      0.9260000E-01  0.1047421E-01  0.8212579E-01 -0.9367507E-16  0.4671287     -0.4671287    
    91  0.3050458E-01  0.1124116E-02   0.000000      0.1027681E-01  0.6273388E-03   0.000000      0.2180000E-01   0.000000      0.1940492E-02   0.000000      0.1940492E-02   0.000000      0.1940492E-02   0.000000      0.1158000      0.8955362E-02  0.1068446     -0.1398621E-16  0.5849760     -0.5849760    
   121  0.6687182E-01  0.1057654E-01   0.000000      0.3636724E-01  0.9452429E-02   0.000000      0.1452000       0.000000      0.7994117E-01   0.000000      0.7994117E-01   0.000000      0.7994117E-01   0.000000      0.1094000      0.1943916E-01  0.8996084E-01 -0.9540979E-16  0.9095312     -0.9095312    
   152  0.2473707E-01  0.1761201E-02   0.000000     -0.4213474E-01 -0.8815343E-02   0.000000      0.5680000E-01   0.000000      0.8171525E-01   0.000000      0.8171525E-01   0.000000      0.8171525E-01   0.000000      0.1674000      0.2603484E-01  0.1413652     -0.1040834E-15  0.5213149     -0.5213149    
   182  0.8230020E-02  0.1072024E-04   0.000000     -0.1650705E-01 -0.1750481E-02   0.000000      0.6000000E-03   0.000000      0.2945566E-02   0.000000      0.2945566E-02   0.000000      0.2945566E-02   0.000000      0.2736000      0.1591197E-01  0.2576880     -0.1040834E-16  0.2886184     -0.2886184    
   213  0.2862854E-02  0.9310672E-07   0.000000     -0.5367166E-02 -0.1062713E-04   0.000000       0.000000       0.000000      0.1955052E-04   0.000000      0.1955052E-04   0.000000      0.1955052E-04   0.000000      0.2647000      0.5358242E-02  0.2593418      0.3642242E-17  0.1662427     -0.1662427    
   244  0.1410726E-02  0.3772864E-08   0.000000     -0.1452129E-02 -0.8933386E-07   0.000000      0.4000000E-03   0.000000      0.1856344E-06   0.000000      0.1856344E-06   0.000000      0.1856344E-06   0.000000      0.2402000      0.1852032E-02  0.2383480     -0.6082491E-18  0.1155003     -0.1155003    
   274  0.1504258E-01  0.5813170E-04   0.000000      0.1363186E-01  0.5812793E-04   0.000000      0.1640000E-01   0.000000      0.1076123E-04   0.000000      0.1076123E-04   0.000000      0.1076123E-04   0.000000      0.1636000      0.2699254E-02  0.1609007      0.2080313E-17  0.3980298     -0.3980298    
   305  0.1901212E-01  0.2571725E-03   0.000000      0.3969534E-02  0.1990408E-03   0.000000      0.1300000E-01   0.000000      0.8171790E-03   0.000000      0.8171790E-03   0.000000      0.8171790E-03   0.000000      0.1286000      0.8014247E-02  0.1205858       0.000000      0.4516775     -0.4516775    
   335  0.3573603E-01  0.7938052E-02   0.000000      0.1672391E-01  0.7680879E-02   0.000000      0.4840000E-01   0.000000      0.1655215E-01   0.000000      0.1655215E-01   0.000000      0.1655215E-01   0.000000      0.6600000E-01  0.7443063E-02  0.5855694E-01  0.1821460E-16  0.6385913     -0.6385913    
   366  0.3960463E-01  0.2262029E-01   0.000000      0.3868602E-02  0.1468223E-01   0.000000      0.2014000       0.000000      0.1701323       0.000000      0.1701323       0.000000      0.1701323       0.000000      0.6580000E-01  0.1271683E-01  0.5308317E-01 -0.1769418E-15  0.6762366     -0.6762366    
   397  0.3209185E-01  0.5282577E-02   0.000000     -0.7512776E-02 -0.1733771E-01   0.000000      0.8920000E-01   0.000000      0.9784805E-01   0.000000      0.9784805E-01   0.000000      0.9784805E-01   0.000000      0.9050000E-01  0.1620243E-01  0.7429757E-01 -0.8326673E-16  0.6016097     -0.6016097    
   425  0.2883097E-01  0.2356469E-02   0.000000     -0.3260882E-02 -0.2926108E-02   0.000000      0.4940000E-01   0.000000      0.4730294E-01   0.000000      0.4730294E-01   0.000000      0.4730294E-01   0.000000      0.5740000E-01  0.8284048E-02  0.4911595E-01  0.1691355E-16  0.5670525     -0.5670525    
   456  0.3410816E-01  0.7235799E-02   0.000000      0.5277190E-02  0.4879330E-02   0.000000      0.1298000       0.000000      0.1089987       0.000000      0.1089987       0.000000      0.1089987       0.000000      0.6200000E-01  0.1064475E-01  0.5135525E-01  0.6938894E-17  0.6222682     -0.6222682    
   486  0.2043337E-01  0.4471424E-03   0.000000     -0.1367479E-01 -0.6788656E-02   0.000000      0.6000000E-03   0.000000      0.1487027E-01   0.000000      0.1487027E-01   0.000000      0.1487027E-01   0.000000      0.6000000E-01  0.6193173E-02  0.5380683E-01 -0.8673617E-18  0.4697028     -0.4697028    
   517  0.1504708E-01  0.1230376E-03   0.000000     -0.5386298E-02 -0.3241048E-03   0.000000      0.6000000E-03   0.000000      0.1853535E-02   0.000000      0.1853535E-02   0.000000      0.1853535E-02   0.000000      0.6200000E-01  0.4456868E-02  0.5754313E-01  0.2125036E-16  0.3980937     -0.3980937    
   547  0.1164128E-01  0.3829235E-04   0.000000     -0.3405791E-02 -0.8474530E-04   0.000000      0.2000000E-03   0.000000      0.4774617E-03   0.000000      0.4774617E-03   0.000000      0.4774617E-03   0.000000      0.6000000E-01  0.3213074E-02  0.5678693E-01 -0.1002887E-16  0.3469669     -0.3469669    
   578  0.8967769E-02  0.1177112E-04   0.000000     -0.2673516E-02 -0.2652123E-04   0.000000       0.000000       0.000000      0.1524303E-03   0.000000      0.1524303E-03   0.000000      0.1524303E-03   0.000000      0.6200000E-01  0.2547607E-02  0.5945239E-01  0.7826584E-17  0.3020304     -0.3020304    
   609  0.6963623E-02  0.3762308E-05   0.000000     -0.2004145E-02 -0.8008807E-05   0.000000       0.000000       0.000000      0.4757531E-04   0.000000      0.4757531E-04   0.000000      0.4757531E-04   0.000000      0.6200000E-01  0.1964579E-02  0.6003542E-01  0.9796783E-17  0.2642722     -0.2642722    
   639  0.5718741E-01  0.3751670E-01   0.000000      0.5022378E-01  0.3751294E-01   0.000000      0.1216000       0.000000      0.2867013E-01   0.000000      0.2867013E-01   0.000000      0.2867013E-01   0.000000      0.6000000E-01  0.5193144E-02  0.5480686E-01 -0.2081668E-16  0.8317915     -0.8317915    
   670  0.3070280E-01  0.3921416E-02   0.000000     -0.2648461E-01 -0.3359529E-01   0.000000      0.6080000E-01   0.000000      0.1102004       0.000000      0.1102004       0.000000      0.1102004       0.000000      0.6200000E-01  0.1067951E-01  0.5132049E-01 -0.1110223E-15  0.5870720     -0.5870720    
   700  0.2754949E-01  0.2183871E-02   0.000000     -0.3153305E-02 -0.1737546E-02   0.000000      0.8520000E-01   0.000000      0.8058150E-01   0.000000      0.8058150E-01   0.000000      0.8058150E-01   0.000000      0.6000000E-01  0.9509349E-02  0.5049065E-01 -0.2428613E-16  0.5530402     -0.5530402    
   731  0.3507267E-01  0.7219040E-02   0.000000      0.7523178E-02  0.5035169E-02   0.000000      0.2512000       0.000000      0.2270276       0.000000      0.2270276       0.000000      0.2270276       0.000000      0.6200000E-01  0.1161405E-01  0.5038595E-01 -0.3816392E-16  0.6319763     -0.6319763    
 
 total                                                                                             1.370200       0.000000       1.210017       0.000000       1.210017       0.000000       1.210017       0.000000       2.523900      0.2228913       2.301009     -0.6283799E-15
