ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp001	1319.291	8763.846	1	  4.8545880E+00	  9.9839748E-02	  4.4877130E+00	  2.5202257E-04
pp002	2061.07	8712.688	1	  4.9023290E+00	  9.9514668E-02	  4.6410790E+00	  2.4077760E-04
pp003	1677.391	9147.524	1	  4.9336090E+00	  9.9770373E-02	  4.7030860E+00	  2.4857463E-04
pp004	1677.391	8226.696	1	  4.7981120E+00	  9.9790290E-02	  4.3372930E+00	  2.4513724E-04
pp005	1319.291	3136.562	1	  5.2991230E+00	  9.5260368E-02	  1.1397400E+01	  1.7628086E-04
pp006	603.092	3724.869	1	  2.7397140E+00	  8.9020259E-02	  1.0332250E+00	  1.9001378E-04
pp007	603.092	3059.826	1	  2.6364590E+00	  9.0956773E-02	  9.3220920E-01	  1.9529932E-04
pp008	1268.134	3750.447	1	  5.4073330E+00	  9.7203663E-02	  8.9981810E+00	  1.7531536E-04
pp009	1779.706	3750.447	1	  5.1119550E+00	  1.0014930E-01	  5.9581620E+00	  1.9254486E-04
pp010	2316.855	3520.24	1	  5.0593970E+00	  9.9985379E-02	  5.2366180E+00	  1.9320382E-04
pp011	2572.641	3929.497	1	  5.0880430E+00	  1.0045680E-01	  4.9346300E+00	  1.9229861E-04
pp012	2035.491	4185.283	1	  4.9629560E+00	  1.0537820E-01	  4.8309310E+00	  2.4470463E-04
pp013	3825.991	4313.176	1	  7.2437540E+00	  1.9308070E-01	  8.4089390E+00	  1.7627285E-04
pp014	3595.784	4082.969	1	  5.4196790E+00	  1.0801570E-01	  1.5063960E+00	  1.6278658E-04
pp015	4158.512	4082.969	1	  6.3110320E+00	  1.2957180E-01	  1.1269260E+01	  1.7308525E-04
pp016	3928.305	3776.026	1	  4.8511540E+00	  1.0094810E-01	  2.5173000E+00	  1.6251372E-04
pp017	3928.305	3110.983	1	  4.9204200E+00	  9.9956306E-02	  4.2867180E+00	  1.8371555E-04
pp018	4772.397	3008.669	1	  4.9522630E+00	  1.0012510E-01	  4.4693100E+00	  2.1845835E-04
pp019	4158.512	3366.769	1	  4.8534740E+00	  9.9064119E-02	  3.8270510E+00	  1.7749596E-04
pp020	4337.562	2676.148	1	  5.0623210E+00	  1.0483010E-01	  4.4527780E+00	  2.2810713E-04
pp021	5974.59	9019.631	1	  4.3635550E+00	  8.9558673E-02	  2.4232020E+00	  2.0853014E-04
pp022	5590.911	9607.938	1	  4.3116690E+00	  9.3932431E-02	  2.7973850E+00	  2.2791330E-04
pp023	6383.847	8456.903	1	  4.9046370E+00	  7.9718493E-02	  9.2137180E+00	  1.5749048E-04
pp024	6562.897	8994.053	1	  4.9859730E+00	  8.5886526E-02	  5.3545730E+00	  1.8752586E-04
pp025	6204.797	7843.017	1	  4.7276730E+00	  9.6233734E-02	  3.7336490E+00	  1.5813086E-04
pp026	6716.368	7919.753	1	  5.0496240E+00	  9.6683099E-02	  6.1476470E+00	  1.8453853E-04
pp027	5846.697	8354.589	1	  4.4259520E+00	  9.5608559E-02	  2.6027190E+00	  2.0119977E-04
pp028	8711.496	8789.424	1	  5.5148390E+00	  1.0936990E-01	  6.0687420E+00	  2.2201437E-04
pp029	8327.818	8188.328	1	  5.1087250E+00	  8.8300300E-02	  7.4948370E+00	  2.1004538E-04
pp030	7163.993	7344.235	1	  6.0831950E+00	  9.7465335E-02	  5.4805610E+00	  1.7331131E-04
pp031	7586.039	7408.182	1	  5.0554810E+00	  9.2027279E-02	  5.1320840E+00	  1.7196560E-04
pp032	8020.875	7139.607	1	  4.9412890E+00	  8.9873935E-02	  4.4973300E+00	  1.7632473E-04
pp033	7624.407	6691.982	1	  4.7351190E+00	  9.7362958E-02	  2.9969340E+00	  1.3481440E-04
pp034	8148.768	6743.139	1	  4.9711250E+00	  9.5983008E-02	  5.5548470E+00	  1.5853224E-04
pp035	8481.289	7472.128	1	  5.0449550E+00	  8.9869713E-02	  4.6546450E+00	  2.0930301E-04
pp036	7074.468	6628.036	1	  4.7284820E+00	  9.9076070E-02	  3.0074240E+00	  1.5014871E-04
pp037	7586.039	6244.357	1	  4.6901200E+00	  9.5583827E-02	  3.0093120E+00	  1.1725465E-04
pp038	8289.45	6078.096	1	  5.4624160E+00	  9.6924135E-02	  7.2497050E+00	  1.6108344E-04
pp039	7790.668	7868.596	1	  5.2317280E+00	  8.5964056E-02	  7.6431390E+00	  1.9907362E-04
pp040	8903.335	7958.121	1	  5.1931800E+00	  1.0083450E-01	  5.2155030E+00	  2.3507172E-04
pp041	8864.967	9812.567	1	  5.3651270E+00	  1.2165380E-01	  5.2868930E+00	  1.5290822E-04
pp042	9261.435	9467.256	1	  2.3727340E+01	  2.6433040E-01	  9.7890220E+00	  1.5857963E-04
pp043	8353.396	9480.045	1	  3.8232710E+00	  9.9623949E-02	  3.2615910E+00	  1.9858668E-04
pp044	9146.332	8840.581	1	  9.5347380E+00	  1.7879950E-01	  7.5472690E+00	  2.1041331E-04
pp045	7681.959	5489.79	4	  6.6938770E+00	  1.0135130E-01	  5.4835680E+00	  2.0833375E-04
pp046	7234.334	4140.52	1	  4.8717020E+00	  1.0010770E-01	  3.9376170E+00	  2.1671657E-04
pp047	8206.319	4984.613	4	  5.2284240E+00	  1.6380440E-01	  6.9690200E+00	  2.0567980E-04
pp048	8462.105	5470.606	4	  6.1216870E+00	  1.0849320E-01	  5.9131380E+00	  2.3760836E-04
pp049	7963.323	5585.709	1	  5.0045960E+00	  9.8476859E-02	  7.8288750E+00	  2.2042283E-04
pp050	7726.721	5125.295	4	  1.4726700E+01	  1.7937800E-01	  7.8426190E+00	  2.0435583E-04
pp051	7061.679	5208.425	4	  1.2714520E+01	  1.5325920E-01	  2.0424540E+00	  1.7788794E-04
pp052	7061.679	4824.747	4	  1.9411680E+01	  2.0543710E-01	  1.7534520E+00	  1.9137290E-04
pp053	6588.475	1710.557	1	  5.0814820E+00	  1.0251070E-01	  7.0426140E+00	  2.9505759E-04
pp054	7074.468	1697.768	1	  4.7648650E+00	  1.0125970E-01	  3.0673590E+00	  2.8308576E-04
pp055	6850.656	1972.737	1	  4.9730700E+00	  1.0189730E-01	  4.6664400E+00	  2.8481535E-04
pp056	6844.261	1429.193	1	  4.8363450E+00	  1.0408080E-01	  5.0714480E+00	  2.9272955E-04
pp057	2457.537	2893.565	1	  4.9469300E+00	  1.0022080E-01	  5.3653120E+00	  1.6431209E-04
pp058	2802.848	2778.462	1	  4.8893820E+00	  9.9675361E-02	  4.8287820E+00	  1.8327760E-04
pp059	2917.952	3417.926	1	  5.0475430E+00	  1.0019340E-01	  4.6734860E+00	  1.6699214E-04
pp060	2035.491	2241.312	1	  5.1362300E+00	  1.0000850E-01	  4.5474380E+00	  1.8597957E-04
pp061	2559.852	2484.308	1	  4.8998300E+00	  9.9446036E-02	  4.4096790E+00	  1.8967260E-04
pp062	3154.553	2260.496	1	  4.9361750E+00	  9.3142631E-02	  4.1062670E+00	  1.7612801E-04
pp063	3458.299	1883.212	1	  5.0555830E+00	  9.9932870E-02	  1.0260020E+01	  1.8901055E-04
pp064	4238.445	1653.005	1	  4.3181010E+00	  2.3178950E-01	  7.3789390E+00	  1.6044863E-04
pp065	4251.234	1256.537	1	  5.0063320E+00	  1.1495580E-01	  8.7468800E+00	  2.4836675E-04
pp066	4558.177	1358.852	1	  5.1498250E+00	  1.2777430E-01	  4.7421210E+00	  2.4073141E-04
pp067	3381.563	1435.587	1	  5.1710600E+00	  1.0234650E-01	  8.2270720E+00	  2.0687938E-04
pp068	2217.738	1525.112	1	  4.8596810E+00	  9.9968478E-02	  5.6390720E+00	  1.8324289E-04
pp069	1552.696	1665.794	1	  4.7050450E+00	  9.9091454E-02	  4.7407660E+00	  2.1124622E-04
pp070	913.232	1218.17	1	  3.8416900E+00	  9.8001642E-02	  2.1090400E+00	  2.1025557E-04
pp071	1539.907	1103.066	1	  4.7294860E+00	  9.8619337E-02	  4.5952980E+00	  1.9730464E-04
pp072	1028.335	1729.741	1	  3.8106360E+00	  9.7933647E-02	  2.2077150E+00	  1.9679559E-04
pp073	2831.624	1013.541	1	  5.1821090E+00	  1.0026650E-01	  5.8489480E+00	  2.1294175E-04
pp074	2869.992	489.18	1	  5.2479680E+00	  1.0014880E-01	  6.6236890E+00	  2.2106320E-04
pp075	2946.727	1896.001	1	  4.9013500E+00	  9.7622917E-02	  3.7898200E+00	  1.9329310E-04
pp076	2946.727	1678.584	1	  5.0204510E+00	  9.9736892E-02	  5.4337450E+00	  2.1405399E-04
pp077	388.871	335.709	1	  3.6179450E+00	  9.6784673E-02	  2.6602790E+00	  2.3108275E-04
pp078	1284.121	284.552	1	  4.3595700E+00	  9.9549184E-02	  3.2248240E+00	  1.9176161E-04
pp079	2383.999	335.709	1	  5.2600520E+00	  1.0011650E-01	  6.5320370E+00	  2.0155598E-04
pp080	4097.763	386.866	1	  5.2722900E+00	  1.0060450E-01	  7.7765570E+00	  2.4496975E-04
pp081	5172.062	310.131	1	  5.0754890E+00	  1.0007240E-01	  5.5010640E+00	  2.7581207E-04
pp082	6911.405	514.759	1	  4.8614280E+00	  9.9700822E-02	  4.7152150E+00	  2.8265216E-04
pp083	8215.911	3763.237	1	  5.4921900E+00	  1.0622070E-01	  4.7637100E+00	  1.9885780E-04
pp084	7960.126	2535.466	1	  5.0121880E+00	  1.0247300E-01	  4.8699190E+00	  2.7088024E-04
pp085	7550.869	1384.43	1	  4.9619540E+00	  9.3570347E-02	  4.0242050E+00	  2.7456665E-04
pp086	5683.634	2126.209	1	  4.9868440E+00	  1.0042940E-01	  4.6525690E+00	  2.5536798E-04
pp087	5939.419	3302.822	1	  4.9312570E+00	  1.0002060E-01	  4.3606330E+00	  2.1222062E-04
pp088	7218.347	3021.458	1	  5.0626490E+00	  9.9695133E-02	  4.7393020E+00	  2.3524957E-04
pp089	9290.211	8392.956	1	  8.5033140E+00	  1.7691290E-01	  6.0677900E+00	  2.2587654E-04
pp090	9290.211	7600.021	1	  6.6327110E+00	  1.3457840E-01	  5.2922720E+00	  2.3818880E-04
pp091	9060.004	6500.143	1	  9.1448500E+00	  1.7408650E-01	  5.8558440E+00	  2.0311578E-04
pp092	8753.061	5809.522	1	  7.2359960E+00	  1.3679700E-01	  6.5087050E+00	  2.1401989E-04
pp093	286.557	9723.042	1	  4.8883290E+00	  9.9405436E-02	  4.7764680E+00	  2.6560000E-04
pp094	2639.785	9671.885	1	  5.3216440E+00	  9.8500255E-02	  5.4116480E+00	  2.5821303E-04
pp095	4276.813	9646.306	1	  4.9866290E+00	  1.0071000E-01	  4.1210400E+00	  2.7375079E-04
pp096	7064.876	9825.356	1	  5.0422580E+00	  9.6654795E-02	  5.2775760E+00	  2.0698541E-04
pp097	7781.076	8827.792	1	  4.9728920E+00	  9.0158797E-02	  6.7946270E+00	  2.1678283E-04
pp098	7064.876	8444.114	1	  5.2680900E+00	  8.8690412E-02	  8.8858320E+00	  2.0016090E-04
pp099	7013.719	5962.993	1	  4.6417120E+00	  9.9250455E-02	  2.6070710E+00	  1.4308502E-04
pp100	7320.662	5758.364	1	  4.7833460E+00	  9.8428181E-02	  2.8458790E+00	  1.3365645E-04
pp101	6502.148	7088.45	1	  4.8743820E+00	  9.9773354E-02	  4.1313340E+00	  1.8117514E-04
pp102	2946.727	4249.229	1	  5.5813250E+00	  1.0728710E-01	  4.0693410E+00	  2.0630794E-04
pp103	3560.613	3047.037	1	  4.9939800E+00	  1.0005240E-01	  5.0775040E+00	  1.8130242E-04
pp104	3381.563	3507.451	1	  4.8893730E+00	  9.9833900E-02	  4.1116080E+00	  1.9922877E-04
pp105	1463.171	2381.994	1	  4.7483140E+00	  9.9164264E-02	  4.0511460E+00	  1.6495310E-04
pp106	4021.027	2356.416	1	  5.1457210E+00	  1.0984160E-01	  7.1878800E+00	  2.1302265E-04
pp107	4660.491	4198.072	1	  5.2395760E+00	  1.2272790E-01	  7.0073860E+00	  2.0123250E-04
pp108	5530.162	4479.436	4	  5.7934190E+00	  1.1312630E-01	  4.9413780E+00	  2.0542618E-04
pp109	6655.619	4786.379	4	  8.1107530E+00	  1.3170120E-01	  3.8794580E+00	  2.1503510E-04
pp110	1284.121	5937.414	1	  5.7889930E+00	  1.1042980E-01	  3.3259180E+00	  2.5654331E-04
pp111	2281.685	5681.629	4	  3.1280760E-01	  9.8036533E-02	  3.3783640E+00	  2.3756824E-04
pp112	3151.356	5400.265	4	  3.7883450E+00	  1.0196960E-01	  3.7761610E+00	  2.2032429E-04
pp113	3995.449	5349.107	4	  5.9001610E+00	  1.1080430E-01	  4.2054860E+00	  2.2598924E-04
pp114	4941.855	5272.372	4	  6.2484780E+00	  1.1428300E-01	  4.8531760E+00	  2.1527193E-04
pp115	6016.155	5246.793	4	  6.3846580E+00	  1.1501630E-01	  4.3354800E+00	  1.9153820E-04
pp116	5146.484	4505.015	4	  7.0500980E+00	  1.2640600E-01	  5.7788930E+00	  1.9910121E-04
pp117	5376.691	4888.693	4	  6.3322040E+00	  1.2521650E-01	  5.1306240E+00	  2.0804288E-04
pp118	5913.841	4505.015	4	  5.6561740E+00	  1.1125840E-01	  4.5081830E+00	  2.0495871E-04
pp119	6118.469	4888.693	4	  6.0484150E+00	  1.1446570E-01	  4.6901410E+00	  2.2933704E-04
pp120	6425.412	4991.008	4	  7.1439010E+00	  1.4499210E-01	  3.8223610E+00	  1.8849918E-04
pp121	2869.992	4607.329	4	  6.8675270E+00	  1.2503950E-01	  4.0391120E+00	  2.0920602E-04
pp122	1667.799	4351.543	4	  3.2974640E+00	  1.3222650E-01	  3.2794840E+00	  1.9864659E-04
pp123	977.178	4249.229	4	  5.0138930E+00	  1.3572980E-01	  2.0786550E+00	  2.2155860E-04
pp124	798.128	6116.464	4	  8.3102940E-01	  1.0028220E-01	  3.7936680E+00	  2.6236184E-04
pp125	5542.952	5899.047	4	  4.7813230E+00	  9.9811678E-02	  3.8870510E+00	  1.7337209E-04
pp126	5542.952	5361.897	4	  5.4294740E+00	  1.0054080E-01	  4.6413980E+00	  2.0467116E-04
pp127	5696.423	3891.129	4	  4.9613750E+00	  1.0002040E-01	  4.7449110E+00	  2.3672092E-04
pp128	6297.519	4351.543	4	  5.1579350E+00	  1.0318050E-01	  4.0763040E+00	  2.0712734E-04
pp129	4174.498	5029.375	4	  6.5888680E+00	  1.0620460E-01	  4.6987300E+00	  2.0986100E-04
pp130	4404.706	5630.472	4	  5.3011200E+00	  1.0365250E-01	  4.4696160E+00	  2.3534945E-04
pp131	5184.852	5477	4	  5.3207490E+00	  1.0204130E-01	  4.6189560E+00	  2.0719645E-04
pp132	5056.959	4927.061	4	  6.0915640E+00	  1.2029590E-01	  5.3312780E+00	  1.9970081E-04
pp133	4698.859	4466.647	4	  1.2296040E+01	  1.2966290E-01	  6.2976830E+00	  2.1952088E-04
pp134	3688.506	4543.383	4	  1.6458510E+01	  1.8071810E-01	  4.1558400E+00	  2.0798141E-04
pp135	7819.444	4786.379	4	  1.2816690E+01	  1.3689360E-01	  5.7915980E+00	  2.1756754E-04
pp136	8510.065	4671.276	4	  7.2765800E+00	  1.5312530E-01	  5.5022030E+00	  2.2547050E-04
pp137	8650.747	5170.057	4	  6.8848750E+00	  1.6073980E-01	  6.0268290E+00	  2.3729617E-04
pp138	8676.326	4274.808	4	  9.6399670E+00	  1.5558430E-01	  5.0708180E+00	  2.3717232E-04
pp139	6514.937	5349.107	4	  6.7238550E+00	  1.1330890E-01	  3.5782660E+00	  1.8135771E-04
pp140	3790.82	5643.261	4	  4.8488840E+00	  1.0367620E-01	  4.0157060E+00	  2.2894586E-04
pp141	4136.131	6135.648	4	  4.7487690E+00	  9.9858030E-02	  4.1605740E+00	  2.2890749E-04
pp142	4948.25	6359.461	4	  4.5830900E+00	  9.9736079E-02	  3.2269300E+00	  1.5984077E-04
pp143	337.714	8974.869	1	  4.8258900E+00	  9.9242864E-02	  4.6341080E+00	  2.6158984E-04
pp144	286.557	8002.883	1	  4.8039280E+00	  9.9234108E-02	  4.5942700E+00	  2.6297265E-04
pp145	286.557	6903.005	1	  4.7799610E+00	  9.8716834E-02	  4.5008630E+00	  2.6578192E-04
pp146	260.978	6058.913	1	  4.9205890E+00	  9.8239470E-02	  4.0519370E+00	  2.6857718E-04
pp147	235.4	4575.356	1	  4.2063370E+00	  9.5897527E-02	  2.1689690E+00	  2.4528341E-04
pp148	286.557	5317.134	1	  4.5557280E+00	  9.8203905E-02	  3.2975160E+00	  2.5811327E-04
pp149	286.557	3603.371	1	  2.5049530E+00	  9.6327102E-02	  9.2083740E-01	  2.2310017E-04
pp150	286.557	2068.657	1	  2.8086310E+00	  9.4317100E-02	  1.7109120E+00	  2.2489784E-04
pp151	286.557	1198.986	1	  3.1139000E+00	  9.5640856E-02	  2.0210000E+00	  2.2269410E-04
pp152	1130.65	5214.82	1	  4.5665980E+00	  1.0271950E-01	  3.0478280E+00	  2.4727758E-04
pp153	1770.114	5163.663	1	  4.5338790E+00	  9.9831293E-02	  3.0443980E+00	  2.2424452E-04
pp154	2665.363	4984.613	1	  4.8284190E+00	  1.0102520E-01	  3.5240580E+00	  2.0449064E-04
pp155	3893.134	4805.563	1	  5.1267970E+00	  1.2032700E-01	  4.9111770E+00	  2.1041616E-04
pp156	1258.542	7465.733	1	  4.6439340E+00	  9.9865598E-02	  3.9499680E+00	  2.4348066E-04
pp157	1718.956	6596.062	1	  4.9169590E+00	  1.0077140E-01	  3.5381460E+00	  2.4184877E-04
pp158	3023.463	8054.04	1	  4.6769140E+00	  9.9564402E-02	  3.8643260E+00	  2.3082655E-04
pp159	2511.892	7235.526	1	  4.5196040E+00	  9.9821812E-02	  3.4618410E+00	  2.2660799E-04
pp160	3944.291	8744.662	1	  4.9776670E+00	  9.8942282E-02	  4.2192320E+00	  2.6475275E-04
pp161	5274.377	7414.576	1	  4.6451170E+00	  9.9664356E-02	  3.4554790E+00	  1.9799408E-04
pp162	6220.784	6621.641	1	  4.7767240E+00	  9.9853751E-02	  3.6262100E+00	  1.7017237E-04
pp163	4097.763	7593.626	1	  4.4095800E+00	  9.9529440E-02	  2.9877700E+00	  2.0495430E-04
pp164	4558.177	6749.534	1	  4.6687910E+00	  9.9812513E-02	  3.5300580E+00	  1.9766587E-04
pp165	6144.048	5956.598	1	  4.8716300E+00	  9.9973432E-02	  3.9096670E+00	  1.9251253E-04
pp166	2869.992	5841.495	1	  4.5104030E+00	  9.9667252E-02	  3.1600740E+00	  2.1640501E-04
pp167	3279.249	5854.284	1	  4.6853150E+00	  9.9907873E-02	  3.6012970E+00	  2.2395458E-04
pp168	3573.402	5854.284	1	  4.9026630E+00	  1.0006620E-01	  3.7777690E+00	  2.2432360E-04
pp169	3893.134	5854.284	1	  4.9663950E+00	  1.0007010E-01	  3.8725640E+00	  2.2152564E-04
pp170	4302.391	5879.863	4	  4.8250600E+00	  9.9967773E-02	  4.2377850E+00	  2.2821675E-04
pp171	3381.563	5624.077	1	  4.8768020E+00	  1.0183900E-01	  3.8209530E+00	  2.2747554E-04
pp172	3547.824	5457.816	4	  4.9090330E+00	  1.0264520E-01	  4.3390380E+00	  2.4513941E-04
pp173	4187.288	5662.445	4	  5.2883600E+00	  1.0206170E-01	  4.4804880E+00	  2.4307152E-04
pp174	4583.755	5419.448	4	  5.9566750E+00	  1.0965750E-01	  4.6009110E+00	  2.2965525E-04
pp175	4583.755	5048.559	4	  7.1136780E+00	  1.1852750E-01	  5.0697910E+00	  2.0776865E-04
pp176	4174.498	5202.031	4	  5.5530020E+00	  1.0333430E-01	  4.6571980E+00	  2.4083489E-04
pp177	3176.935	5048.559	1	  5.0261300E+00	  1.0437550E-01	  3.8165570E+00	  2.1117916E-04
pp178	3739.663	5099.716	4	  6.3187180E+00	  1.0951490E-01	  3.7381380E+00	  1.9828482E-04
pp179	2933.938	6110.07	1	  4.6568910E+00	  9.9724538E-02	  3.6635750E+00	  2.3150432E-04
pp180	3240.881	6135.648	1	  4.7083130E+00	  9.9809020E-02	  3.7487250E+00	  2.2934807E-04
pp181	3611.77	6148.437	1	  4.7390740E+00	  9.9798924E-02	  3.7098620E+00	  2.2093876E-04
pp182	3969.87	6148.437	1	  4.8629280E+00	  9.9872464E-02	  4.2307470E+00	  2.3749118E-04
pp183	4647.702	5649.656	1	  4.9746540E+00	  1.0038420E-01	  4.3572180E+00	  2.1682663E-04
pp184	4558.177	5918.23	1	  4.8958820E+00	  9.9926364E-02	  4.1380550E+00	  2.1260587E-04
pp185	4404.706	6199.595	1	  4.8747210E+00	  9.9874523E-02	  4.2156360E+00	  2.2573302E-04
pp186	4404.706	6378.645	1	  4.8166630E+00	  9.9866487E-02	  3.9505840E+00	  2.1432383E-04
pp187	4123.341	6404.223	4	  4.5357930E+00	  9.9850438E-02	  3.9660860E+00	  2.2303864E-04
pp188	3854.766	6455.38	1	  4.8093250E+00	  9.9819343E-02	  3.8212960E+00	  2.2248960E-04
pp189	3535.034	6404.223	1	  4.7788960E+00	  9.9864614E-02	  3.9866790E+00	  2.3363124E-04
pp190	3304.827	6429.802	1	  4.7535520E+00	  9.9859686E-02	  3.9770710E+00	  2.3675630E-04
pp191	2946.727	6442.591	1	  4.6803800E+00	  9.9784123E-02	  3.7709400E+00	  2.3522038E-04
pp192	3087.41	6634.43	1	  4.6107670E+00	  9.9799849E-02	  3.5589460E+00	  2.2607136E-04
pp193	3394.352	7069.266	1	  4.3916850E+00	  9.9742079E-02	  2.9477080E+00	  2.0184101E-04
pp194	3483.877	6711.166	1	  4.6544980E+00	  9.9800125E-02	  3.5918930E+00	  2.2176483E-04
pp195	3905.924	6851.848	1	  4.7413660E+00	  9.9728978E-02	  3.1359850E+00	  1.9833780E-04
pp196	4327.97	6749.534	1	  4.7628590E+00	  9.9805529E-02	  3.6318650E+00	  2.1064595E-04
pp197	4941.855	5943.809	1	  4.8880540E+00	  9.9801176E-02	  3.9801350E+00	  1.8890754E-04
pp198	2690.942	6225.173	1	  4.5758320E+00	  9.9566475E-02	  3.3891220E+00	  2.2854703E-04
pp199	2396.788	5982.177	1	  5.0756760E+00	  1.0242550E-01	  3.4123050E+00	  2.3994122E-04
pp200	2652.574	5675.234	1	  4.7020050E+00	  9.5768146E-02	  3.3669370E+00	  2.2609354E-04
pp201	2626.995	5432.238	4	  3.1232140E+00	  9.2015053E-02	  3.3099320E+00	  2.0981744E-04
pp202	4993.012	5675.234	4	  4.9615130E+00	  1.0017240E-01	  4.4392650E+00	  2.0767096E-04
pp203	6412.623	2618.596	1	  4.9660890E+00	  1.0006020E-01	  4.6524520E+00	  2.3636305E-04
pp204	5875.473	1109.461	1	  5.0746520E+00	  1.0019640E-01	  5.4394660E+00	  2.9089628E-04
pp205	6821.88	3437.11	1	  4.8442290E+00	  9.9908078E-02	  3.7853200E+00	  1.8555639E-04
pp206	4724.438	8373.772	1	  3.8849310E+00	  9.5589685E-02	  2.2012270E+00	  2.0870709E-04
pp207	1757.324	2925.539	1	  5.1572040E+00	  9.9328779E-02	  6.4135110E+00	  1.7954811E-04
pp208	1092.282	2746.489	1	  4.5949820E+00	  9.8105069E-02	  4.0290960E+00	  2.1116104E-04
pp209	1936.374	3309.217	1	  5.2087640E+00	  9.9670969E-02	  6.9323190E+00	  1.7307803E-04
pp210	715.2287082	9766.392871	1	  4.9087380E+00	  9.9843747E-02	  4.7597470E+00	  2.6256829E-04
pp211	698.6210675	9317.986573	1	  4.8737180E+00	  9.9756867E-02	  4.6736570E+00	  2.6068482E-04
pp212	1612.041304	9633.531746	1	  4.9678900E+00	  9.9920183E-02	  4.8635100E+00	  2.5619892E-04
pp213	1147.027365	9583.708824	1	  4.9147680E+00	  9.9892915E-02	  4.7291490E+00	  2.5626836E-04
pp214	1147.027365	9068.871963	1	  4.8981010E+00	  9.9885312E-02	  4.6776810E+00	  2.5796462E-04
pp215	947.7356775	8670.288587	1	  4.8063930E+00	  9.9818880E-02	  4.4499160E+00	  2.5407047E-04
pp216	432.8988168	8437.781618	1	  4.7805410E+00	  9.9390106E-02	  4.5033450E+00	  2.5867680E-04
pp217	1296.496131	8022.590601	1	  4.7144810E+00	  9.9882979E-02	  4.1362360E+00	  2.4430569E-04
pp218	765.0516302	7839.906554	1	  4.6978710E+00	  9.9753197E-02	  4.2066130E+00	  2.5110518E-04
pp219	366.4682542	7125.778005	1	  4.7485990E+00	  9.9267888E-02	  4.4600290E+00	  2.6329088E-04
pp220	200.3918475	7590.791944	1	  4.7973270E+00	  9.8984265E-02	  4.6039690E+00	  2.6454408E-04
pp221	715.2287082	7325.069693	1	  4.6579650E+00	  9.9624726E-02	  4.1218300E+00	  2.5300985E-04
pp222	814.8745522	6777.017551	1	  4.6633930E+00	  9.9586747E-02	  3.9654320E+00	  2.5312126E-04
pp223	1163.635006	6561.118223	1	  4.9448430E+00	  1.0148330E-01	  3.4651460E+00	  2.4527668E-04
pp224	1445.964897	7125.778005	1	  4.5923090E+00	  9.9777131E-02	  3.6707440E+00	  2.3902562E-04
pp225	549.1523015	6561.118223	1	  4.7691430E+00	  9.8649100E-02	  4.0638630E+00	  2.6064495E-04
pp226	1844.548273	7291.854412	1	  4.5180880E+00	  9.9803889E-02	  3.5120120E+00	  2.2875742E-04
