pointid       X              Y                       multiplier
1      975119.226466052     129592.310996287              1.1471070E+00
2      976300.786089145     129355.999071668              2.0073560E+00
3      977417.897005524     129979.003236572              1.2178430E+00
4      978470.559215188     129785.657116429              1.0583360E+00
5      979072.080477854     129248.584560478              9.8894160E-01
6      978470.559215188     128217.405253051              8.1571160E-01
7      978814.285650997     127035.845629959              5.6840850E-01
8      979952.879469614     126649.153389674              5.7019500E-01
9      980618.849438994     127336.606261291              6.9814490E-01
10     981392.233919564     128238.888155289              7.4829570E-01
11     982552.310640418     128152.956546337              1.3236060E+00
12     983755.353165749     128861.892320193              1.0445170E-01
13     984614.669255271     129484.896485096              7.1895137E-02
14     985774.745976126     130000.48613881               4.8205540E-01
15     985495.468247031     128904.858124669              1.8938740E-01
16     985001.361495556     127852.195915005              3.3977640E-01
17     985151.741811223     126821.016607578              1.3658190E+00
18     986182.921118649     126584.704682959              6.0770590E-01
19     985882.160487316     125575.008277771              6.7706800E-01
20     986247.369825363     124522.346068106              1.2785350E+00
21     987106.685914885     123770.444489775              9.5738050E-01
22     988008.967808884     123211.889031585              9.3796210E+00
23     988911.249702882     122760.748084586              9.8022940E-01
24     988782.352289453     121965.880701778              4.4047300E-01
25     988524.557462597     120762.838176447              1.1472740E+00
26     987858.587493217     120204.282718258              9.0539510E-01
27     986848.891088029     120891.735589876              1.1871390E+00
28     986204.404020887     121794.017483874              1.2838070E+00
29     985173.224713461     122825.1967913                1.4826400E+00
30     984056.113797082     123620.064174108              1.0000000E+02
31     983089.38319637      124049.722218869              1.1810595E-02
32     981993.755182229     124157.13673006               2.5554110E-01
33     980876.64426585      123856.376098727              1.1554520E+00
34     980446.986221089     123211.889031585              2.6536330E-01
35     979351.358206949     123512.649662918              1.1872820E-01
36     978513.525019665     123254.854836061              6.0704080E-01
37     977976.452463713     122567.401964444              4.5006950E-01
38     977267.516689858     122352.572942063              1.2049560E+00
39     976257.820284669     122825.1967913                7.8056210E+00
40     975527.401608575     123276.337738299              1.0376530E+00
41     974732.534225767     122696.299377872              1.3011480E+00
42     974410.290692197     123834.893196489              1.8210180E+00
43     973550.974602674     124307.517045726              1.3704160E+00
44     973207.248166866     124973.487015106              4.1944550E+00
45     974066.564256388     125424.627962105              2.5435010E+01
46     974839.948736958     126283.944051627              3.7801870E-01
47     974711.051323529     127336.606261291              7.0760200E-01
48     974646.602616815     128582.614591098              1.1244510E+00
49     975334.055488433     127981.093328433              1.8767880E+00
50     975828.162239908     128926.341026907              2.5815130E+00
51     977353.44829881      128969.306831383              2.3248150E+00
52     977826.072148047     128195.922350813              1.3358210E+00
53     977439.379907762     126949.914021006              1.0570880E+00
54     976537.098013764     127809.230110528              6.3352180E+00
55     976279.303186907     126262.461149389              3.8119030E-01
56     975699.26482648      125660.939886723              5.8161662E-02
57     975033.2948571       125532.042473295              2.5282619E-02
58     974818.46583472      124715.692188249              2.3725910E+00
59     973959.149745198     124608.277677059              6.0970870E-01
60     974882.914541434     124135.653827822              2.9265080E+00
61     975656.299022004     124307.517045726              3.4077010E-01
62     976085.957066765     123641.547076346              4.4182390E+01
63     976816.375742858     123555.615467394              6.1659750E+00
64     976902.307351811     124586.794774821              9.7860030E-01
65     976150.405773479     125231.281841962              1.0265780E+00
66     976816.375742858     125403.145059867              1.4601190E+00
67     977331.965396572     125102.384428534              2.8300570E-01
68     977912.003756999     125854.286006866              5.6865729E-02
69     977117.136374191     126219.495344913              4.2396930E-01
70     978234.24729057      126391.358562817              1.1514220E-01
71     978470.559215188     125446.110864343              2.9920470E+01
72     978062.384072665     124715.692188249              1.7995250E+00
73     977353.44829881      124092.688023345              8.3207160E-01
74     977267.516689858     123082.991618157              1.1602970E+00
75     977976.452463713     123362.269347252              1.7448740E+00
76     978341.66180176      123942.307707679              1.3163750E+00
77     979136.529184568     124221.585436774              3.4000860E-01
78     979115.04628233      124994.969917344              1.1103830E-01
79     979007.63177114      125897.251811342              5.2722180E+00
80     979781.01625171      126112.080833722              2.5260640E-01
