pointid    X                       Y                  reach       cond_mult              head_add
1         973137.979748462       124851.208406848       1            2.5363240E+00         -1.3000000E-04
2         973902.866665724       124901.529914562       1            6.7336200E+00         -1.3000000E-04
3         974627.496376814       125133.008850049       1            3.0788180E+00         -1.3000000E-04
4         975191.097263218       125434.937896337       1            1.9372370E+00         -1.3000000E-04
5         973611.001920979       125263.844770107       2            4.4946780E+00         -1.3000000E-04
6         974436.274647499       125354.423483994       2            8.5076710E+00         -1.3000000E-04
7         975140.775755503       125414.809293251       2            2.0581430E+00         -1.3000000E-04
8         975704.376641907       125907.960068854       1            9.4200230E-01         -1.3000000E-04
9         975996.241386651       126521.882462972       1            1.4684040E+00         -1.3000000E-04
10        976459.199257626       126219.953416685       1            8.5093910E-01         -1.3000000E-04
11        977214.021873345       126240.08201977        1            1.0506320E+00         -1.3000000E-04
12        977284.471984145       126572.203970687       1            1.0657180E+00         -1.3000000E-04
13        977747.429855119       126763.425700002       1            1.0535010E+00         -1.3000000E-04
14        978170.130519922       126773.490001545       1            1.1778600E+00         -1.3000000E-04
15        978109.744710664       126360.853638285       1            8.7120750E-01         -1.3000000E-04
16        978381.480852323       125918.024370397       1            1.0710370E+00         -1.3000000E-04
17        979146.367769585       126119.310401255       1            2.1210270E+00         -1.3000000E-04
18        980001.833400733       126330.660733657       1            1.6938260E+00         -1.3000000E-04
19        980736.527413366       126250.146321313       1            1.1750390E+00         -1.3000000E-04
20        981279.999696684       126360.853638285       1            7.6520390E-01         -1.3000000E-04
21        981732.893266115       126491.689558343       1            6.1406420E-01         -1.3000000E-04
22        981964.372201603       126179.696210513       1            3.4651724E-02         -1.3000000E-04
23        981853.66488463        125767.059847253       1            4.1555660E-01         -1.3000000E-04
24        981712.76466303        125455.066499423       1            7.6066080E-01         -1.3000000E-04
25        982135.465327832       125133.008850049       1            8.9244840E-01         -1.3000000E-04
26        982397.137167948       125263.844770107       1            8.5385170E-01         -1.3000000E-04
27        982527.973088006       124921.658517648       1            9.9774080E-01         -1.3000000E-04
28        982487.715881834       124478.82924976        1            8.7862880E-01         -1.3000000E-04
29        982638.680404978       124619.72947136        1            9.5270310E-01         -1.3000000E-04
30        982759.452023493       124740.501089875       1            1.0746130E+00         -1.3000000E-04
31        982900.352245094       124831.079803762       1            1.0730530E+00         -1.3000000E-04
32        982457.522977206       124740.501089875       1            9.4708010E-01         -1.3000000E-04
