pointid   X                      Y                      layer_kx_multiplier         vertical_anisotropy       recharge
1         987998.226357765       120505.043349591            9.9052680E-01              1.0018660E+01            3.7498001E-03
2         988277.504086859       122288.124235349            1.3122200E+00              9.0562530E+00            3.7498001E-03
3         987590.051215242       123469.683858442            1.9114350E+00              8.5440940E+00            3.7498001E-03
4         987181.876072719       122223.675528635            1.3417200E+00              9.6604170E+00            3.7498001E-03
5         986580.354810053       121729.56877716             1.2060600E+00              9.9832940E+00            3.7498001E-03
6         985785.487427245       122717.78228011             1.9274660E+00              9.5500310E+00            3.7498001E-03
7         986279.59417872        124135.653827822            9.3912060E-01              1.0338590E+01            3.7498001E-03
8         986129.213863054       123469.683858442            8.0861160E-01              1.0732000E+01            3.7498001E-03
9         986924.081245862       122868.162595776            1.9931210E+00              8.2523060E+00            3.7498001E-03
10        984711.342315343       123491.16676068             1.0000000E+01              8.6613240E+00            3.7498001E-03
11        984625.41070639        124414.931556916            5.4476390E+00              9.4369700E+00            3.7498001E-03
12        985205.449066818       125617.974082247            9.5668540E-01              1.0444930E+01            3.7498001E-03
13        985806.970329483       126563.221780721            7.8170530E-01              1.1032800E+01            3.7498001E-03
14        985055.068751151       127895.161719481            5.7044810E-01              1.2560340E+01            3.7498001E-03
15        985678.072916055       129871.588725381            7.1541830E-01              1.1636280E+01            3.7498001E-03
16        984367.615879534       129055.238440335            5.1404320E-01              1.3454410E+01            3.7498001E-03
17        982928.261429584       128346.30266648             3.4369910E-01              1.5621800E+01            3.7498001E-03
18        983830.543323583       126821.016607578            5.4192480E-01              1.3632610E+01            3.7498001E-03
19        984797.273924295       126369.875660579            7.2106500E-01              1.1442270E+01            3.7498001E-03
20        982928.261429584       125338.696353152            6.9876700E-01              1.6994760E+01            3.7498001E-03
21        982906.778527346       126692.11919415             3.9008820E-01              1.6556660E+01            3.7498001E-03
22        981145.180543826       128024.059132909            3.8342590E-01              1.4017290E+01            3.7498001E-03
23        982906.778527346       124565.311872583            3.8364390E-01              2.5671950E+01            3.7498001E-03
24        981145.180543826       124200.102534536            5.6492410E-01              1.4770920E+01            3.7498001E-03
25        980457.727672208       123276.337738299            8.1465610E-01              1.2393740E+01            3.7498001E-03
26        981811.150513206       125875.768909104            4.1296040E-01              1.8881890E+01            3.7498001E-03
27        980651.073792351       126649.153389674            2.5313700E-01              1.3523150E+01            3.7498001E-03
28        979233.202244639       126735.084998626            7.6646670E-01              7.6852600E+00            3.7498001E-03
29        979082.821928973       125252.7647442              6.7536900E-01              8.9414550E+00            3.7498001E-03
30        980307.347356542       125510.559571057            3.6967570E-01              1.1193740E+01            3.7498001E-03
31        978502.783568545       123469.683858442            6.8417250E-01              1.1739340E+01            3.7498001E-03
32        977772.364892452       124715.692188249            7.1921840E-01              1.0655750E+01            3.7498001E-03
33        977557.535870071       122352.572942063            8.4864660E-01              1.1084630E+01            3.7498001E-03
34        975731.489179837       123362.269347252            7.8443810E-01              1.0670490E+01            3.7498001E-03
35        977256.775238739       123899.341903203            7.9685650E-01              1.0725010E+01            3.7498001E-03
36        977063.429118596       125553.525375533            3.2689340E-01              1.1023050E+01            3.7498001E-03
37        977664.950381262       127014.36272772             5.4252950E-01              8.5872820E+00            3.7498001E-03
38        977965.711012594       128324.819764242            6.7214170E-01              9.2500080E+00            3.7498001E-03
39        978867.992906592       129420.447778382            7.9652540E-01              1.0003790E+01            3.7498001E-03
40        976977.497509644       129613.793898525            7.6145300E-01              9.4934890E+00            3.7498001E-03
