real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
74,89.8095,84.7951,85.5287,94.9426,95.026,91.6544,89.925,88.4446,89.1107,89.7101,84.5995,98.7336,90.7505,88.0235,86.3421,87.2464,84.8134,85.5574,-8338.39,-10184.8,0.0993809,-6800.97,-8619.32
75,89.6649,84.6416,85.3575,95.0271,94.8409,91.6782,90.0517,88.509,88.9504,89.5639,84.9084,98.5851,90.9167,88.5436,86.513,87.176,84.7316,85.6985,-7781.91,-11151.8,0.101016,-6531.66,-9806.18
76,89.7408,84.5774,85.492,94.734,94.2551,91.5665,90.3584,88.5015,89.0063,89.6305,84.8697,98.3555,90.7106,88.1415,86.2672,87.3857,84.6569,85.5213,-8476.65,-13229.9,0.110243,-7034.48,-11733.9
77,89.768,85.0296,85.538,94.8606,94.9192,91.5477,89.8922,88.2037,88.8489,89.6655,85.1093,99.0565,91.0761,88.3361,86.4261,87.5848,85.1957,85.5098,-8958.53,-10667.8,0.102413,-7385.73,-9084.38
78,89.4245,84.6461,85.3143,94.5444,93.8959,91.481,89.7653,88.3469,88.8659,89.3322,84.6602,98.5677,90.7842,87.8484,86.3241,87.0267,84.919,85.4424,-9927.29,-11770.9,0.0922529,-9061.77,-10896.7
79,89.8079,84.7632,85.4704,95.1246,94.8246,91.3693,89.9796,88.3848,89.2589,89.7013,85.0245,98.7725,90.2951,88.0958,86.2852,87.6397,84.976,85.6905,-7302.92,-8708.56,0.106635,-5776.96,-7167.1
80,89.6343,84.6444,85.3752,95.225,94.4136,91.291,90.0105,88.1958,89.025,89.5275,85.1071,99.0466,90.4466,88.1065,86.383,87.2154,84.8942,85.5554,-8100.28,-10299.9,0.106783,-6437.5,-8617.58
81,89.8836,84.6032,85.6836,94.7218,94.8202,91.6619,89.776,88.4257,88.9762,89.783,85.0262,98.2598,90.5446,88.149,86.5465,87.3667,84.6444,85.6215,-8887.16,-12149.1,0.100563,-7435.84,-10667.6
82,90.0075,84.4338,85.7944,94.725,94.3868,91.482,90.0893,88.0758,88.885,89.8891,85.0071,98.9642,91.2821,88.7174,86.3576,87.6845,84.8292,85.648,-8334.91,-12141.5,0.118488,-6667.74,-10439.3
83,89.754,84.6017,85.5576,94.7643,94.656,91.7712,90.1526,88.3782,88.9605,89.6409,84.8546,98.3267,90.7771,88.5159,86.4553,87.3881,84.5191,85.698,-7509.64,-11904.4,0.113029,-5864.1,-10199.3
