group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.481291,1.04339,0,0
kx2,0.61064,1.06816,0,0
kx3,1.59616,3.49903,0,0
rch,0.00390469,0.827809,6265,5
strc,-0.0135388,0.051742,0,0
ghb1,0.0104767,0.0253661,0,0
ghb3,-0.00438612,0.0775742,0,0
