group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.2608,1.51293,0,0
kx2,0.810454,1.87202,0,0
kx3,1.93904,4.35109,0,0
rch,0.0168271,1.3271,5168,4
strc,-0.0187247,0.0619888,0,0
ghb1,0.0193434,0.0459518,0,0
ghb3,0.00284746,0.126223,0,0
