group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.660158,1.52545,0,0
kx2,0.756724,1.8806,0,0
kx3,2.47795,4.24054,0,0
rch,0.0148733,1.18489,5406,5
strc,-0.0153234,0.0302914,0,0
ghb1,0.019233,0.0344338,0,0
ghb3,0.00193139,0.14328,0,0
