real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
0,89.7521,84.5832,85.4091,94.8434,94.7223,91.2404,89.5147,88.7325,89.1682,89.6444,84.84,98.4836,90.6678,88.3662,86.5152,87.7278,84.9019,85.4889,-8652.52,-10404.9,0.107706,-7263.98,-9002.61
1,89.4481,84.6076,85.391,94.6776,94.4207,91.2129,89.4804,88.3009,88.8019,89.3354,84.9554,98.5535,91.2847,88.4744,86.6043,87.2411,84.5122,85.5639,-7333.27,-11034.1,0.112704,-5570.43,-9256.5
2,89.878,84.8821,85.5027,94.4865,95.0681,91.5148,90.1352,88.3179,89.1222,89.7625,84.9963,98.4865,90.5341,87.7619,86.5257,87.3274,84.7935,85.5038,-9041.97,-11459.5,0.115456,-7522.35,-9901.29
3,89.5123,84.6996,85.5002,94.6373,94.4637,91.5695,89.5918,88.4161,89.0204,89.4202,85.0743,98.4866,90.8073,88.2098,86.4752,87.4691,84.6182,85.6638,-8852.87,-10690.9,0.0921576,-7873.09,-9674.8
4,89.7895,84.5191,85.4227,94.7808,94.9512,91.4404,89.4233,88.0323,89.0703,89.687,84.8707,98.5317,90.7037,88.3511,86.304,87.2851,84.8426,85.3044,-9393.54,-11803.7,0.102463,-8510.74,-10890.8
5,89.7684,84.5276,85.6389,94.6766,94.6201,91.8395,90.1359,88.1585,89.0022,89.6591,84.8924,98.225,91.094,88.3108,86.4192,87.2615,84.3118,85.621,-8623.73,-11749.7,0.10936,-7042.24,-10101
6,89.7904,84.5837,85.5927,95.1047,94.6047,91.6008,90.2046,88.4085,89.1986,89.7033,84.7467,98.7185,90.6096,87.9603,86.4946,87.7641,84.7098,85.7316,-7651.4,-9997.24,0.0870788,-6528.29,-8849.18
7,89.9831,84.5288,85.6109,94.6815,94.7345,91.8293,90.2845,88.4938,89.5578,89.8972,85.0781,98.6351,90.8934,88.6064,86.1719,87.4196,84.6142,85.4008,-7813.88,-11848.1,0.0859317,-6264.48,-10258.3
8,90.0102,84.5087,85.7476,94.7951,94.8739,91.2629,90.1958,88.4717,89.0431,89.9239,84.9075,98.5477,91.2246,88.9821,86.6818,87.585,84.6431,85.8829,-7303.26,-10179.9,0.0863464,-5736.93,-8567.12
9,89.8765,84.691,85.3426,94.795,94.8586,91.5861,90.2096,88.2492,88.9763,89.774,84.8991,98.6351,90.3159,88.1047,86.6809,87.6707,84.789,85.717,-7526.2,-9768.89,0.10257,-5890.58,-8105.52
10,89.5989,84.9238,85.4298,95.5896,95.2203,91.9457,89.7967,88.1887,89.1838,89.4993,85.0979,98.2908,90.5421,87.8999,86.1233,87.0074,85.3857,85.4873,-9624.84,-10846.3,0.0995983,-8073.93,-9280.21
11,89.7535,84.5655,85.5162,95.2386,94.6565,91.6799,90.1397,88.6879,89.1666,89.6608,84.7376,98.629,91.1654,88.3589,86.4454,87.7801,84.6378,85.6532,-7535.7,-10581.8,0.0927449,-5984.28,-9000.91
12,89.8755,84.6221,85.326,95.2473,94.903,91.4136,90.0154,88.0762,89.1067,89.7651,84.7688,98.5974,90.9817,88.3209,86.7584,87.6188,84.7464,85.6613,-8343.95,-10292.9,0.110325,-6593.16,-8533.74
13,89.8154,84.6752,85.4405,95.238,94.7292,91.672,90.4781,88.4242,89.1828,89.7171,84.783,99.1185,90.9645,88.0622,86.5038,87.3436,84.7026,85.4142,-7741.89,-9981.49,0.0982895,-6077.13,-8291.68
14,89.7775,84.6313,85.3251,94.7141,94.8707,91.6055,89.9951,88.3637,89.0774,89.663,85.0197,98.358,91.039,88.5608,86.9251,87.2193,84.6623,85.6251,-9207.9,-12434.3,0.11454,-7817.01,-11008.1
15,89.9197,84.6239,85.7737,94.9055,95.1467,91.3575,89.9875,88.64,89.3807,89.8209,84.6826,98.7768,90.7023,88.2227,86.5295,87.3809,84.753,85.6782,-8298.84,-10645.2,0.0988002,-6801.92,-9127.43
16,89.8334,84.534,85.4978,94.988,94.6592,91.3671,89.9898,88.3077,89.0164,89.7172,85.0029,98.439,91.1365,88.4756,86.5302,87.194,84.4945,85.6647,-8496.22,-12350.3,0.116261,-6878.58,-10696.5
17,89.4281,84.6431,85.3492,94.8266,94.9247,91.2961,89.2041,88.3503,89.1071,89.3273,85.1318,98.6132,90.8032,87.9514,86.6206,87.3463,84.8095,85.6119,-8167.28,-10695.6,0.100726,-6830.73,-9298.7
18,89.839,84.699,85.4748,94.9364,95.0651,91.4411,90.1114,88.1407,89.0985,89.7426,84.8559,98.7014,91.0415,88.4297,86.4737,87.2689,84.8616,85.4779,-7937.88,-10658.9,0.0964336,-6370.18,-9056.29
19,89.803,84.6197,85.6673,95.1458,94.7425,91.9702,90.2667,88.1522,88.7903,89.6982,85.0407,98.5061,90.6027,88.0878,86.6261,87.3208,85.0328,85.9368,-8190.84,-11748.9,0.104799,-6853.49,-10358.3
20,89.8236,84.6344,85.4047,95.0958,94.3028,91.5939,89.5773,88.6742,89.1212,89.7131,84.8036,98.2112,90.4224,87.8417,86.1586,87.4543,84.837,85.2621,-9029.66,-10769,0.1105,-7423.53,-9147.18
21,89.8336,84.6309,85.3288,94.8204,94.5258,91.4818,90.0011,88.073,88.9522,89.7354,84.9033,98.3593,90.8799,87.589,86.508,87.4559,84.8943,85.6445,-8467.63,-10904.2,0.0982845,-6902.38,-9321.73
22,89.9245,84.6682,85.4736,95.0071,94.2323,91.8901,90.3566,88.3558,89.0977,89.8313,84.7416,97.6304,90.6307,88.4349,86.4629,87.6238,84.684,85.519,-8051.6,-11399.1,0.0932709,-6773.83,-10067.4
23,90.0317,84.4202,85.3876,94.7234,94.6841,91.1412,90.037,88.3517,89.2428,89.9433,84.8602,98.6188,90.892,88.294,86.2315,87.3005,84.7006,85.6498,-7814.51,-10442.1,0.088441,-5996.91,-8612
24,89.4135,84.7605,85.2927,94.9293,94.5373,91.2804,89.9128,88.289,88.8913,89.3247,85.0417,98.625,90.656,88.2889,86.6659,87.3191,84.7593,85.6075,-9031.4,-11776.2,0.0888065,-8159.44,-10870.1
25,89.8896,84.6404,85.4874,94.757,94.892,91.2846,90.1738,88.3096,89.1723,89.7958,84.8436,98.2369,90.7988,88.0727,86.5762,87.7089,84.9137,85.6389,-8195.13,-10586.6,0.0937922,-6846.41,-9201.78
26,89.9484,84.6008,85.3587,94.6247,94.7196,91.5271,89.9002,88.324,89.1574,89.8331,84.8545,98.1071,90.6456,88.1661,86.3454,87.6379,84.5003,85.3588,-7990.98,-11049.6,0.115323,-6565.98,-9560.22
27,89.1158,84.5539,85.2209,94.6521,94.4354,91.5504,89.2286,88.4215,88.891,88.9935,84.8493,98.823,90.4376,88.0089,86.4648,87.0516,84.9398,85.5739,-8099.14,-9639.61,0.122295,-6693.88,-8212.51
28,89.8889,84.7551,85.5821,94.7938,94.8576,91.5217,89.8665,88.2818,89.2388,89.795,84.8382,98.2004,90.6826,88.0961,86.2745,87.506,85.0308,85.5213,-8280.7,-11459.6,0.0938589,-6658.33,-9764.56
29,89.6288,84.8774,85.3767,94.4788,94.6411,91.5423,89.8119,88.2067,88.8896,89.5292,85.0884,97.9939,90.5294,88.1013,86.5703,87.6414,84.8329,85.5583,-9304.42,-11109.6,0.0995486,-7771.36,-9561.91
30,89.9768,84.6225,85.6224,94.9883,94.8244,91.4774,90.0792,88.4739,89.134,89.8624,84.4857,98.5657,91.1226,88.3301,86.2097,87.4867,84.5706,85.2619,-7468.34,-11746.3,0.114432,-5779.78,-10014
