group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.725115,1.52811,0,0
kx2,0.752571,1.86654,0,0
kx3,2.60039,4.23541,0,0
rch,0.013647,1.19221,5411,5
strc,-0.0144132,0.0296586,0,0
ghb1,0.0192464,0.0329446,0,0
ghb3,0.00177178,0.145115,0,0
