group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.337199,1.44702,0,0
kx2,0.879236,1.66653,0,0
kx3,1.63981,4.18505,0,0
rch,0.000836988,1.2637,5576,5
strc,-0.016062,0.0723149,0,0
ghb1,0.0226325,0.0462306,0,0
ghb3,-0.00446627,0.113093,0,0
