group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.660589,1.52747,0,0
kx2,0.756681,1.88009,0,0
kx3,2.47277,4.24234,0,0
rch,0.0148332,1.18454,5408,5
strc,-0.0153645,0.0302881,0,0
ghb1,0.019251,0.0343993,0,0
ghb3,0.0019464,0.14304,0,0
