group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.528092,1.50285,0,0
kx2,0.777911,1.88059,0,0
kx3,2.25211,4.2548,0,0
rch,0.01385,1.20235,5361,5
strc,-0.0168563,0.0405108,0,0
ghb1,0.0203118,0.0350186,0,0
ghb3,0.00382285,0.135481,0,0
