ICPL	Kx
457	3.913375
458	3.191459
459	2.854652
460	3.214482
461	3.874744
462	5.217141
463	7.482847
464	11.56316
465	16.45148
466	18.19789
467	18.65249
468	18.58173
469	18.13285
470	17.63203
471	17.82767
472	17.38371
473	17.90073
474	17.55231
475	17.16038
476	17.27744
477	16.92582
478	17.52049
479	17.29512
480	17.00894
481	16.6888
482	16.74941
483	16.45428
484	16.75475
485	16.4997
486	16.22493
487	16.2598
488	16.00216
489	6.102988
490	6.71739
491	7.416088
492	3.077879
493	1.171946
494	1.054008
495	1.208622
496	1.260461
497	1.39862
498	2.319501
499	3.817004
500	5.11435
501	5.996115
502	10.51395
503	23.08653
504	37.3264
505	53.51495
506	50.50498
507	32.37419
508	24.44478
509	22.04684
510	16.26249
511	9.459381
512	6.749595
513	5.831155
514	4.934748
515	4.881958
516	4.749232
517	5.519801
518	5.662323
519	3.86961
520	2.862336
521	3.440574
522	3.997823
523	4.622949
524	5.988835
525	11.0708
526	18.29649
527	17.70853
528	16.67828
529	16.26457
530	16.02938
531	15.78678
532	15.8081
533	15.50562
534	15.83501
535	15.53983
536	15.31075
537	15.34325
538	15.12646
539	15.97276
540	15.40782
541	15.24049
542	14.95484
543	15.07203
544	14.90163
545	15.06992
546	14.8044
547	14.59394
548	14.6805
549	14.46358
550	3.380205
551	3.675062
552	2.247807
553	2.38699
554	3.473632
555	3.760636
556	2.318327
557	1.228153
558	0.9547667
559	0.9431131
560	1.149415
561	1.63276
562	2.688034
563	4.225632
564	4.85808
565	4.883064
566	7.174148
567	14.28684
568	27.32045
569	47.70817
570	53.43742
571	40.84649
572	32.31388
573	27.53421
574	19.52616
575	11.55201
576	8.159895
577	7.056902
578	6.047488
579	5.171999
580	4.837052
581	5.524068
582	6.111733
583	5.782992
584	4.96676
585	4.049913
586	3.598505
587	4.280817
588	6.161782
589	10.88213
590	16.8317
591	16.91663
592	15.45105
593	14.88027
594	14.5621
595	14.34156
596	14.488
597	14.22425
598	14.66693
599	14.37665
600	14.15919
601	14.26374
602	14.04437
603	14.95973
604	14.43829
605	14.1478
606	13.92731
607	14.02769
608	13.80669
609	14.18758
610	13.90243
611	13.68141
612	13.77107
613	13.55044
614	1.649186
615	1.630285
616	1.444773
617	1.407696
618	1.320464
619	1.272945
620	1.297728
621	1.660091
622	1.764861
623	1.311587
624	1.430123
625	1.217466
626	1.160084
627	1.138114
628	1.06529
629	1.102885
630	1.074363
631	1.006035
632	0.9546007
633	1.017042
634	0.915872
635	1.081651
636	1.132114
637	0.9616944
638	1.030272
639	1.19151
640	0.9024428
641	0.9718498
642	0.9103005
643	0.9540484
644	1.046627
645	1.123873
646	1.014838
647	1.081357
648	1.82517
649	2.141039
650	1.356384
651	1.517937
652	1.200561
653	1.2768
654	1.150095
655	1.220243
656	1.35105
657	1.424237
658	1.289536
659	1.357662
660	1.670144
661	1.802874
662	1.49198
663	1.615543
664	2.345385
665	2.312509
666	1.911585
667	1.990261
668	1.719921
669	1.802075
670	1.917399
671	2.047854
672	1.716979
673	1.790768
674	1.607745
675	1.296694
676	0.9050703
677	0.5750396
678	0.9536202
679	1.948016
680	2.988124
681	5.317541
682	4.711119
683	3.604605
684	4.755957
685	7.987044
686	17.51676
687	42.4879
688	59.41756
689	55.91565
690	46.43776
691	33.71856
692	22.93778
693	14.80761
694	10.84619
695	10.00058
696	8.638561
697	5.863348
698	4.773875
699	5.194538
700	6.040057
701	9.311721
702	11.53853
703	5.097535
704	2.685296
705	4.3456
706	6.291883
707	11.3409
708	18.43634
709	15.88769
710	14.4539
711	13.90816
712	13.63269
713	13.41276
714	13.48627
715	13.26723
716	13.56034
717	13.27906
718	13.04922
719	13.1164
720	12.8867
721	13.63772
722	13.25343
723	12.9397
