ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp057	2457.537	2893.565	1	  4.3224290E+00	  1.1098330E-01	  4.9809350E+00	  1.5150505E-04
pp058	2802.848	2778.462	1	  4.6311720E+00	  1.2578760E-01	  3.7156990E+00	  1.5086766E-04
pp059	2917.952	3417.926	1	  4.7166800E+00	  1.1919250E-01	  3.1281480E+00	  1.4506276E-04
pp060	2035.491	2241.312	1	  3.7078390E+00	  1.0721520E-01	  5.6832780E+00	  1.5386281E-04
pp061	2559.852	2484.308	1	  4.3762730E+00	  1.2171650E-01	  4.5253990E+00	  1.5593057E-04
pp062	3154.553	2260.496	1	  4.7467630E+00	  1.5290200E-01	  3.6866470E+00	  1.5641872E-04
pp063	3458.299	1883.212	1	  4.8101620E+00	  1.7550440E-01	  4.6167300E+00	  1.6784971E-04
pp064	4238.445	1653.005	1	  4.9109850E+00	  2.1287840E-01	  5.5375990E+00	  1.9002270E-04
pp065	4251.234	1256.537	1	  4.9125140E+00	  1.9225240E-01	  6.3280020E+00	  2.2022415E-04
pp066	4558.177	1358.852	1	  4.9315660E+00	  1.9750800E-01	  5.6351650E+00	  2.3762524E-04
pp067	3381.563	1435.587	1	  4.7951360E+00	  1.6806370E-01	  5.7025400E+00	  1.8851170E-04
pp068	2217.738	1525.112	1	  3.9071470E+00	  1.1955070E-01	  5.1689300E+00	  1.7409603E-04
pp069	1552.696	1665.794	1	  3.1490770E+00	  1.0122940E-01	  4.1308060E+00	  1.5989029E-04
pp070	913.232	1218.17	1	  2.8901770E+00	  9.4974526E-02	  2.4073390E+00	  1.7860041E-04
pp071	1539.907	1103.066	1	  3.3279530E+00	  1.0400000E-01	  3.5590040E+00	  1.7754635E-04
pp072	1028.335	1729.741	1	  2.6914740E+00	  9.2324582E-02	  2.7245100E+00	  1.6036226E-04
pp073	2831.624	1013.541	1	  4.5197710E+00	  1.3769910E-01	  5.9596780E+00	  2.0220003E-04
pp074	2869.992	489.18	1	  4.5895330E+00	  1.2852530E-01	  6.4394260E+00	  2.2372768E-04
pp075	2946.727	1896.001	1	  4.6266080E+00	  1.4740900E-01	  4.4082820E+00	  1.6901535E-04
pp076	2946.727	1678.584	1	  4.6136350E+00	  1.4838700E-01	  4.8302460E+00	  1.7669721E-04
pp077	388.871	335.709	1	  3.3910550E+00	  9.6364082E-02	  2.2770600E+00	  2.2141853E-04
pp078	1284.121	284.552	1	  3.6039360E+00	  1.0083960E-01	  3.0497020E+00	  2.0691246E-04
pp079	2383.999	335.709	1	  4.2904390E+00	  1.1614630E-01	  5.4030530E+00	  2.1871702E-04
pp080	4097.763	386.866	1	  4.9725780E+00	  1.4542210E-01	  7.0048490E+00	  2.6438546E-04
pp081	5172.062	310.131	1	  4.8968610E+00	  1.3655570E-01	  4.8922710E+00	  3.4484003E-04
pp082	6911.405	514.759	1	  4.7447650E+00	  1.1088360E-01	  3.7108860E+00	  3.0641536E-04
pp083	8215.911	3763.237	1	  5.4357000E+00	  1.7288320E-01	  4.3705500E+00	  2.1132761E-04
pp084	7960.126	2535.466	1	  5.2606380E+00	  1.2881130E-01	  3.6621600E+00	  2.2842155E-04
pp085	7550.869	1384.43	1	  4.9184160E+00	  1.1116810E-01	  3.5093540E+00	  2.6238035E-04
pp086	5683.634	2126.209	1	  4.7150810E+00	  1.6976350E-01	  3.3227030E+00	  2.8498919E-04
pp087	5939.419	3302.822	1	  4.7162870E+00	  1.7403680E-01	  2.6245780E+00	  2.1667551E-04
pp088	7218.347	3021.458	1	  4.8966770E+00	  1.5868500E-01	  3.1257670E+00	  1.9734747E-04
pp089	9290.211	8392.956	1	  7.8257960E+00	  1.6494230E-01	  6.9151820E+00	  1.6963062E-04
pp090	9290.211	7600.021	1	  6.8497570E+00	  1.4315400E-01	  4.8276850E+00	  1.9627289E-04
pp091	9060.004	6500.143	1	  6.0117650E+00	  1.3833290E-01	  4.3925410E+00	  2.2783476E-04
