  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.1500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1150000E-04   99.99999    
     1  0.1485588      0.1044270E-06   0.000000     -0.1441182E-02  0.1044270E-06   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.7000000E-02  0.1441077E-02  0.5558923E-02 -0.1868883E-16  0.1150000E-04   99.99999    
    29  0.1330874      0.4327283E-06   0.000000     -0.1547142E-01  0.3283013E-06   0.000000      0.1910000E-01   0.000000      0.7706691E-06   0.000000      0.7706691E-06   0.000000      0.7706691E-06   0.000000      0.1872000      0.3457032E-01  0.1526297      0.1620515E-15  0.1150000E-04   99.99999    
    60  0.1712275      0.2112464E-05   0.000000      0.3814006E-01  0.1679735E-05   0.000000      0.6820000E-01   0.000000      0.1061520E-05   0.000000      0.1061520E-05   0.000000      0.1061520E-05   0.000000      0.1612000      0.3005719E-01  0.1311428      0.1755364E-15  0.1150000E-04   99.99999    
    90  0.2850683      0.1443112E-02   0.000000      0.1138408      0.1440999E-02   0.000000      0.1481000       0.000000      0.9413493E-04   0.000000      0.9413493E-04   0.000000      0.9413493E-04   0.000000      0.8770000E-01  0.3272404E-01  0.5497597E-01 -0.4887583E-15  0.1150000E-04   99.99999    
   121  0.3327283      0.4109056E-02   0.000000      0.4765998E-01  0.2665945E-02   0.000000      0.8160000E-01   0.000000      0.2661301E-02   0.000000      0.2661301E-02   0.000000      0.2661301E-02   0.000000      0.6310000E-01  0.2861277E-01  0.3448723E-01 -0.1040834E-16  0.1150000E-04   99.99999    
   151  0.3244203      0.8432007E-02   0.000000     -0.8308017E-02  0.4322951E-02   0.000000      0.3840000E-01   0.000000      0.1358158E-01   0.000000      0.1358158E-01   0.000000      0.1358158E-01   0.000000      0.5220000E-01  0.2880349E-01  0.2339651E-01  0.2602085E-15  0.1150000E-04   99.99999    
   182  0.2971276      0.2621487E-02   0.000000     -0.2729264E-01 -0.5810520E-02   0.000000      0.5400000E-02   0.000000      0.1331632E-01   0.000000      0.1331632E-01   0.000000      0.1331632E-01   0.000000      0.5100000E-01  0.2518685E-01  0.2581315E-01 -0.6140921E-15  0.1150000E-04   99.99999    
   213  0.2535755      0.6735825E-03   0.000000     -0.4355210E-01 -0.1947904E-02   0.000000      0.8000000E-03   0.000000      0.4403985E-02   0.000000      0.4403985E-02   0.000000      0.4403985E-02   0.000000      0.9810000E-01  0.4189602E-01  0.5620398E-01  0.6375109E-16  0.1150000E-04   99.99999    
   243  0.2137137      0.1258860E-03   0.000000     -0.3986181E-01 -0.5476965E-03   0.000000      0.3600000E-02   0.000000      0.9640537E-03   0.000000      0.9640537E-03   0.000000      0.9640537E-03   0.000000      0.1237000      0.4304546E-01  0.8065455E-01  0.5529431E-16  0.1150000E-04   99.99999    
   274  0.1683751      0.1331536E-04   0.000000     -0.4533863E-01 -0.1125706E-03   0.000000      0.7400000E-02   0.000000      0.1712849E-03   0.000000      0.1712849E-03   0.000000      0.1712849E-03   0.000000      0.1923000      0.5267992E-01  0.1396201     -0.3618525E-17  0.1150000E-04   99.99999    
   304  0.1501855      0.2893215E-05   0.000000     -0.1818958E-01 -0.1042215E-04   0.000000      0.3120000E-01   0.000000      0.2301001E-04   0.000000      0.2301001E-04   0.000000      0.2301001E-04   0.000000      0.2106000      0.4937699E-01  0.1612230     -0.1056199E-15  0.1150000E-04   99.99999    
   335  0.2191525      0.1690842E-04   0.000000      0.6896701E-01  0.1401521E-04   0.000000      0.1146000       0.000000      0.1004831E-04   0.000000      0.1004831E-04   0.000000      0.1004831E-04   0.000000      0.1957000      0.4560893E-01  0.1500911      0.2966648E-16  0.1150000E-04   99.99999    
   366  0.2382364      0.4408252E-03   0.000000      0.1908391E-01  0.4239167E-03   0.000000      0.8960000E-01   0.000000      0.1000842E-02   0.000000      0.1000842E-02   0.000000      0.1000842E-02   0.000000      0.1731000      0.6909133E-01  0.1040087     -0.2860125E-15  0.1150000E-04   99.99999    
