  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
   578  0.3039629      0.3698929E-02   0.000000     -0.2232545E-01 -0.4265787E-02   0.000000       0.000000       0.000000      0.1374797E-01   0.000000      0.1374797E-01   0.000000      0.1374797E-01   0.000000      0.9930000E-01  0.1284326E-01  0.8645674E-01  0.4683753E-15   15.17497       84.82502    
   608  0.3000000      0.2628976E-02   0.000000     -0.3962891E-02 -0.1069953E-02   0.000000       0.000000      0.2061046E-01  0.6406457E-02   0.000000      0.6406457E-02  0.8244182E-02 -0.1837725E-02   0.000000      0.1555000      0.1923684E-01  0.1362632     -0.2528793E-14   15.17497       84.82502    
   639  0.3238677      0.7222465E-02   0.000000      0.2386766E-01  0.4593489E-02   0.000000      0.4210000E-01  0.1645098E-01  0.5433217E-02   0.000000      0.5433217E-02  0.6580392E-02 -0.1147175E-02   0.000000      0.1913000      0.2465661E-01  0.1666434     -0.2421674E-14   15.17497       84.82502    
   669  0.3118462      0.4765728E-02   0.000000     -0.1202142E-01 -0.2456737E-02   0.000000      0.2220000E-01   0.000000      0.1197480E-01   0.000000      0.1197480E-01   0.000000      0.1197480E-01   0.000000      0.1895000      0.2470336E-01  0.1647966      0.3556183E-15   15.17497       84.82502    
   700  0.3490235      0.2247614E-01   0.000000      0.3717726E-01  0.1771041E-01   0.000000      0.1125000       0.000000      0.2690983E-01   0.000000      0.2690983E-01   0.000000      0.2690983E-01   0.000000      0.2076000      0.3070250E-01  0.1768975     -0.3469447E-17   15.17497       84.82502    
   731  0.3504469      0.1255972E-01   0.000000      0.1423443E-02 -0.9916420E-02   0.000000      0.7190000E-01   0.000000      0.4588564E-01   0.000000      0.4588564E-01   0.000000      0.4588564E-01   0.000000      0.2371000      0.3450733E-01  0.2025927      0.2445960E-15   15.17497       84.82502    
   760  0.4059606      0.8368458E-01   0.000000      0.5551364E-01  0.7112485E-01   0.000000      0.1777000       0.000000      0.2796668E-01   0.000000      0.2796668E-01   0.000000      0.2796668E-01   0.000000      0.1515000      0.2309482E-01  0.1284052      0.1942890E-15   15.17497       84.82502    
   791  0.3765602      0.9722999E-01   0.000000     -0.2940035E-01  0.1354541E-01   0.000000      0.1395000       0.000000      0.1357145       0.000000      0.1357145       0.000000      0.1357145       0.000000      0.1237000      0.1964039E-01  0.1040596      0.7320533E-15   15.17497       84.82502    
   821  0.3630880      0.1895387E-01   0.000000     -0.1347219E-01 -0.7827612E-01   0.000000      0.5030000E-01   0.000000      0.1302629       0.000000      0.1302629       0.000000      0.1302629       0.000000      0.7810000E-01  0.1178545E-01  0.6631455E-01 -0.2636780E-15   15.17497       84.82502    
   852  0.3670871      0.4829779E-01   0.000000      0.3999048E-02  0.2934392E-01   0.000000      0.8200000E-01   0.000000      0.4127723E-01   0.000000      0.4127723E-01   0.000000      0.4127723E-01   0.000000      0.4850000E-01  0.7379795E-02  0.4112020E-01  0.5967449E-15   15.17497       84.82502    
   882  0.3336836      0.1053747E-01   0.000000     -0.3340349E-01 -0.3776032E-01   0.000000      0.1600000E-02   0.000000      0.6652850E-01   0.000000      0.6652850E-01   0.000000      0.6652850E-01   0.000000      0.4350000E-01  0.6235315E-02  0.3726469E-01  0.3747003E-15   15.17497       84.82502    
   913  0.3234668      0.6970471E-02   0.000000     -0.1021678E-01 -0.3566996E-02   0.000000      0.1370000E-01   0.000000      0.2052648E-01   0.000000      0.2052648E-01   0.000000      0.2052648E-01   0.000000      0.5090000E-01  0.6957293E-02  0.4394271E-01 -0.2775558E-16   15.17497       84.82502    
   944  0.3187777      0.4964996E-02   0.000000     -0.4689162E-02 -0.2005475E-02   0.000000      0.1660000E-01   0.000000      0.1294804E-01   0.000000      0.1294804E-01   0.000000      0.1294804E-01   0.000000      0.7860000E-01  0.1034660E-01  0.6825341E-01 -0.4831205E-15   15.17497       84.82502    
   974  0.3357918      0.1066665E-01   0.000000      0.1701417E-01  0.5701653E-02   0.000000      0.5770000E-01   0.000000      0.1954180E-01   0.000000      0.1954180E-01   0.000000      0.1954180E-01   0.000000      0.1089000      0.1544238E-01  0.9345763E-01 -0.2619432E-15   15.17497       84.82502    
  1005  0.3150087      0.5458727E-02   0.000000     -0.2078309E-01 -0.5207922E-02   0.000000      0.1360000E-01   0.000000      0.1786005E-01   0.000000      0.1786005E-01   0.000000      0.1786005E-01   0.000000      0.1631000      0.2173096E-01  0.1413690      0.3668940E-15   15.17497       84.82502    
