id      X                 Y                  Kx_start
1     973542.472930681    124898.592052393       2.9379000E+01
2     975379.100994654    124531.266439599       3.2409500E+02
3     975033.382770847    122932.319654493       1.5070400E+02
4     975271.064049714    126346.287114584       2.5783900E+02
5     976113.752220243    127232.190063088       3.8599600E+02
6     974946.953214896    128312.559512484       1.5175900E+02
7     975551.960106557    129522.573295807       1.9291500E+02
8     977561.447282433    129889.898908602       3.0774100E+02
9     979030.749733611    129155.247683012       1.0013800E+02
10    976956.440390772    128118.093011593       9.1050700E+01
11    978576.994564865    127793.982176774       8.0346200E+01
12    977604.662060409    125978.961501789       7.7354900E+01
13    978576.994564865    124704.125551502       1.1700900E+02
14    977042.869946723    123991.081714901       2.7240400E+02
15    977669.484227373    122392.134929795       3.1405700E+01
16    980089.511794019    123558.933935142       2.2172000E+01
17    980046.297016044    126497.538837499       1.5267300E+01
18    981623.636412161    128096.485622605       1.2608600E+01
19    983352.227531195    128658.27773629        8.7690300E+00
20    985858.684653793    129846.684130626       1.8287900E+01
21    982704.005861557    124228.762993768       1.7409700E+01
22    985145.640817192    123061.96398842        7.3004000E+01
23    986636.550657358    121527.839370278       1.1751200E+01
24    988516.393499306    120166.57386404        3.5923600E+01
25    989013.363446028    122759.46054259        2.9822100E+01
26    986939.054103188    123429.289601215       3.1824200E+01
27    986269.225044563    126475.931448511       2.3945400E+01
28    980629.696518717    125525.206333043       1.9948800E+01
29    982768.828028521    126259.857558632       2.3832300E+01
30    984519.026536542    125157.880720248       2.1135300E+01
31    984432.59698059     127253.797452076       7.8497400E+00
32    986074.758543672    124747.340329478       2.4133900E+01
