pointid       X              Y                       multiplier
1      975119.226466052     129592.310996287              1.8363600E+01
2      976300.786089145     129355.999071668              2.0861000E+01
3      977417.897005524     129979.003236572              8.1925500E+00
4      978470.559215188     129785.657116429              6.2077500E+00
5      979072.080477854     129248.584560478              6.2016600E+00
6      978470.559215188     128217.405253051              2.1262600E+01
7      978814.285650997     127035.845629959              3.0462500E+00
8      979952.879469614     126649.153389674              9.1984600E-01
9      980618.849438994     127336.606261291              4.9285700E+00
10     981392.233919564     128238.888155289              1.6910200E+00
11     982552.310640418     128152.956546337              8.9933800E-01
12     983755.353165749     128861.892320193              7.5835800E-02
13     984614.669255271     129484.896485096              6.6451200E-02
14     985774.745976126     130000.48613881               5.7613600E-01
15     985495.468247031     128904.858124669              1.1658400E-01
16     985001.361495556     127852.195915005              6.1970800E-02
17     985151.741811223     126821.016607578              5.9065500E-01
18     986182.921118649     126584.704682959              1.3032100E+00
19     985882.160487316     125575.008277771              2.1502200E+00
20     986247.369825363     124522.346068106              8.1062900E-01
21     987106.685914885     123770.444489775              1.2081300E+00
22     988008.967808884     123211.889031585              5.3180900E+01
23     988911.249702882     122760.748084586              4.7223300E+00
24     988782.352289453     121965.880701778              2.4593000E+00
25     988524.557462597     120762.838176447              2.8828700E+00
26     987858.587493217     120204.282718258              4.2184400E+01
27     986848.891088029     120891.735589876              5.4329600E-01
28     986204.404020887     121794.017483874              2.9158900E+00
29     985173.224713461     122825.1967913                2.0728200E+00
30     984056.113797082     123620.064174108              1.0000000E+02
31     983089.38319637      124049.722218869              1.5161100E-02
32     981993.755182229     124157.13673006               4.3994400E-02
33     980876.64426585      123856.376098727              8.5098200E-02
34     980446.986221089     123211.889031585              3.4433400E-02
35     979351.358206949     123512.649662918              2.1013000E-01
36     978513.525019665     123254.854836061              1.9179100E+00
37     977976.452463713     122567.401964444              2.4301600E-01
38     977267.516689858     122352.572942063              2.0470800E-01
39     976257.820284669     122825.1967913                6.8966900E-01
40     975527.401608575     123276.337738299              5.2004800E+00
41     974732.534225767     122696.299377872              3.3118200E-01
42     974410.290692197     123834.893196489              1.6932600E+00
43     973550.974602674     124307.517045726              1.2867400E+00
44     973207.248166866     124973.487015106              4.6323000E+00
45     974066.564256388     125424.627962105              1.0000000E+02
46     974839.948736958     126283.944051627              4.7003700E+00
47     974711.051323529     127336.606261291              3.5451700E-01
48     974646.602616815     128582.614591098              2.3460800E+00
49     975334.055488433     127981.093328433              3.0061800E+00
50     975828.162239908     128926.341026907              1.8735500E+01
51     977353.44829881      128969.306831383              4.3023000E+00
52     977826.072148047     128195.922350813              2.4722600E+00
53     977439.379907762     126949.914021006              3.0014000E+00
54     976537.098013764     127809.230110528              9.0433800E+00
55     976279.303186907     126262.461149389              6.7289400E-02
56     975699.26482648      125660.939886723              1.9789800E-01
57     975033.2948571       125532.042473295              8.6669500E-02
58     974818.46583472      124715.692188249              2.9430100E+01
59     973959.149745198     124608.277677059              7.5773200E-01
60     974882.914541434     124135.653827822              1.7874300E+00
61     975656.299022004     124307.517045726              2.4677500E-01
62     976085.957066765     123641.547076346              4.7436200E+01
63     976816.375742858     123555.615467394              8.0899300E+00
64     976902.307351811     124586.794774821              1.9878500E+00
65     976150.405773479     125231.281841962              1.2180900E+01
66     976816.375742858     125403.145059867              6.7900400E-01
67     977331.965396572     125102.384428534              1.4296300E+00
68     977912.003756999     125854.286006866              6.8751100E-03
69     977117.136374191     126219.495344913              1.3694800E+00
70     978234.24729057      126391.358562817              5.0046400E-02
71     978470.559215188     125446.110864343              1.0000000E+02
72     978062.384072665     124715.692188249              1.3412400E+01
73     977353.44829881      124092.688023345              1.7418100E-01
74     977267.516689858     123082.991618157              5.0255200E+00
75     977976.452463713     123362.269347252              1.7905100E+00
76     978341.66180176      123942.307707679              1.4924800E-01
77     979136.529184568     124221.585436774              2.8009400E-01
78     979115.04628233      124994.969917344              1.5362000E-01
79     979007.63177114      125897.251811342              1.3850900E+01
80     979781.01625171      126112.080833722              1.4969200E+00
81     980038.811078566     125553.525375533              1.5699100E-01
82     979974.362371852     124586.794774821              3.5712900E+00
83     980597.366536756     124436.414459154              9.8586300E-01
84     981263.336506135     124436.414459154              4.8291700E-01
85     980726.263950184     125403.145059867              5.0000000E-03
86     980769.22975466      126262.461149389              3.3865500E-02
87     981112.956190469     126928.431118768              7.0038100E-03
88     981757.44325761      127529.952381434              2.2861200E-01
89     982466.379031466     127250.674652339              6.4630600E-02
90     983454.592534417     127680.3326971                1.9901100E-02
91     984378.357330653     128131.473644099              4.4629700E-02
92     984163.528308272     127014.36272772               5.0000000E-03
93     983218.280609798     126434.324367293              5.0000000E-03
94     982015.238084467     125553.525375533              1.3696000E-01
95     981757.44325761      126283.944051627              2.0862800E-02
96     982960.485782941     125102.384428534              8.6623900E-03
97     983368.660925464     124715.692188249              5.9955900E-03
98     984056.113797082     124371.96575244               6.9954600E-01
99     984657.635059747     124286.034143488              4.9552800E+00
100    984936.912788842     125274.247646438              5.5971600E+00
101    983733.870263511     125682.422788961              5.0000000E-03
102    984249.459917224     126305.426953865              4.5003800E-02
103    985151.741811223     126047.632127008              3.5265100E-01
104    985667.331464936     124307.517045726              2.3631700E+00
105    985194.707615699     123491.16676068               5.8508200E-02
106    985774.745976126     123405.235151728              7.8555700E-01
107    986440.715945506     123834.893196489              4.4270800E+00
108    986891.856892505     123620.064174108              8.7568800E-01
109    986977.788501457     123104.474520395              2.4394800E-01
110    986483.681749982     123233.371933823              4.1901400E+00
111    985968.092096269     123018.542911443              5.9439000E+00
112    986247.369825363     122417.021648777              1.3199600E+00
113    986762.959479077     122352.572942063              4.7715800E-02
114    986999.271403695     121450.291048065              6.6759200E+00
115    986827.408185791     122803.713889062              3.8866300E-01
116    987514.861057408     123340.786445014              1.9530000E+01
117    987966.002004407     122760.748084586              2.2721900E+01
118    988481.591658121     122825.1967913                7.1115300E+00
119    987364.480741742     122266.641333111              2.3399100E-01
120    987450.412350694     121579.188461493              4.3784800E-01
121    987987.484906645     120891.735589876              1.4320300E+00
122    988266.76263574      121557.705559255              4.7674100E-01
123    987966.002004407     122137.743919683              3.0966700E-01
124    978083.866974904     125080.901526296              3.0105100E+01
125    978792.802748759     125274.247646438              9.0215600E+01
126    977589.760223428     126155.046638198              5.9620900E-02
127    977675.69183238      124457.897361392              3.9553700E+00
128    978577.973726379     124436.414459154              4.5035900E+01
129    979437.289815901     124586.794774821              1.0702000E+00
130    982466.379031466     126498.773074007              1.1674400E-02
131    982745.656760561     125703.905691199              5.0000000E-03
132    983454.592534417     127035.845629959              5.0000000E-03
133    986311.818532077     123448.200956204              7.1922900E-01
134    986698.510772362     123330.044993895              8.4408300E+00
135    986698.510772362     123018.542911443              1.0343900E+01
136    987224.841877195     123340.786445014              1.5599500E-01
137    987342.997839504     122964.835655848              1.6511900E+01
138    987138.910268242     122696.299377872              2.3491100E-01
139    986408.491592149     122954.094204729              8.2274000E+00
140    986537.389005577     122341.831490944              9.7917200E-02
141    985710.297269412     122717.78228011               1.4888700E+00
142    986096.989509697     123244.113384942              3.8559900E+00
143    986977.788501457     123276.337738299              3.0220200E+00
144    986741.476576839     123770.444489775              8.1280900E-01
145    986601.837712291     123598.58127187               1.5673900E+00
146    987181.876072719     123018.542911443              1.6137600E-01
147    986999.271403695     122470.728904372              8.1054600E-02
148    986634.062065648     122588.884866682              8.7080700E-01
149    986666.286419005     122094.778115207              6.3416200E-02
150    986064.76515634      122696.299377872              4.9882900E+00
151    986805.925283553     121708.085874922              1.0000000E+02
152    986311.818532077     122084.036664088              7.0596000E-01
