pointid    X                       Y                  reach       cond_mult              head_add
1         973137.979748462       124851.208406848       1            4.5617300E+00         -1.3000000E-04
2         973902.866665724       124901.529914562       1            2.1147200E+02         -1.3000000E-04
3         974627.496376814       125133.008850049       1            9.1225200E+01         -1.3000000E-04
4         975191.097263218       125434.937896337       1            3.9024000E+01         -1.3000000E-04
5         973611.001920979       125263.844770107       2            1.9728900E+02         -1.3000000E-04
6         974436.274647499       125354.423483994       2            2.9707700E+02         -1.3000000E-04
7         975140.775755503       125414.809293251       2            4.9686700E+01         -1.3000000E-04
8         975704.376641907       125907.960068854       1            4.6467300E+00         -1.3000000E-04
9         975996.241386651       126521.882462972       1            1.1917600E+01         -1.3000000E-04
10        976459.199257626       126219.953416685       1            3.4630000E-01         -1.3000000E-04
11        977214.021873345       126240.08201977        1            2.7965700E+00         -1.3000000E-04
12        977284.471984145       126572.203970687       1            2.5546800E+01         -1.3000000E-04
13        977747.429855119       126763.425700002       1            4.8411000E+00         -1.3000000E-04
14        978170.130519922       126773.490001545       1            1.6278800E+00         -1.3000000E-04
15        978109.744710664       126360.853638285       1            1.1705800E+01         -1.3000000E-04
16        978381.480852323       125918.024370397       1            8.9220200E+00         -1.3000000E-04
17        979146.367769585       126119.310401255       1            1.4979000E+02         -1.3000000E-04
18        980001.833400733       126330.660733657       1            2.4017700E+00         -1.3000000E-04
19        980736.527413366       126250.146321313       1            1.6499700E-01         -1.3000000E-04
20        981279.999696684       126360.853638285       1            1.9928300E+00         -1.3000000E-04
21        981732.893266115       126491.689558343       1            1.9761400E-01         -1.3000000E-04
22        981964.372201603       126179.696210513       1            3.9808200E-03         -1.3000000E-04
23        981853.66488463        125767.059847253       1            8.9566000E-03         -1.3000000E-04
24        981712.76466303        125455.066499423       1            4.3375900E-01         -1.3000000E-04
25        982135.465327832       125133.008850049       1            1.3771200E+00         -1.3000000E-04
26        982397.137167948       125263.844770107       1            3.0251700E-01         -1.3000000E-04
27        982527.973088006       124921.658517648       1            1.4809200E+01         -1.3000000E-04
28        982487.715881834       124478.82924976        1            3.8832300E+00         -1.3000000E-04
29        982638.680404978       124619.72947136        1            1.3935000E+01         -1.3000000E-04
30        982759.452023493       124740.501089875       1            2.7975600E+01         -1.3000000E-04
31        982900.352245094       124831.079803762       1            1.1331700E+01         -1.3000000E-04
32        982457.522977206       124740.501089875       1            1.2226200E+01         -1.3000000E-04
33        983272.731402182       124851.208406848       1            1.3183500E+00         -1.3000000E-04
34        983685.367765442       124488.893551302       1            1.7624200E+01         -1.3000000E-04
35        983675.303463899       124025.935680328       1            5.1423800E-01         -1.3000000E-04
36        984259.032953388       123874.971157184       1            2.0707300E+00         -1.3000000E-04
37        984913.212553678       123693.813729412       1            6.6064700E-01         -1.3000000E-04
38        985738.485280197       123824.64964947        1            2.5978700E+00         -1.3000000E-04
39        986372.536277401       123613.299317068       1            5.8429700E+00         -1.3000000E-04
40        986936.137163805       123512.656301639       1            1.6491400E+00         -1.3000000E-04
41        987197.809003921       122989.312621408       1            2.9685100E-01         -1.3000000E-04
42        987278.323416264       122808.155193635       1            5.9152400E-01         -1.3000000E-04
43        987419.223637865       122556.547655062       1            5.0405700E-01         -1.3000000E-04
44        987600.381065637       122697.447876663       1            1.2436500E-01         -1.3000000E-04
45        987761.409890324       123079.891335294       1            3.3852400E-01         -1.3000000E-04
46        988184.110555127       123039.634129122       1            2.7774200E-01         -1.3000000E-04
47        988425.653792157       122808.155193635       1            4.9618800E-01         -1.3000000E-04
48        988596.746918386       122445.84033809        1            2.3188300E+00         -1.3000000E-04
49        988898.675964674       122717.576479749       1            4.2900700E-01         -1.3000000E-04
50        988667.197029187       121459.538786884       1            6.2560800E-01         -1.3000000E-04
51        988747.71144153        121982.882467116       1            6.2868600E-01         -1.3000000E-04
52        974808.653804587       126632.589779944       3            1.8089300E+02         -1.3000000E-04
53        975452.769103334       126954.647429318       3            2.2351000E+02         -1.3000000E-04
54        976177.398814424       127045.226143204       3            7.6052500E+01         -1.3000000E-04
55        976479.327860712       126471.560955258       3            4.9106600E+00         -1.3000000E-04
56        976871.835620885       126109.246099712       3            2.1746700E+00         -1.3000000E-04
