 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP086            5683.634       2126.209      23  0.0     1.0            832.016   1.0       0.0
 PP087            5939.419       3302.822      23  0.0     1.0            794.658   1.0       0.0
 PP088            7218.347       3021.458      23  0.0     1.0            821.547   1.0       0.0
 PP089            9290.211       8392.956      23  0.0     1.0           1103.435   1.0       0.0
 PP090            9290.211       7600.021      23  0.0     1.0            901.202   1.0       0.0
 PP091            9060.004       6500.143      23  0.0     1.0           1035.478   1.0       0.0
 PP092            8753.061       5809.522      23  0.0     1.0            750.172   1.0       0.0
 PP093             286.557       9723.042      23  0.0     1.0           1573.660   1.0       0.0
 PP094            2639.785       9671.885      23  0.0     1.0           1418.949   1.0       0.0
 PP095            4276.813       9646.306      23  0.0     1.0           1427.277   1.0       0.0
 PP096            7064.876       9825.356      23  0.0     1.0           1053.119   1.0       0.0
 PP097            7781.076       8827.792      23  0.0     1.0            938.694   1.0       0.0
 PP098            7064.876       8444.114      23  0.0     1.0            855.171   1.0       0.0
 PP099            7013.719       5962.993      23  0.0     1.0            814.606   1.0       0.0
 PP100            7320.662       5758.364      23  0.0     1.0            766.236   1.0       0.0
 PP101            6502.148       7088.450      23  0.0     1.0            808.081   1.0       0.0
 PP102            2946.727       4249.229      23  0.0     1.0            626.064   1.0       0.0
 PP103            3560.613       3047.037      23  0.0     1.0            814.063   1.0       0.0
 PP104            3381.563       3507.451      23  0.0     1.0            702.256   1.0       0.0
 PP105            1463.171       2381.994      23  0.0     1.0            851.753   1.0       0.0
 PP106            4021.027       2356.416      23  0.0     1.0            785.517   1.0       0.0
 PP107            4660.491       4198.072      23  0.0     1.0            671.745   1.0       0.0
 PP108            5530.162       4479.436      23  0.0     1.0            675.764   1.0       0.0
 PP109            6655.619       4786.379      23  0.0     1.0            621.089   1.0       0.0
 PP110            1284.121       5937.414      23  0.0     1.0            755.281   1.0       0.0
 PP111            2281.685       5681.629      23  0.0     1.0            704.647   1.0       0.0
 PP112            3151.356       5400.265      23  0.0     1.0            612.863   1.0       0.0
 PP113            3995.449       5349.107      23  0.0     1.0            508.537   1.0       0.0
 PP114            4941.855       5272.372      23  0.0     1.0            618.981   1.0       0.0
 PP115            6016.155       5246.793      23  0.0     1.0            664.367   1.0       0.0
 PP116            5146.484       4505.015      23  0.0     1.0            689.055   1.0       0.0
 PP117            5376.691       4888.693      23  0.0     1.0            681.883   1.0       0.0
 PP118            5913.841       4505.015      23  0.0     1.0            645.145   1.0       0.0
 PP119            6118.469       4888.693      23  0.0     1.0            590.694   1.0       0.0
 PP120            6425.412       4991.008      23  0.0     1.0            645.658   1.0       0.0
 PP121            2869.992       4607.329      23  0.0     1.0            658.140   1.0       0.0
 PP122            1667.799       4351.543      23  0.0     1.0            723.131   1.0       0.0
 PP123             977.178       4249.229      23  0.0     1.0            866.783   1.0       0.0
 PP124             798.128       6116.464      23  0.0     1.0            764.873   1.0       0.0
 PP125            5542.952       5899.047      23  0.0     1.0            802.875   1.0       0.0
 PP126            5542.952       5361.897      23  0.0     1.0            654.241   1.0       0.0
 PP127            5696.423       3891.129      23  0.0     1.0            679.209   1.0       0.0
 PP128            6297.519       4351.543      23  0.0     1.0            614.001   1.0       0.0
 PP129            4174.498       5029.375      23  0.0     1.0            563.644   1.0       0.0
 PP130            4404.706       5630.472      23  0.0     1.0            500.491   1.0       0.0
 PP131            5184.852       5477.000      23  0.0     1.0            645.651   1.0       0.0
 PP132            5056.959       4927.061      23  0.0     1.0            690.911   1.0       0.0
 PP133            4698.859       4466.647      23  0.0     1.0            649.957   1.0       0.0
 PP134            3688.506       4543.383      23  0.0     1.0            669.756   1.0       0.0
 PP135            7819.444       4786.379      23  0.0     1.0            616.527   1.0       0.0
 PP136            8510.065       4671.276      23  0.0     1.0            737.360   1.0       0.0
 PP137            8650.747       5170.057      23  0.0     1.0            701.887   1.0       0.0
 PP138            8676.326       4274.808      23  0.0     1.0            898.663   1.0       0.0
 PP139            6514.937       5349.107      23  0.0     1.0            682.468   1.0       0.0
 PP140            3790.820       5643.261      23  0.0     1.0            526.989   1.0       0.0
 PP141            4136.131       6135.648      23  0.0     1.0            541.113   1.0       0.0
 PP142            4948.250       6359.461      23  0.0     1.0            908.074   1.0       0.0
 PP143             337.714       8974.869      23  0.0     1.0           1255.459   1.0       0.0
 PP144             286.557       8002.883      23  0.0     1.0           1230.212   1.0       0.0
 PP145             286.557       6903.005      23  0.0     1.0           1103.614   1.0       0.0
 PP146             260.978       6058.913      23  0.0     1.0           1077.558   1.0       0.0
 PP147             235.400       4575.356      23  0.0     1.0           1113.720   1.0       0.0
 PP148             286.557       5317.134      23  0.0     1.0           1099.638   1.0       0.0
 PP149             286.557       3603.371      23  0.0     1.0            958.857   1.0       0.0
 PP150             286.557       2068.657      23  0.0     1.0            983.032   1.0       0.0
 PP151             286.557       1198.986      23  0.0     1.0           1084.924   1.0       0.0
 PP152            1130.650       5214.820      23  0.0     1.0            785.209   1.0       0.0
 PP153            1770.114       5163.663      23  0.0     1.0            739.059   1.0       0.0
 PP154            2665.363       4984.613      23  0.0     1.0            707.930   1.0       0.0
 PP155            3893.134       4805.563      23  0.0     1.0            624.074   1.0       0.0
 PP156            1258.542       7465.733      23  0.0     1.0           1050.739   1.0       0.0
 PP157            1718.956       6596.062      23  0.0     1.0            959.626   1.0       0.0
 PP158            3023.463       8054.040      23  0.0     1.0            974.955   1.0       0.0
 PP159            2511.892       7235.526      23  0.0     1.0            937.973   1.0       0.0
 PP160            3944.291       8744.662      23  0.0     1.0           1084.694   1.0       0.0
 PP161            5274.377       7414.576      23  0.0     1.0            900.424   1.0       0.0
 PP162            6220.784       6621.641      23  0.0     1.0            804.167   1.0       0.0
 PP163            4097.763       7593.626      23  0.0     1.0            925.377   1.0       0.0
 PP164            4558.177       6749.534      23  0.0     1.0            801.189   1.0       0.0
 PP165            6144.048       5956.598      23  0.0     1.0            766.005   1.0       0.0
 PP166            2869.992       5841.495      23  0.0     1.0            664.979   1.0       0.0
 PP167            3279.249       5854.284      23  0.0     1.0            599.826   1.0       0.0
 PP168            3573.402       5854.284      23  0.0     1.0            567.390   1.0       0.0
 PP169            3893.134       5854.284      23  0.0     1.0            544.589   1.0       0.0
 PP170            4302.391       5879.863      23  0.0     1.0            517.318   1.0       0.0
 PP171            3381.563       5624.077      23  0.0     1.0            553.156   1.0       0.0
 PP172            3547.824       5457.816      23  0.0     1.0            537.367   1.0       0.0
 PP173            4187.288       5662.445      23  0.0     1.0            489.737   1.0       0.0
 PP174            4583.755       5419.448      23  0.0     1.0            549.463   1.0       0.0
 PP175            4583.755       5048.559      23  0.0     1.0            602.244   1.0       0.0
 PP176            4174.498       5202.031      23  0.0     1.0            532.754   1.0       0.0
 PP177            3176.935       5048.559      23  0.0     1.0            668.932   1.0       0.0
 PP178            3739.663       5099.716      23  0.0     1.0            627.801   1.0       0.0
 PP179            2933.938       6110.070      23  0.0     1.0            657.348   1.0       0.0
 PP180            3240.881       6135.648      23  0.0     1.0            607.342   1.0       0.0
 PP181            3611.770       6148.437      23  0.0     1.0            601.841   1.0       0.0
 PP182            3969.870       6148.437      23  0.0     1.0            570.038   1.0       0.0
 PP183            4647.702       5649.656      23  0.0     1.0            559.171   1.0       0.0
 PP184            4558.177       5918.230      23  0.0     1.0            597.162   1.0       0.0
 PP185            4404.706       6199.595      23  0.0     1.0            623.848   1.0       0.0
 PP186            4404.706       6378.645      23  0.0     1.0            628.432   1.0       0.0
 PP187            4123.341       6404.223      23  0.0     1.0            607.701   1.0       0.0
 PP188            3854.766       6455.380      23  0.0     1.0            638.352   1.0       0.0
 PP189            3535.034       6404.223      23  0.0     1.0            639.106   1.0       0.0
 PP190            3304.827       6429.802      23  0.0     1.0            628.626   1.0       0.0
 PP191            2946.727       6442.591      23  0.0     1.0            679.740   1.0       0.0
 PP192            3087.410       6634.430      23  0.0     1.0            694.098   1.0       0.0
 PP193            3394.352       7069.266      23  0.0     1.0            910.039   1.0       0.0
 PP194            3483.877       6711.166      23  0.0     1.0            723.705   1.0       0.0
 PP195            3905.924       6851.848      23  0.0     1.0            818.791   1.0       0.0
 PP196            4327.970       6749.534      23  0.0     1.0            758.376   1.0       0.0
 PP197            4941.855       5943.809      23  0.0     1.0            751.669   1.0       0.0
 PP198            2690.942       6225.173      23  0.0     1.0            688.856   1.0       0.0
 PP199            2396.788       5982.177      23  0.0     1.0            703.868   1.0       0.0
 PP200            2652.574       5675.234      23  0.0     1.0            689.837   1.0       0.0
 PP201            2626.995       5432.238      23  0.0     1.0            723.254   1.0       0.0
 PP202            4993.012       5675.234      23  0.0     1.0            648.168   1.0       0.0
 PP203            6412.623       2618.596      23  0.0     1.0            962.184   1.0       0.0
 PP204            5875.473       1109.461      23  0.0     1.0            842.996   1.0       0.0
 PP205            6821.880       3437.110      23  0.0     1.0            909.289   1.0       0.0
 PP206            4724.438       8373.772      23  0.0     1.0           1142.201   1.0       0.0
 PP207            1757.324       2925.539      23  0.0     1.0            838.979   1.0       0.0
 PP208            1092.282       2746.489      23  0.0     1.0            706.717   1.0       0.0
 PP209            1936.374       3309.217      23  0.0     1.0            763.062   1.0       0.0
 PP210             715.229       9766.393      23  0.0     1.0           1290.782   1.0       0.0
 PP211             698.621       9317.987      23  0.0     1.0           1044.603   1.0       0.0
 PP212            1612.041       9633.532      23  0.0     1.0           1158.287   1.0       0.0
 PP213            1147.027       9583.709      23  0.0     1.0           1064.965   1.0       0.0
 PP214            1147.027       9068.872      23  0.0     1.0            997.910   1.0       0.0
 PP215             947.736       8670.289      23  0.0     1.0           1052.404   1.0       0.0
 PP216             432.899       8437.782      23  0.0     1.0           1208.191   1.0       0.0
 PP217            1296.496       8022.591      23  0.0     1.0           1071.088   1.0       0.0
 PP218             765.052       7839.907      23  0.0     1.0           1072.628   1.0       0.0
 PP219             366.468       7125.778      23  0.0     1.0           1049.380   1.0       0.0
 PP220             200.392       7590.792      23  0.0     1.0           1204.989   1.0       0.0
 PP221             715.229       7325.070      23  0.0     1.0            966.776   1.0       0.0
 PP222             814.875       6777.018      23  0.0     1.0            942.407   1.0       0.0
 PP223            1163.635       6561.118      23  0.0     1.0            901.025   1.0       0.0
 PP224            1445.965       7125.778      23  0.0     1.0           1023.311   1.0       0.0
 PP225             549.152       6561.118      23  0.0     1.0            937.725   1.0       0.0
 PP226            1844.548       7291.854      23  0.0     1.0            999.541   1.0       0.0
 PP227            2093.663       8055.806      23  0.0     1.0            927.628   1.0       0.0
 PP228            2375.993       7922.945      23  0.0     1.0            898.320   1.0       0.0
 PP229            2542.069       8819.757      23  0.0     1.0           1100.042   1.0       0.0
 PP230            3123.337       8587.250      23  0.0     1.0           1104.718   1.0       0.0
 PP231            3272.805       9019.049      23  0.0     1.0           1172.819   1.0       0.0
 PP232            2425.816       9317.987      23  0.0     1.0           1175.356   1.0       0.0
 PP233            1927.586       9650.139      23  0.0     1.0           1232.723   1.0       0.0
 PP234            3472.097       9600.316      23  0.0     1.0           1475.877   1.0       0.0
 PP235            3920.503       9151.910      23  0.0     1.0           1176.436   1.0       0.0
 PP236            4833.924       9401.025      23  0.0     1.0           1196.268   1.0       0.0
 PP237            5083.038       9666.747      23  0.0     1.0           1278.013   1.0       0.0
 PP238            5564.660       9301.379      23  0.0     1.0            983.804   1.0       0.0
 PP239            4601.417       9052.264      23  0.0     1.0           1129.249   1.0       0.0
 PP240            5249.115       8686.896      23  0.0     1.0           1092.979   1.0       0.0
 PP241            5780.559       8221.882      23  0.0     1.0            951.679   1.0       0.0
 PP242            5215.899       7756.868      23  0.0     1.0           1026.044   1.0       0.0
 PP243            4352.302       7939.552      23  0.0     1.0            945.204   1.0       0.0
 PP244            4153.010       8437.782      23  0.0     1.0           1003.978   1.0       0.0
 PP245            3671.389       7856.514      23  0.0     1.0            936.420   1.0       0.0
 PP246            2890.830       7258.639      23  0.0     1.0            927.990   1.0       0.0
 PP247            3372.451       7740.261      23  0.0     1.0            981.238   1.0       0.0
 PP248            3937.111       7341.677      23  0.0     1.0            947.678   1.0       0.0
 PP249            4618.024       7158.993      23  0.0     1.0            893.908   1.0       0.0
 PP250            5132.861       7524.361      23  0.0     1.0            964.751   1.0       0.0
 PP251            4667.847       7308.462      23  0.0     1.0            885.076   1.0       0.0
 PP252            5531.445       6610.941      23  0.0     1.0            848.653   1.0       0.0
 PP253            5548.052       6710.587      23  0.0     1.0            831.916   1.0       0.0
 PP254            5730.736       7408.108      23  0.0     1.0            933.810   1.0       0.0
 PP255            6096.104       7142.386      23  0.0     1.0            857.455   1.0       0.0
 PP256            5880.205       6943.094      23  0.0     1.0            823.119   1.0       0.0
 PP257            5166.076       6959.702      23  0.0     1.0            885.420   1.0       0.0
 PP258            5747.344       6527.903      23  0.0     1.0            816.452   1.0       0.0
 PP259            6046.281       6129.320      23  0.0     1.0            797.101   1.0       0.0
