 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP001            1319.291       8763.846      23  0.0     1.0           1038.138   1.8       45
 PP002            2061.070       8712.688      23  0.0     1.0           1074.070   1.8       45
 PP003            1677.391       9147.524      23  0.0     1.0           1029.662   1.8       45
 PP004            1677.391       8226.696      23  0.0     1.0           1030.953   1.8       45
 PP005            1319.291       3136.562      23  0.0     1.0            739.347   1.8       45
 PP006             603.092       3724.869      23  0.0     1.0            813.631   1.8       45
 PP007             603.092       3059.826      23  0.0     1.0            745.611   1.8       45
 PP008            1268.134       3750.447      23  0.0     1.0            834.072   1.8       45
 PP009            1779.706       3750.447      23  0.0     1.0            720.647   1.8       45
 PP010            2316.855       3520.240      23  0.0     1.0            800.690   1.8       45
 PP011            2572.641       3929.497      23  0.0     1.0            666.163   1.8       45
 PP012            2035.491       4185.283      23  0.0     1.0            593.593   1.8       45
 PP013            3825.991       4313.176      23  0.0     1.0            707.857   1.8       45
 PP014            3595.784       4082.969      23  0.0     1.0            712.725   1.8       45
 PP015            4158.512       4082.969      23  0.0     1.0            738.314   1.8       45
 PP016            3928.305       3776.026      23  0.0     1.0            754.976   1.8       45
 PP017            3928.305       3110.983      23  0.0     1.0            784.832   1.8       45
 PP018            4772.397       3008.669      23  0.0     1.0            740.787   1.8       45
 PP019            4158.512       3366.769      23  0.0     1.0            779.132   1.8       45
 PP020            4337.562       2676.148      23  0.0     1.0            738.688   1.8       45
 PP021            5974.590       9019.631      23  0.0     1.0            853.082   1.8       45
 PP022            5590.911       9607.938      23  0.0     1.0           1130.117   1.8       45
 PP023            6383.847       8456.903      23  0.0     1.0            902.087   1.8       45
 PP024            6562.897       8994.053      23  0.0     1.0            906.343   1.8       45
 PP025            6204.797       7843.017      23  0.0     1.0            932.922   1.8       45
 PP026            6716.368       7919.753      23  0.0     1.0            827.902   1.8       45
 PP027            5846.697       8354.589      23  0.0     1.0            925.702   1.8       45
 PP028            8711.496       8789.424      23  0.0     1.0            978.354   1.8       45
 PP029            8327.818       8188.328      23  0.0     1.0           1071.781   1.8       45
 PP030            7163.993       7344.235      23  0.0     1.0            893.363   1.8       45
 PP031            7586.039       7408.182      23  0.0     1.0            968.800   1.8       45
 PP032            8020.875       7139.607      23  0.0     1.0            989.874   1.8       45
 PP033            7624.407       6691.982      23  0.0     1.0           1064.342   1.8       45
 PP034            8148.768       6743.139      23  0.0     1.0            938.371   1.8       45
 PP035            8481.289       7472.128      23  0.0     1.0            928.482   1.8       45
 PP036            7074.468       6628.036      23  0.0     1.0            923.642   1.8       45
 PP037            7586.039       6244.357      23  0.0     1.0            986.394   1.8       45
 PP038            8289.450       6078.096      23  0.0     1.0            798.677   1.8       45
 PP039            7790.668       7868.596      23  0.0     1.0           1008.392   1.8       45
 PP040            8903.335       7958.121      23  0.0     1.0            838.182   1.8       45
 PP041            8864.967       9812.567      23  0.0     1.0           1282.002   1.8       45
 PP042            9261.435       9467.256      23  0.0     1.0           1383.764   1.8       45
 PP043            8353.396       9480.045      23  0.0     1.0            860.903   1.8       45
 PP044            9146.332       8840.581      23  0.0     1.0           1143.607   1.8       45
 PP045            7681.959       5489.790      23  0.0     1.0            622.214   1.8       45
 PP046            7234.334       4140.520      23  0.0     1.0            691.882   1.8       45
 PP047            8206.319       4984.613      23  0.0     1.0            681.123   1.8       45
 PP048            8462.105       5470.606      23  0.0     1.0            561.053   1.8       45
 PP049            7963.323       5585.709      23  0.0     1.0            558.160   1.8       45
 PP050            7726.721       5125.295      23  0.0     1.0            602.696   1.8       45
 PP051            7061.679       5208.425      23  0.0     1.0            637.221   1.8       45
 PP052            7061.679       4824.747      23  0.0     1.0            638.289   1.8       45
 PP053            6588.475       1710.557      23  0.0     1.0            840.045   1.8       45
 PP054            7074.468       1697.768      23  0.0     1.0            851.882   1.8       45
 PP055            6850.656       1972.737      23  0.0     1.0            838.687   1.8       45
 PP056            6844.261       1429.193      23  0.0     1.0            814.181   1.8       45
 PP057            2457.537       2893.565      23  0.0     1.0            858.094   1.8       45
 PP058            2802.848       2778.462      23  0.0     1.0            861.085   1.8       45
 PP059            2917.952       3417.926      23  0.0     1.0            775.536   1.8       45
 PP060            2035.491       2241.312      23  0.0     1.0            811.265   1.8       45
 PP061            2559.852       2484.308      23  0.0     1.0            773.142   1.8       45
 PP062            3154.553       2260.496      23  0.0     1.0            848.779   1.8       45
 PP063            3458.299       1883.212      23  0.0     1.0            859.878   1.8       45
 PP064            4238.445       1653.005      23  0.0     1.0            871.585   1.8       45
 PP065            4251.234       1256.537      23  0.0     1.0            887.373   1.8       45
 PP066            4558.177       1358.852      23  0.0     1.0            932.358   1.8       45
 PP067            3381.563       1435.587      23  0.0     1.0            869.795   1.8       45
 PP068            2217.738       1525.112      23  0.0     1.0            854.118   1.8       45
 PP069            1552.696       1665.794      23  0.0     1.0            789.873   1.8       45
 PP070             913.232       1218.170      23  0.0     1.0            859.974   1.8       45
 PP071            1539.907       1103.066      23  0.0     1.0            852.798   1.8       45
 PP072            1028.335       1729.741      23  0.0     1.0            747.827   1.8       45
 PP073            2831.624       1013.541      23  0.0     1.0            786.974   1.8       45
 PP074            2869.992        489.180      23  0.0     1.0            795.693   1.8       45
 PP075            2946.727       1896.001      23  0.0     1.0            803.181   1.8       45
 PP076            2946.727       1678.584      23  0.0     1.0            798.539   1.8       45
 PP077             388.871        335.709      23  0.0     1.0           1241.819   1.8       45
 PP078            1284.121        284.552      23  0.0     1.0           1109.566   1.8       45
 PP079            2383.999        335.709      23  0.0     1.0            921.180   1.8       45
 PP080            4097.763        386.866      23  0.0     1.0            955.142   1.8       45
 PP081            5172.062        310.131      23  0.0     1.0           1006.458   1.8       45
 PP082            6911.405        514.759      23  0.0     1.0            912.885   1.8       45
 PP083            8215.911       3763.237      23  0.0     1.0            916.608   1.8       45
 PP084            7960.126       2535.466      23  0.0     1.0            861.312   1.8       45
 PP085            7550.869       1384.430      23  0.0     1.0            976.282   1.8       45
 PP086            5683.634       2126.209      23  0.0     1.0            832.016   1.8       45
 PP087            5939.419       3302.822      23  0.0     1.0            794.658   1.8       45
 PP088            7218.347       3021.458      23  0.0     1.0            821.547   1.8       45
 PP089            9290.211       8392.956      23  0.0     1.0           1103.435   1.8       45
 PP090            9290.211       7600.021      23  0.0     1.0            901.202   1.8       45
 PP091            9060.004       6500.143      23  0.0     1.0           1035.478   1.8       45
 PP092            8753.061       5809.522      23  0.0     1.0            750.172   1.8       45
 PP093             286.557       9723.042      23  0.0     1.0           1573.660   1.8       45
 PP094            2639.785       9671.885      23  0.0     1.0           1418.949   1.8       45
 PP095            4276.813       9646.306      23  0.0     1.0           1427.277   1.8       45
 PP096            7064.876       9825.356      23  0.0     1.0           1053.119   1.8       45
 PP097            7781.076       8827.792      23  0.0     1.0            938.694   1.8       45
 PP098            7064.876       8444.114      23  0.0     1.0            855.171   1.8       45
 PP099            7013.719       5962.993      23  0.0     1.0            814.606   1.8       45
 PP100            7320.662       5758.364      23  0.0     1.0            766.236   1.8       45
 PP101            6502.148       7088.450      23  0.0     1.0            808.081   1.8       45
 PP102            2946.727       4249.229      23  0.0     1.0            626.064   1.8       45
 PP103            3560.613       3047.037      23  0.0     1.0            814.063   1.8       45
 PP104            3381.563       3507.451      23  0.0     1.0            702.256   1.8       45
 PP105            1463.171       2381.994      23  0.0     1.0            851.753   1.8       45
 PP106            4021.027       2356.416      23  0.0     1.0            785.517   1.8       45
 PP107            4660.491       4198.072      23  0.0     1.0            671.745   1.8       45
 PP108            5530.162       4479.436      23  0.0     1.0            675.764   1.8       45
 PP109            6655.619       4786.379      23  0.0     1.0            621.089   1.8       45
 PP110            1284.121       5937.414      23  0.0     1.0            755.281   1.8       45
 PP111            2281.685       5681.629      23  0.0     1.0            704.647   1.8       45
 PP112            3151.356       5400.265      23  0.0     1.0            612.863   1.8       45
 PP113            3995.449       5349.107      23  0.0     1.0            508.537   1.8       45
 PP114            4941.855       5272.372      23  0.0     1.0            618.981   1.8       45
 PP115            6016.155       5246.793      23  0.0     1.0            664.367   1.8       45
 PP116            5146.484       4505.015      23  0.0     1.0            689.055   1.8       45
 PP117            5376.691       4888.693      23  0.0     1.0            681.883   1.8       45
 PP118            5913.841       4505.015      23  0.0     1.0            645.145   1.8       45
 PP119            6118.469       4888.693      23  0.0     1.0            590.694   1.8       45
 PP120            6425.412       4991.008      23  0.0     1.0            645.658   1.8       45
 PP121            2869.992       4607.329      23  0.0     1.0            658.140   1.8       45
 PP122            1667.799       4351.543      23  0.0     1.0            723.131   1.8       45
 PP123             977.178       4249.229      23  0.0     1.0            866.783   1.8       45
 PP124             798.128       6116.464      23  0.0     1.0            764.873   1.8       45
 PP125            5542.952       5899.047      23  0.0     1.0            802.875   1.8       45
 PP126            5542.952       5361.897      23  0.0     1.0            654.241   1.8       45
 PP127            5696.423       3891.129      23  0.0     1.0            679.209   1.8       45
 PP128            6297.519       4351.543      23  0.0     1.0            614.001   1.8       45
 PP129            4174.498       5029.375      23  0.0     1.0            563.644   1.8       45
 PP130            4404.706       5630.472      23  0.0     1.0            500.491   1.8       45
 PP131            5184.852       5477.000      23  0.0     1.0            645.651   1.8       45
 PP132            5056.959       4927.061      23  0.0     1.0            690.911   1.8       45
 PP133            4698.859       4466.647      23  0.0     1.0            649.957   1.8       45
 PP134            3688.506       4543.383      23  0.0     1.0            669.756   1.8       45
 PP135            7819.444       4786.379      23  0.0     1.0            616.527   1.8       45
 PP136            8510.065       4671.276      23  0.0     1.0            737.360   1.8       45
 PP137            8650.747       5170.057      23  0.0     1.0            701.887   1.8       45
 PP138            8676.326       4274.808      23  0.0     1.0            898.663   1.8       45
 PP139            6514.937       5349.107      23  0.0     1.0            682.468   1.8       45
 PP140            3790.820       5643.261      23  0.0     1.0            526.989   1.8       45
 PP141            4136.131       6135.648      23  0.0     1.0            541.113   1.8       45
 PP142            4948.250       6359.461      23  0.0     1.0            908.074   1.8       45
 PP143             337.714       8974.869      23  0.0     1.0           1255.459   1.8       45
 PP144             286.557       8002.883      23  0.0     1.0           1230.212   1.8       45
 PP145             286.557       6903.005      23  0.0     1.0           1103.614   1.8       45
 PP146             260.978       6058.913      23  0.0     1.0           1077.558   1.8       45
 PP147             235.400       4575.356      23  0.0     1.0           1113.720   1.8       45
 PP148             286.557       5317.134      23  0.0     1.0           1099.638   1.8       45
 PP149             286.557       3603.371      23  0.0     1.0            958.857   1.8       45
 PP150             286.557       2068.657      23  0.0     1.0            983.032   1.8       45
 PP151             286.557       1198.986      23  0.0     1.0           1084.924   1.8       45
 PP152            1130.650       5214.820      23  0.0     1.0            785.209   1.8       45
 PP153            1770.114       5163.663      23  0.0     1.0            739.059   1.8       45
 PP154            2665.363       4984.613      23  0.0     1.0            707.930   1.8       45
 PP155            3893.134       4805.563      23  0.0     1.0            624.074   1.8       45
 PP156            1258.542       7465.733      23  0.0     1.0           1050.739   1.8       45
 PP157            1718.956       6596.062      23  0.0     1.0            959.626   1.8       45
 PP158            3023.463       8054.040      23  0.0     1.0            974.955   1.8       45
 PP159            2511.892       7235.526      23  0.0     1.0            937.973   1.8       45
 PP160            3944.291       8744.662      23  0.0     1.0           1084.694   1.8       45
 PP161            5274.377       7414.576      23  0.0     1.0            900.424   1.8       45
 PP162            6220.784       6621.641      23  0.0     1.0            804.167   1.8       45
 PP163            4097.763       7593.626      23  0.0     1.0            925.377   1.8       45
 PP164            4558.177       6749.534      23  0.0     1.0            801.189   1.8       45
 PP165            6144.048       5956.598      23  0.0     1.0            766.005   1.8       45
 PP166            2869.992       5841.495      23  0.0     1.0            664.979   1.8       45
 PP167            3279.249       5854.284      23  0.0     1.0            599.826   1.8       45
 PP168            3573.402       5854.284      23  0.0     1.0            567.390   1.8       45
 PP169            3893.134       5854.284      23  0.0     1.0            544.589   1.8       45
 PP170            4302.391       5879.863      23  0.0     1.0            517.318   1.8       45
