real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
0,89.8644,84.6129,85.3077,95.5239,94.9093,91.5575,89.6762,89.0402,89.433,89.7542,84.9967,98.4926,90.5156,88.3817,86.3039,87.8332,84.9928,85.2146,-8675.44,-10795.8,0.110234,-7190.29,-9296.45
1,89.4321,84.6316,85.4213,95.1588,94.647,91.2467,89.5597,88.6811,89.0308,89.3202,84.9724,98.5334,91.3264,88.8461,86.2837,87.2288,84.6266,85.4149,-7549.3,-11202.4,0.111921,-5766.77,-9411.03
2,89.8313,84.8704,85.3067,95.2626,95.0147,91.6273,90.2852,88.6805,89.3375,89.7128,85.1363,98.7346,90.45,87.9604,86.5163,87.4316,84.954,85.3083,-9000.88,-11637.6,0.118491,-7463.41,-10067
3,89.3013,84.6768,85.4905,95.0612,94.2733,91.4035,89.2958,88.6031,89.0165,89.2004,85.2251,98.8511,90.7339,88.4286,86.4732,87.5113,84.7864,85.6321,-8930.64,-11061.1,0.100973,-7957.82,-10052
4,89.9206,84.4341,85.5374,95.3335,94.901,91.5081,89.634,88.2632,89.3208,89.801,84.9569,98.7314,90.8349,88.5078,86.1794,87.0441,85.0229,85.2398,-9509.25,-12511.6,0.11952,-8624.63,-11598.5
5,90.089,84.5452,85.9638,95.3326,94.7166,92.126,90.6257,88.611,89.4057,89.9789,85.0526,98.5057,91.0317,88.6606,86.6441,87.3866,84.5347,85.7316,-8918.76,-12297.4,0.110082,-7311.17,-10631.1
6,89.7973,84.5878,85.6749,95.5212,94.3793,91.8044,90.3676,88.817,89.4121,89.6969,84.9512,98.8354,90.5225,87.9529,86.3013,87.8393,84.8141,85.6901,-8258.34,-10921.6,0.100395,-7142.37,-9792.33
7,89.625,84.6182,85.8627,95.1897,94.6077,91.8939,90.1227,88.7924,89.4812,89.5363,85.1737,98.6967,90.8505,88.8308,86.1858,87.2525,84.688,85.6082,-8316.28,-11647.5,0.0887008,-6687.25,-9995.86
8,89.4671,84.6637,85.9648,95.3012,93.924,91.3653,89.6691,88.4707,88.8487,89.3769,85.1412,98.792,91.2046,89.3539,86.637,87.5155,84.8015,85.9736,-7467.29,-10315.6,0.0902412,-5843.72,-8658.86
9,89.8609,84.6608,85.1114,95.2739,94.5143,91.7223,90.2591,88.6719,89.2068,89.7574,85.0318,99.1124,89.9924,87.8944,86.6002,87.7098,84.8841,85.3923,-7906.1,-10634.5,0.103477,-6289.39,-8986.25
10,89.669,84.8751,85.5715,96.113,94.4396,92.2738,90.0821,88.6171,89.4442,89.5564,85.3113,98.5814,90.361,87.9617,86.1684,87.0675,85.5513,85.4494,-10318.3,-12131.1,0.112559,-8991.74,-10789.3
11,89.5504,84.5007,85.4189,95.542,94.425,91.5109,89.8568,88.7981,89.1883,89.4606,84.7446,98.7613,90.9035,88.3406,86.2832,87.643,84.7153,85.447,-7992.2,-11022.5,0.0898574,-6234.21,-9245.51
12,89.7623,84.704,85.5183,95.692,94.5834,91.6898,90.0693,88.3993,89.3022,89.6506,85.0317,98.5667,90.8468,88.4639,86.8486,87.5324,84.8658,85.7905,-8931.91,-10904.5,0.111721,-7148.59,-9118.4
13,89.9639,84.7679,85.9536,95.6363,94.7109,91.9947,90.9076,88.8716,89.5417,89.8558,85.0193,99.4198,91.0003,88.3574,86.606,87.4628,84.8826,85.7162,-8120.36,-10657.9,0.108123,-6471.57,-8982.36
14,89.595,84.6025,85.3399,95.1933,94.7571,91.5732,90.073,88.4231,89.1876,89.4869,85.1032,98.5084,90.9418,88.7483,86.8754,87.1767,84.9643,85.3895,-9270.69,-12843.2,0.108132,-7771.28,-11314.6
15,89.5762,84.632,85.9641,95.0694,94.2263,91.1506,89.6678,88.6965,89.2183,89.4772,84.843,99.0404,90.6584,88.5292,86.5796,87.2087,84.9044,85.8908,-8286.65,-10896.6,0.0989994,-6605.97,-9198.97
16,89.7616,84.5719,85.781,95.4173,94.6967,91.3801,90.1333,88.6577,89.21,89.6484,85.1984,98.5839,90.9646,88.5305,86.4695,87.1,84.6896,85.6368,-8657.79,-12540,0.113143,-7009.36,-10864.2
17,88.5566,84.7448,85.7251,95.0757,94.4013,91.216,88.2174,88.4672,88.8557,88.4628,85.3755,98.5886,90.8322,88.1368,86.7297,87.0882,85.0909,85.5491,-8601.74,-11432.1,0.0937913,-7351.24,-10133.1
18,89.6898,84.7221,85.7809,95.3149,94.6391,91.5852,90.3699,88.4886,89.2588,89.6006,85.1293,98.8168,91.049,88.7063,86.5344,87.0664,85.0809,85.637,-8000.26,-11102,0.0891735,-6419.24,-9484.08
19,89.5532,84.5775,85.7885,95.5427,94.5156,91.8393,90.3074,88.4531,88.8995,89.4502,85.0189,98.7627,90.5359,88.1582,86.329,87.2214,85.1415,85.7419,-8377.79,-11636.4,0.103051,-6980.26,-10197.1
20,90.2318,84.6417,85.7535,95.8224,94.6172,92.0643,90.1979,89.1477,89.7326,90.1224,84.9778,98.4384,90.2168,87.9997,86.2329,87.5932,85.0322,85.347,-9515.09,-12011,0.109449,-7920.25,-10397.7
21,90.0136,84.6328,85.4556,95.3911,94.49,91.8244,90.3533,88.5639,89.414,89.9114,85.1873,98.7274,91.091,88.0248,86.653,87.5652,85.0214,85.8962,-8842.43,-11525.8,0.102206,-7200.59,-9870.02
22,89.531,84.7061,85.9636,95.1603,94.0775,91.5765,89.9533,88.4631,88.9405,89.4277,84.9471,97.7866,90.7502,88.811,86.5624,87.6385,84.7927,85.8286,-7762.89,-11512.1,0.103295,-6414.16,-10105.2
23,89.8864,84.4402,85.2128,95.4747,94.8234,91.358,90.0523,88.6496,89.2793,89.7913,84.9275,98.966,90.6513,88.2403,85.9819,87.1684,84.8342,85.5105,-7873.04,-10709,0.0950641,-5999.61,-8827.03
24,89.6158,84.777,85.341,95.604,94.724,91.3878,90.2449,88.6294,89.2942,89.5185,85.1875,98.652,90.7313,88.5891,86.6724,87.2989,85.0109,85.6189,-9276.14,-12306.5,0.0973244,-8390.74,-11390.7
25,89.9015,84.5485,85.6759,95.3802,95.0762,91.4168,90.3515,88.7191,89.4817,89.8011,84.9137,98.5645,90.683,88.101,86.3329,87.6735,85.0195,85.5419,-8810.35,-11350.8,0.100375,-7432.62,-9943.83
26,89.845,84.562,85.4874,95.2968,94.9126,91.7371,90.1017,88.7167,89.4549,89.7261,84.9475,98.5265,90.8404,88.4051,86.1717,87.5779,84.5674,85.3225,-8451.62,-11169.4,0.118915,-7026.38,-9699.88
27,89.1826,84.6364,85.897,95.3236,94.7447,91.7551,89.5612,88.8027,89.1116,89.0816,85.2043,98.7907,90.8207,89.0254,87.2707,86.8783,85.2322,86.0936,-8699.89,-10784,0.101031,-7226.42,-9280.48
28,90.0714,84.6813,85.4732,95.2838,94.8954,91.5717,90.1053,88.6186,89.535,89.9722,84.8976,98.4357,90.416,88.0235,86.0189,87.5623,85.2018,85.3384,-8466.77,-12105.5,0.099193,-6806.12,-10370.3
29,89.7696,84.8756,85.346,95.1004,94.7755,91.7992,90.1509,88.5426,89.1158,89.6669,85.2385,98.2291,90.3252,88.0428,86.4799,87.8026,84.9508,85.2355,-9287.8,-11847.6,0.102666,-7723.39,-10265.6
30,90.0673,84.6643,85.9033,95.4693,95.1961,91.636,90.3863,88.8835,89.5294,89.9539,84.5583,98.5001,90.9705,88.3228,86.0058,87.5571,84.7145,85.3557,-7664.9,-12039.7,0.113341,-5973.48,-10308
31,89.817,84.7185,85.4562,95.945,94.6582,91.9195,90.0958,88.5884,89.327,89.732,85.1065,98.7005,90.9287,88.3457,86.4992,87.2693,84.7839,85.6013,-8477.72,-11366.9,0.0849301,-6887.08,-9745.45
32,89.5375,84.4262,85.3945,95.6407,95.0793,91.5807,90.11,88.9921,89.3328,89.4279,85.0338,98.1219,91.0128,88.9127,86.6334,87.6073,84.4908,86.3308,-7116.09,-12042.1,0.109608,-5943.11,-10820.8
33,89.5226,84.5466,85.2076,95.0868,94.7919,91.5956,90.1466,88.6475,88.7601,89.4047,85.0046,98.7095,91.0536,88.5128,86.7168,87.154,85.0066,85.3084,-7718.83,-10998.1,0.117832,-6056.82,-9293.81
34,89.8799,84.5573,85.5036,95.4422,94.8711,91.6825,90.1879,88.753,89.4183,89.7423,85.0306,98.3001,90.9337,88.1819,86.4435,87.1868,84.746,85.3815,-8522.94,-11485.4,0.137579,-6913.29,-9833.84
35,89.4054,84.3405,85.9661,95.066,94.207,91.5513,89.6896,88.5949,88.8532,89.3149,84.9533,98.7554,90.7365,88.753,86.9964,87.5879,84.7611,85.9138,-7173.52,-13127.1,0.090509,-5630.96,-11520.9
36,89.8597,84.5578,85.8601,95.7082,94.7356,91.5971,90.4307,89.0032,89.5484,89.7557,85.0881,98.6054,90.5164,88.412,86.5586,87.3923,84.8519,85.6175,-8841.97,-11125.7,0.10401,-7247.95,-9506.1
37,89.7065,84.3956,85.7005,95.1026,94.4237,92.1068,89.8106,88.6339,89.7844,89.6113,84.6691,98.7129,90.8358,88.768,86.5149,87.3125,84.7358,85.5316,-8559.21,-11961.4,0.0951725,-7087.03,-10467.8
38,90.0688,84.7019,85.5914,95.6696,94.7585,92.4623,90.8975,88.7315,89.6631,89.9603,85.114,98.3051,90.2347,88.1995,86.3246,87.3986,84.9232,85.4423,-9863.4,-11517.7,0.108425,-8142.79,-9784.03
39,89.7948,84.7394,85.4994,95.5001,94.4273,91.726,90.2257,88.7566,89.305,89.6924,84.7496,98.5275,90.3641,88.2782,86.0597,87.211,84.8062,85.303,-8609.66,-11225.7,0.10245,-6935.76,-9523.15
40,89.714,84.809,85.7815,95.2112,94.4413,91.6412,90.1342,88.7649,89.5457,89.6052,85.0704,98.8181,90.5058,88.2607,86.7535,87.5056,84.5843,85.5813,-8775.04,-11872.6,0.108777,-7208.92,-10268.8
41,89.5894,84.8331,85.1097,95.1812,94.5719,91.2252,90.1004,88.7594,89.4581,89.4905,84.859,98.8045,90.4003,88.64,86.5768,87.4386,84.9278,85.4588,-9433.15,-12789.6,0.0988349,-7702.56,-11047.9
42,89.9055,84.5388,85.6791,95.5846,94.6191,91.9007,90.1743,88.8613,89.4527,89.7954,85.192,98.7369,91.1147,88.7364,86.6639,87.4317,84.7604,85.8369,-8324.15,-12934,0.110105,-6527.27,-11115
43,89.7415,84.8702,85.8404,95.825,94.9353,91.7807,90.5398,89.011,89.3154,89.6513,85.1211,98.8381,90.5949,88.6666,86.5026,87.1902,84.9056,85.7076,-9144.72,-12477.6,0.0902475,-8076,-11331.3
44,89.7843,84.5198,85.7598,95.3587,94.9822,91.6225,90.4799,88.8997,89.4469,89.6648,84.8206,98.6283,90.9717,88.8746,86.374,87.5648,84.7841,85.588,-8090.54,-12965.9,0.119519,-6775.24,-11621.9
45,90.1615,84.5984,85.7537,95.2772,95.0365,91.4589,90.2648,88.6301,89.3484,90.0912,84.8782,98.9826,90.1417,88.0569,86.4566,87.5208,85.0555,85.4498,-9179.27,-11527.7,0.070309,-7849.03,-10168.1
46,89.6083,84.4698,85.9343,95.6412,94.58,91.728,90.0876,88.5322,89.3898,89.5016,84.7808,98.8405,91.0249,88.8271,86.6944,87.466,84.5333,85.3348,-9111.29,-12527.8,0.106666,-7740.02,-11131.8
47,90.11,84.753,85.6615,95.8929,95.5985,91.9476,90.4225,88.8426,89.3948,89.9999,85.2844,98.5746,90.8387,88.4621,86.4711,87.4209,84.7193,85.7046,-9931.42,-12358.5,0.110091,-8458.95,-10872.4
48,89.1896,84.5629,85.6724,95.6928,94.4881,91.3108,89.4818,88.4301,88.995,89.0901,84.7907,98.5347,90.8288,89.0236,86.5715,87.2138,84.9885,85.8036,-8114.75,-10843.8,0.0994936,-6279.27,-8992.54
49,89.9492,84.9056,85.3748,95.8868,94.9854,92.3394,90.8854,88.6647,89.1177,89.8487,85.1213,98.614,90.9167,88.4709,86.5552,87.4175,84.9309,85.044,-9180.07,-12046.7,0.100518,-7711.76,-10544.9
50,89.448,84.6433,85.9096,95.1277,94.4198,91.2791,90.5478,88.516,88.8813,89.3503,84.9822,98.4454,90.8419,88.6226,86.5439,87.4475,84.8803,85.6609,-9975.44,-13195.7,0.0977431,-8437.27,-11623.5
51,89.7464,84.7362,85.4527,95.0965,93.7606,91.9192,89.7557,88.8719,89.4038,89.634,85.2304,98.6076,90.5128,88.3437,86.3169,87.4145,85.0335,85.4673,-8816.4,-12026.8,0.112378,-7124.15,-10305.8
52,89.6827,84.5915,85.9645,95.2215,93.7747,91.1459,90.128,88.3254,89.0513,89.5754,85.2974,98.5385,90.9465,88.3347,86.5699,87.3885,84.8342,85.7961,-8066.69,-12537.4,0.107308,-6301.98,-10739.2
53,89.6512,84.5183,85.4765,95.1504,94.6437,91.1587,90.3923,88.6512,89.0413,89.5376,84.7584,98.9758,90.6002,88.6729,86.285,87.5144,84.7922,85.4369,-8122.06,-12249,0.113595,-6544.43,-10632.4
54,90.0402,84.7354,85.6267,95.2289,94.4277,91.4035,90.3337,88.8321,89.4561,89.925,84.9353,98.5422,90.4288,88.5051,86.3591,87.2746,85.1436,85.5635,-9285.72,-12184.6,0.115183,-8012.38,-10876.4
55,90.1204,84.5624,85.3209,95.4012,95.0465,91.5001,90.3317,88.553,89.2546,90.0148,84.9509,98.3888,90.6774,88.4791,86.3205,87.4481,84.6729,85.4004,-9555.38,-13473.4,0.105583,-8268.08,-12120.6
56,89.4977,84.3558,85.4195,95.6237,94.7598,91.9714,90.0203,88.9989,89.3073,89.3946,84.5199,98.9104,90.047,87.8406,86.1668,87.218,84.4929,85.1271,-8414.08,-11700.7,0.103096,-7397.79,-10624.4
57,89.9128,84.7818,85.2005,95.5181,94.8741,91.5146,90.1934,88.4269,89.203,89.8138,85.2444,98.3999,90.998,88.5384,86.5366,87.8065,84.781,85.6128,-9213.58,-12386.8,0.0990023,-7721.64,-10875.1
58,89.6145,84.8823,85.9645,95.7552,94.6103,91.9092,89.9235,88.596,89.0893,89.5029,85.0819,98.3799,90.5387,88.1752,86.457,87.3305,85.0949,85.504,-9756.52,-11906,0.111674,-8885.46,-11016
59,90.367,84.7177,85.7959,95.9378,95.5235,92.7467,91.1676,89.0687,89.7105,90.2668,85.0106,99.0378,91.0077,88.6799,86.8273,87.5611,84.9081,86.0811,-8900.31,-13347.9,0.100191,-7658.38,-12080.7
60,89.294,84.6242,85.3694,95.0864,94.6214,91.4163,90.0389,88.9445,89.1866,89.1978,85.2258,98.7077,90.4776,88.2415,86.464,87.1359,85.0516,85.4771,-7980.58,-10609.1,0.0962168,-6418.9,-9009.38
61,89.7936,84.5748,85.9158,95.4167,94.6185,91.2806,90.2418,88.5733,88.9818,89.7294,85.4318,98.7722,91.0576,89.0736,86.7724,87.3732,84.8666,86.1405,-8136.41,-11785.2,0.0641186,-6770.57,-10355.8
62,89.7673,84.455,85.6421,95.3322,94.6455,91.4035,90.1748,88.6478,89.0558,89.6609,84.995,98.8575,90.4983,88.4422,86.3003,87.5021,84.6907,85.4825,-7847.16,-11438.8,0.106374,-6403.01,-9956.61
63,89.6745,84.7689,85.9074,95.2129,94.812,91.7271,89.8958,88.818,89.4031,89.5612,85.3379,99.2635,91.2106,89.4673,86.9423,87.4728,84.8133,85.5952,-8317.31,-11569.3,0.11323,-6790.65,-9997.05
64,89.6294,84.6932,85.9483,95.3817,94.3084,91.7457,89.8262,88.9633,89.1748,89.5288,85.3139,98.7969,91.7482,89.6662,87.5389,87.4504,84.7402,85.9701,-7547.54,-11913,0.100526,-6145.6,-10365.7
65,89.7657,84.5328,85.3988,94.7477,94.5764,91.5626,90.1991,88.4012,89.1709,89.6676,84.7976,98.5127,90.8301,88.7811,86.5202,87.4959,84.6258,85.312,-10460.1,-13681.6,0.0981036,-9362.79,-12558.4
66,89.6318,84.5686,85.2014,94.8407,94.4479,91.4664,90.2555,88.5097,89.5722,89.5363,85.0957,98.5129,91.1712,88.8921,86.4088,87.3672,84.582,85.3879,-9142.56,-13380,0.095443,-7648.32,-11858.7
67,89.6416,84.7716,85.5069,95.6698,94.7121,92.0606,90.3273,88.902,89.2022,89.5466,84.9895,98.6845,90.6568,88.7774,86.5517,87.2537,84.8193,85.5667,-7644.37,-10364.3,0.0949614,-6181.06,-8858.35
68,89.5409,84.6624,85.2946,95.73,94.266,91.9921,90.2574,88.4489,89.2405,89.4305,85.0966,98.8024,90.6427,88.5827,86.8198,87.3961,84.739,85.5501,-8246.68,-12180.4,0.110401,-7025.2,-10918.8
69,89.7075,84.7659,85.9675,95.2505,94.604,91.4677,90.0319,88.58,89.2663,89.5857,85.1279,98.5649,90.4144,88.5173,86.4972,87.5495,85.0888,85.6337,-8918.84,-13499.8,0.121846,-7293.49,-11824.2
70,90.0766,84.5933,85.6205,95.1925,94.6223,91.4265,90.2183,88.4655,89.373,89.975,84.9643,98.4255,90.5022,88.399,86.4575,87.3814,84.743,85.2406,-9340.65,-12873.1,0.101656,-7659.98,-11155.7
71,89.6227,84.5289,85.4219,95.1503,94.6594,91.9926,90.0893,88.8926,89.2423,89.5227,84.9629,99.0009,91.1118,88.4817,86.622,87.373,84.392,85.5131,-8331.36,-12866.9,0.0999947,-6926.98,-11387.8
72,90.183,84.7695,85.812,95.5716,95.3483,92.089,90.4625,89.0307,89.4658,90.0624,85.0033,98.9273,90.7746,88.9542,86.735,87.3931,84.9726,85.7276,-9527.82,-12401.1,0.120567,-8256.65,-11055.4
73,89.5409,84.72,85.3677,95.3083,95.9238,91.5263,90.0693,88.698,89.2293,89.4498,85.3102,98.7582,90.6645,88.5665,86.554,87.2976,84.8511,85.6226,-7852.54,-11380.1,0.0911133,-6294.22,-9783.06
74,89.6638,84.8318,85.798,95.3948,94.7705,91.5951,89.883,88.7501,89.2503,89.5487,84.8974,98.8616,90.782,88.1698,86.2559,87.3303,85.0608,85.5351,-8240.84,-10689.2,0.115064,-6674.71,-9091.38
75,89.5545,84.5494,85.4127,95.5841,94.597,91.8508,90.1681,88.826,89.1881,89.4516,84.9873,98.7044,90.8033,88.7528,86.557,87.1668,84.8546,85.5412,-8254.06,-11657.7,0.102865,-7174.38,-10496.2
76,89.6699,84.6582,85.5663,95.5843,94.4695,91.6378,90.3418,88.8262,89.2553,89.5605,85.0781,98.4241,90.7017,88.3723,86.2995,87.339,84.8136,85.5351,-9040.94,-12637.1,0.109397,-7500.04,-11062.7
77,89.7768,85.0344,85.9631,95.2908,94.4269,91.6702,89.9338,88.4415,89.2218,89.6762,85.4033,99.0207,91.1322,88.5346,86.5798,87.5926,85.1426,85.7582,-9250,-11807.3,0.100547,-7630.38,-10172.9
78,89.1034,84.6171,85.177,95.0251,93.6883,91.3955,89.6123,88.3717,88.9186,89.0014,84.7995,98.5658,90.9286,88.1392,86.3932,86.7951,85.1561,85.475,-9780.59,-11987.1,0.102014,-8808.03,-11007.6
79,89.7795,84.709,85.6623,95.7802,94.6402,91.6969,90.1146,88.7693,89.4196,89.6758,85.2277,98.5751,90.3336,88.2127,86.4141,87.7215,85.1236,85.8456,-8040.5,-9809.28,0.10368,-6596.8,-8352.92
80,89.5272,84.6624,85.7449,95.8024,94.2516,91.6207,90.3121,88.6578,89.2471,89.42,85.3866,99.132,90.3418,88.4119,86.6753,86.9997,85.0687,85.7849,-8206.57,-11094.4,0.107223,-6536.69,-9403.77
