group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,2.07334,2.05502,0,0
kx2,0.672125,2.25179,6,0
kx3,8.03676,4.77581,0,0
rch,-0.42994,1.15299,1842,1
strc,-0.0486497,0.0736011,0,0
ghb1,0.14856,0.0868147,0,0
ghb3,0.0846712,0.170754,0,0
