group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,1.54896,1.96043,0,0
kx2,0.86243,2.21232,5,0
kx3,7.39336,4.62022,0,0
rch,-0.424603,1.3443,1630,1
strc,-0.0554223,0.0808687,0,0
ghb1,0.148735,0.0757089,0,0
ghb3,0.080076,0.156186,0,0
