group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,1.7392,2.10253,0,0
kx2,0.816428,2.28386,5,0
kx3,7.7098,4.7796,0,0
rch,-0.412025,1.30511,1612,1
strc,-0.0519099,0.0787202,0,0
ghb1,0.145858,0.0878266,0,0
ghb3,0.0816282,0.16383,0,0
