real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
28,89.9632,84.7281,85.7186,95.2944,94.9564,91.6131,90.0265,88.5725,89.431,89.8688,84.9643,98.3943,90.5199,88.1885,86.2151,87.5628,85.2015,85.5458,-8302.58,-11798.4,0.0943829,-6627.39,-10051.3
29,89.6761,84.8739,85.4978,95.0417,94.7415,91.7356,90.0622,88.4624,89.048,89.5734,85.2376,98.2461,90.351,88.0891,86.5433,87.7257,84.972,85.3231,-9312.28,-11588.8,0.102694,-7720.73,-9982.63
30,89.9788,84.6087,85.4304,95.3871,95.0814,91.6162,90.3108,88.7509,89.3741,89.8675,84.5441,98.5392,90.946,88.1857,85.9168,87.5212,84.6805,85.128,-7357.64,-11843.6,0.111242,-5622.13,-10071
31,89.8007,84.69,85.4194,95.8073,94.6065,91.8754,90.0471,88.5427,89.2663,89.7195,85.0557,98.6162,90.9585,88.3738,86.4942,87.2957,84.7397,85.5957,-8231.27,-11186.7,0.0811369,-6584.54,-9508.99
32,89.6299,84.34,85.5416,95.6269,94.9682,91.6213,90.0974,88.8983,89.3052,89.5233,84.8959,98.2046,91.1379,88.9843,86.6447,87.6144,84.4788,86.4144,-6644.13,-12004.2,0.106595,-5351.02,-10658.8
33,89.6989,84.5698,85.3807,95.1041,94.8655,91.6841,90.2044,88.6379,88.816,89.5829,84.9954,98.6107,91.0002,88.4501,86.6937,87.2129,84.9618,85.3669,-7747.53,-11009.1,0.116006,-6086.9,-9307.61
34,89.6858,84.5166,85.4219,95.3683,94.514,91.5452,89.9918,88.6099,89.2005,89.5624,84.9749,98.2038,91.001,88.2798,86.4545,87.2135,84.6335,85.4104,-7687.91,-11057.7,0.123462,-5998.14,-9317.88
35,89.5434,84.2084,85.79,95.073,94.5095,91.6107,89.752,88.5572,88.8627,89.4392,84.7878,98.8081,90.6144,88.4754,86.757,87.5906,84.6843,85.6716,-6833.15,-13438.9,0.104154,-5245.55,-11782.3
36,89.6743,84.5345,85.5612,95.3502,94.5338,91.4506,90.2031,88.8859,89.3584,89.5777,85.0472,98.6682,90.5056,88.3487,86.5257,87.3354,84.8626,85.5398,-8235.29,-10432.2,0.0966423,-6596.32,-8769.28
37,89.8786,84.3278,85.5491,95.1627,94.7023,92.1118,89.976,88.6028,89.842,89.777,84.5729,98.6463,90.8078,88.5879,86.2782,87.3564,84.6443,85.403,-8060.15,-12097.8,0.101518,-6511.66,-10522.8
38,89.2078,84.8317,85.5388,95.3401,94.0884,92.1264,89.9588,88.4681,89.1181,89.122,85.1849,98.3499,90.265,88.1774,86.31,86.9067,85.2075,85.447,-9481.74,-10694.6,0.0858102,-7721.73,-8925.68
