group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.89188,1.88166,0,0
kx2,1.09482,2.11178,4,0
kx3,6.86839,4.48018,0,0
rch,-0.419963,1.40211,1536,1
strc,-0.0449058,0.082156,0,0
ghb1,0.131669,0.0673331,0,0
ghb3,0.0721448,0.148874,0,0
