iteration,total_runs,obs_realization,par_realization,heads1,heads3,streams,headiff,pstreams
0,200,0,0,469.17,816.98,2402.55,1286.11,0
0,200,1,1,3470.25,1674.47,1731.32,237716,0
0,200,2,2,2474.02,2404.28,789.988,42203.8,0
0,200,3,3,1414.11,736.147,798.106,9669.22,0
0,200,4,4,279.047,751.534,2489.87,3402.77,0
0,200,5,5,1940.25,1000.13,1252.02,185119,0
0,200,6,6,319.989,443.543,157.344,910.425,0
0,200,7,7,1434.68,1616.32,2913.32,67.8694,0
0,200,8,8,269.608,1950.05,452.574,11832.4,0
0,200,9,9,2479.69,1409.53,3205.98,1919.45,0
0,200,10,10,7791.61,4008.62,150.688,1210.74,0
0,200,11,11,3330.38,1779.58,74.0423,445.286,0
0,200,12,12,521.56,1046.59,635.733,14.1485,0
0,200,13,13,322.947,426.11,155.404,3441.81,0
0,200,14,14,449.307,1014.23,13.5947,316432,0
0,200,15,15,575.075,1174.61,210.219,335.7,0
0,200,16,16,1586.69,890.994,110.663,31368.6,0
0,200,17,17,1143.41,835.287,1513.35,171204,0
0,200,18,18,4425.87,3117.49,178.09,3089.99,0
0,200,19,19,97.1555,1102.62,100.344,22826.8,0
0,200,20,20,1841.31,1201.42,340.912,66661.2,0
0,200,21,21,1059.57,896.131,79.4283,4242.11,0
0,200,22,22,344.075,908.315,1286.7,4134.68,0
0,200,23,23,178.871,294.807,1504.16,62626.1,0
0,200,24,24,654.68,869.782,1066.85,189.657,0
0,200,25,25,1389.37,943.806,5423.43,770.63,0
0,200,26,26,951.583,1069.23,572.912,73.2798,0
0,200,27,27,6222.05,2114.16,207.368,13292.7,0
0,200,28,28,1022.09,988.087,4.86786,63622.1,0
0,200,29,29,5029.77,2788.85,804.396,34.7452,0
0,200,30,30,1264.92,971.458,1803.38,9731.03,0
0,200,31,31,1551.37,1935.24,398.769,31607.7,0
0,200,32,32,136.029,1078.05,4078.39,4089.71,0
0,200,33,33,1724.45,1710.62,4343.82,61980.8,0
0,200,34,34,558.003,473.484,4442.89,79230,0
0,200,35,35,1512.09,1869.23,122.162,1344.51,0
0,200,36,36,852.08,1143.61,4.51302,27.2121,0
0,200,37,37,2908.76,2294.74,786.681,694.114,0
0,200,38,38,3031.7,2613.93,31.224,12485.2,0
0,200,39,39,9438.03,2568.01,2188.82,619182,0
0,200,40,40,1055.98,750.498,2928.17,1153.64,0
0,200,41,41,2460.8,803.666,2054.95,164007,0
0,200,42,42,4098.73,2615.57,2740.53,19020.8,0
0,200,43,43,752.538,1275.3,1287.15,5885.06,0
0,200,44,44,242.76,671.164,8.34337,59.7213,0
0,200,45,45,5679.83,622.311,1055.76,4.19055e+06,0
0,200,46,46,1295.84,1359.63,1470.47,75002.3,0
0,200,47,47,779.605,645.837,115.662,31.1671,0
0,200,48,48,726.467,2779.37,162.587,15677.2,0
0,200,49,49,881.218,611.307,1898.32,896.953,0
0,200,50,50,1735.53,1477.94,1194.42,194684,0
0,200,51,51,884.808,969.989,1384.74,2958.53,0
0,200,52,52,1607.38,873.917,5.03138,11369.9,0
0,200,53,53,8031.34,3193.13,1187.97,514.6,0
0,200,54,54,2465.05,879.045,193.78,150246,0
0,200,55,55,1010.44,538.181,90.5986,254120,0
0,200,56,56,2024.63,1530.77,13.2567,199585,0
0,200,57,57,1661.61,1182.59,521.349,220.779,0
0,200,58,58,3451.58,2207.4,425.027,167422,0
0,200,59,59,659.561,745.797,4096.62,136365,0
0,200,60,60,2088.05,2028.16,1731.02,271852,0
0,200,61,61,2420.23,919.94,1156.86,281313,0
0,200,62,62,1189.09,990.562,855.138,41.6256,0
0,200,63,63,1238.52,1096.43,166.835,3638.96,0
0,200,64,64,1703.41,1427.69,509.532,406.727,0
0,200,65,65,994.857,794.693,772.101,8578.51,0
0,200,66,66,655.39,553.435,59.9295,97794,0
0,200,67,67,1025.26,545.521,1914.1,17842.1,0
0,200,68,68,2869.87,1960.89,49.5323,126361,0
0,200,69,69,1099.31,1173.25,430.439,1312.7,0
0,200,70,70,4596.81,1591.24,1965.2,197183,0
0,200,71,71,367.074,527.649,1223.47,131078,0
0,200,72,72,1852.98,1441.14,5228.66,2.85282,0
0,200,73,73,1761.92,1771.3,2697.99,6803.41,0
0,200,74,74,3927.49,1953.19,713.716,8888.54,0
0,200,75,75,1894.48,1764.03,226.777,2853.77,0
0,200,76,76,190.68,515.752,529.721,491325,0
