group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,-0.0765357,0.582383,0,0
kx2,0.945817,0.81929,0,0
kx3,2.48533,1.94426,0,0
rch,-0.137395,0.472799,964,0
strc,0.02002,0.0389308,0,0
ghb1,0.0612996,0.0254276,0,0
ghb3,0.0264301,0.0562179,0,0
