group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.609934,1.38511,0,0
kx2,1.78555,1.59993,4,0
kx3,6.0587,3.74632,0,0
rch,-0.331101,1.04981,1332,1
strc,-0.0315234,0.0667106,0,0
ghb1,0.130126,0.0556452,0,0
ghb3,0.0526273,0.113368,0,0
