 POINT_ID               EAST                NORTH               Z              K_ZONE_5
 315                      321407.189         5812231.296             -18.225   2.1827240E+01
 316                      321467.189         5812231.296             -18.995   2.0101983E+01
 317                      321527.189         5812231.296             -19.720   2.0130882E+01
 318                      321707.189         5812231.296             -17.305   1.5627237E+01
 319                      321887.189         5812231.296             -22.940   1.3878893E+01
 320                      322067.189         5812231.296             -21.000   2.0404679E+01
 321                      322247.189         5812231.296             -17.955   2.1927023E+01
 322                      322427.189         5812231.296              -7.865   1.8481735E+01
 328                      320747.189         5812291.296             -21.305   2.4180809E+01
 329                      320807.189         5812291.296             -21.735   2.9131395E+01
 330                      320867.189         5812291.296             -21.700   2.3145133E+01
 331                      320927.189         5812291.296             -20.895   2.2299348E+01
 332                      320987.189         5812291.296             -20.690   2.0121488E+01
 333                      321047.189         5812291.296             -20.920   2.2651399E+01
 334                      321107.189         5812291.296             -24.840   2.1587107E+01
 335                      321167.189         5812291.296             -26.175   2.9439389E+01
 336                      321227.189         5812291.296             -23.660   1.7739204E+01
 337                      321287.189         5812291.296             -22.605   1.4325141E+01
 338                      321347.189         5812291.296             -24.010   2.2048912E+01
 339                      321407.189         5812291.296             -20.790   2.2979698E+01
 340                      321467.189         5812291.296             -16.990   2.0341080E+01
 341                      320747.189         5812351.296             -15.750   2.4232688E+01
 342                      320807.189         5812351.296             -20.860   2.0973325E+01
 343                      320867.189         5812351.296             -21.710   1.9403541E+01
 344                      320927.189         5812351.296             -19.235   1.9962130E+01
 345                      320987.189         5812351.296             -12.930   2.1810448E+01
 346                      321047.189         5812351.296             -12.810   1.9713752E+01
 347                      321107.189         5812351.296             -17.435   1.9038278E+01
 348                      321167.189         5812351.296             -22.525   1.9791350E+01
 349                      321227.189         5812351.296             -24.690   2.5701434E+01
 350                      321287.189         5812351.296             -25.735   1.4417530E+01
 351                      321347.189         5812351.296             -25.815   1.6089592E+01
 352                      321407.189         5812351.296             -24.695   1.4234321E+01
 353                      321467.189         5812351.296             -21.125   2.1488487E+01
 357                      320267.189         5812411.296              -9.161   2.0903266E+01
 358                      320447.189         5812411.296              -1.420   1.7866026E+01
 359                      320627.189         5812411.296              -5.565   1.7108880E+01
 360                      320747.189         5812411.296             -12.305   2.2163607E+01
 361                      320807.189         5812411.296             -16.310   2.0762662E+01
 362                      320867.189         5812411.296             -15.980   2.1329970E+01
 363                      320927.189         5812411.296              -9.480   1.9604476E+01
 364                      320987.189         5812411.296              -7.440   1.7224859E+01
 365                      321047.189         5812411.296              -6.510   2.3803182E+01
 366                      321107.189         5812411.296              -7.445   1.7575475E+01
 367                      321167.189         5812411.296             -10.900   1.7657327E+01
 368                      321227.189         5812411.296             -15.620   1.7750354E+01
 369                      321287.189         5812411.296             -20.900   2.0730651E+01
 370                      321347.189         5812411.296             -23.890   1.5210532E+01
 371                      321407.189         5812411.296             -25.170   1.1886918E+01
 372                      321467.189         5812411.296             -24.985   1.6325221E+01
 373                      321527.189         5812411.296             -23.460   1.8932325E+01
 374                      321707.189         5812411.296             -23.925   1.0628029E+01
 375                      321887.189         5812411.296             -21.900   1.3659678E+01
 376                      322067.189         5812411.296             -18.015   1.7505477E+01
 382                      320747.189         5812471.296              -8.010   1.9521589E+01
 383                      320807.189         5812471.296             -14.000   1.9907649E+01
 384                      320867.189         5812471.296             -11.420   1.9648940E+01
 386                      320987.189         5812471.296              -3.525   1.9279116E+01
 387                      321047.189         5812471.296              -3.900   2.5949984E+01
 388                      321107.189         5812471.296              -4.405   2.7020469E+01
 389                      321167.189         5812471.296              -5.050   2.0277542E+01
 390                      321227.189         5812471.296              -5.635   2.1161767E+01
 391                      321287.189         5812471.296              -9.570   1.7131879E+01
 392                      321347.189         5812471.296             -15.775   1.6729722E+01
 393                      321407.189         5812471.296             -21.975   1.7305292E+01
 394                      321467.189         5812471.296             -23.625   1.5527025E+01
 402                      321167.189         5812531.296              -2.755   2.3686635E+01
 403                      321227.189         5812531.296              -2.390   2.1126323E+01
 404                      321287.189         5812531.296              -3.760   2.1188632E+01
 405                      321347.189         5812531.296              -7.665   2.0056226E+01
 406                      321407.189         5812531.296             -12.545   2.1045229E+01
 407                      321467.189         5812531.296             -18.000   1.9069390E+01
 420                      321407.189         5812591.296              -6.560   2.6283219E+01
 421                      321467.189         5812591.296             -10.955   2.1600354E+01
 422                      321527.189         5812591.296             -19.055   2.0263811E+01
 423                      321707.189         5812591.296             -20.835   1.7815794E+01
 424                      321887.189         5812591.296             -13.155   1.8029370E+01
 425                      322067.189         5812591.296              -9.455   2.0251117E+01
 438                      321467.189         5812651.296              -0.210   2.7303779E+01
 471                      321707.189         5812771.296              12.585   2.3868578E+01
