ppname	easting	northing	zone	kx1	sy1	kz2	kx3	ss3
pp198	4520.050563000001	7098.761943	1	         5.3855840E+00	         4.0960150E-01	         1.0846500E-01	         2.9703790E+02	         1.8565758E-06
pp199	4609.532662	6496.7914630000005	1	         4.3089420E+00	         3.2898120E-01	         6.7408487E-02	         1.0244380E+02	         4.9163435E-07
pp200	6510.104595000001	7427.847718999999	1	         5.6613780E+01	         4.8419900E-01	         4.2251569E-02	         1.6509580E+02	         3.2155106E-06
pp201	6727.025697	7169.211020000001	1	         7.2997860E+01	         5.7037270E-01	         1.3826560E-01	         4.2941640E+02	         5.2296208E-05
pp202	8604.227542	9254.990848000001	1	         1.3116580E+02	         4.5133120E-01	         4.3761440E-01	         2.4108890E+02	         2.0880382E-05
pp203	5729.403232	9228.259359	1	         2.5513500E+01	         1.2891710E-01	         5.6425296E-02	         1.6719390E+02	         4.1040475E-06
pp204	5626.830902000001	9530.277885	1	         5.2050630E+01	         2.5862510E-01	         3.7441236E-02	         4.6403270E+01	         6.0700947E-06
pp205	5410.289318	9228.259359	1	         6.1708470E+01	         2.7202460E-01	         4.1956925E-02	         7.1557540E+01	         5.8853724E-06
pp206	4846.141506	9290.942449	1	         1.4358080E+01	         3.9500280E-01	         5.1942508E-02	         4.0109590E+01	         6.6371057E-06
pp207	5313.415451	8812.271579	1	         2.2088180E+01	         1.3710550E-01	         7.0082646E-02	         7.6375110E+01	         7.2435179E-06
pp208	6367.63106	9256.751673	1	         6.0528340E+01	         1.8444090E-01	         1.0828940E-01	         1.4394890E+02	         2.4107899E-06
pp209	5839.584513000001	8995.264234	1	         1.4604940E+02	         1.0450650E-01	         1.2752450E-01	         5.4233370E+02	         4.4483196E-06
pp210	6138.746811	8744.35392	1	         2.3329480E+01	         1.4959070E-01	         6.4401364E-02	         3.8578640E+02	         1.4302241E-06
pp211	6090.494827	8223.232498000001	1	         8.3753070E+01	         3.5137450E-01	         1.0014100E-01	         6.2263400E+01	         2.4014220E-06
pp212	6881.827356999999	8811.906697	1	         6.1721650E+01	         2.1668220E-01	         1.5835850E-01	         2.1561130E+02	         1.8053346E-06
pp213	7401.9692939999995	7164.512254	1	         5.0579160E+01	         4.1686990E-01	         9.3310028E-02	         4.6530840E+02	         2.5811461E-05
pp214	2770.943548	6277.522472	1	         3.2267870E+00	         1.6880890E-01	         9.9306145E-02	         3.6543830E+01	         2.4209468E-06
pp215	3405.299534	6149.770225	1	         3.6634460E+00	         1.7939310E-01	         1.8693610E-01	         1.6620570E+02	         5.5574000E-06
pp216	538.8946423	9492.932507	1	         2.1414430E+01	         4.3340010E-01	         2.0369150E-01	         2.2654400E+01	         3.0211174E-06
pp217	422.1950967	9211.792692	1	         1.0996640E+01	         3.7254220E-01	         3.0860490E-01	         2.5828530E+01	         3.2486791E-06
pp218	788.2073079	9450.496308	1	         1.9479880E+01	         2.5691260E-01	         5.4229740E-01	         1.4132400E+01	         8.8900417E-06
pp219	735.1620598999999	9105.702196	1	         3.4446010E+01	         2.2271630E-01	         3.1618200E-01	         1.9677710E+01	         1.8762299E-05
pp220	576.0263159	8845.780481	1	         5.0798990E+01	         2.4463760E-01	         1.0414770E-01	         2.5137740E+01	         1.2647989E-05
pp221	1090.5652220000002	8840.475956	1	         2.9931350E+01	         1.6755100E-01	         4.0498420E-01	         7.8579440E+00	         9.3788476E-06
pp222	756.3801591	8463.854695	1	         4.0701530E+01	         1.8229190E-01	         1.5972190E-01	         8.2746550E+00	         8.2419367E-06
pp223	441.18456299999997	8503.477273999999	1	         1.4476310E+01	         1.6941730E-01	         7.9207943E-02	         2.1716220E+01	         8.6795953E-06
pp224	1195.874063	8552.56277	1	         1.8189710E+01	         1.4232530E-01	         3.0054080E-01	         1.1840060E+01	         9.3207014E-06
pp225	1005.667767	9239.759713	1	         3.3608930E+01	         2.0704490E-01	         4.1868950E-01	         1.6735980E+01	         8.0188497E-06
pp226	208.0284572	9442.237384	1	         3.0090870E+01	         2.7430410E-01	         2.0655810E-01	         1.9145150E+01	         3.0652671E-06
pp227	379.82769310000003	9841.057039	1	         4.4904900E+01	         1.9186680E-01	         1.7461470E-01	         1.1908910E+01	         1.4207836E-06
pp228	858.4112786000001	9779.700169	1	         1.1489480E+01	         3.1015350E-01	         2.7921580E-01	         1.1633180E+01	         2.0525378E-06
pp229	3768.1779049999996	9708.739298999999	1	         9.4175680E+00	         1.1546190E-01	         5.1871740E-01	         7.2186830E+00	         1.5726365E-05
pp230	3599.2990689999997	8983.553711	1	         7.7405000E+00	         2.4224580E-01	         2.1584100E-02	         2.7208830E+01	         1.5565758E-05
pp231	8728.913326	4412.769555	4	         1.5084350E+01	         1.5532180E-01	         1.0124750E-01	         1.2585520E+02	         2.1002457E-05
pp232	8787.63637	5322.976745	4	         3.2161870E+01	         1.8514900E-01	         1.1454490E-01	         4.0299570E+01	         2.5263694E-05
pp233	1373.8520019999999	5807.441862	4	         9.0702580E+00	         5.7411320E-01	         3.4796994E-02	         3.3225360E+01	         2.2659358E-06
pp234	2240.016909	5719.357295000001	4	         3.4249780E+01	         4.1372590E-01	         3.2378594E-02	         1.6225460E+01	         2.8266571E-06
pp235	2577.674414	5396.38055	4	         4.8870230E+01	         4.9863560E-01	         1.8899240E-01	         2.1303110E+01	         2.5042212E-06
pp236	3106.181815	5396.38055	4	         6.4638270E+01	         3.1713420E-01	         5.1163740E-01	         5.1881960E+01	         2.8574608E-06
pp237	3634.689215	5308.295984	4	         5.5261330E+01	         2.8261380E-01	         1.0433340E+00	         1.0077420E+02	         2.8081970E-06
pp238	4001.708244	5425.742072999999	4	         3.0575820E+01	         2.4680840E-01	         4.7074540E-01	         8.2602820E+01	         2.6846504E-06
pp239	4574.257927000001	5205.530656	4	         3.8037990E+01	         3.8469850E-01	         6.4731640E-02	         3.3545720E+02	         3.3777519E-06
pp240	5176.169132999999	5102.765328	4	         5.8507360E+01	         3.7965240E-01	         2.2971010E-01	         6.1021320E+02	         3.2253284E-06
pp241	5455.1035950000005	4823.830867000001	4	         6.7428160E+01	         2.7857260E-01	         6.3473500E-01	         6.3965050E+02	         8.0564837E-06
pp242	5792.761101	4574.257927000001	4	         2.3017900E+01	         4.1519750E-01	         2.5248040E+00	         1.6418750E+02	         3.3679028E-06
pp243	6057.014800999999	4765.107822	4	         2.0543360E+01	         3.8324180E-01	         7.7260540E-01	         1.3208330E+02	         4.8221459E-06
pp244	6203.8224119999995	5205.530656	4	         2.4792260E+01	         1.3938770E+00	         1.0863920E+00	         3.9776200E+02	         7.1863059E-06
pp245	6482.756874000001	4779.788583	4	         2.1602930E+02	         2.9144820E-01	         4.5244150E-01	         1.6193560E+02	         4.1936335E-06
pp246	6805.733618000001	4867.87315	4	         6.7156890E+01	         2.0003360E-01	         7.3396710E-01	         4.0174440E+01	         2.5564530E-06
pp247	7260.837213	4867.87315	4	         2.3736630E+01	         4.3651690E-01	         5.6621780E-01	         1.0172080E+02	         1.8108391E-06
pp248	7730.621569	4955.957717	4	         8.7259360E+01	         5.2726710E-01	         4.7665080E-01	         1.0914260E+02	         3.7889448E-06
pp249	8200.405925	4882.553911	4	         6.6358830E+01	         1.7515800E-01	         2.9632480E-01	         7.4968360E+01	         1.0557146E-05
pp250	8758.274848000001	5000.0	4	         2.9878340E+01	         5.2414230E-01	         3.1993060E-01	         3.1209350E+01	         1.6928823E-05
pp251	1388.5327630000002	4354.046511	4	         2.8618690E+01	         2.4221390E-01	         1.0333510E-01	         1.4488390E+01	         7.1278643E-06
pp252	1814.274836	4339.3657490000005	4	         5.1290440E+00	         2.2490810E-01	         6.8979972E-02	         2.3611720E+01	         2.1773605E-06
pp253	2298.7399530000002	4368.727272	4	         6.7178850E+01	         3.7151170E-01	         6.5908824E-02	         1.5171960E+01	         3.7271224E-06
pp254	2665.758981	4574.257927000001	4	         3.4471690E+01	         6.5033650E-01	         2.5653620E-01	         2.3655340E+01	         6.9246461E-06
pp255	3487.8816039999997	4530.215644	4	         2.9246090E+01	         3.9738310E-01	         1.0582950E-01	         4.9714240E+01	         3.2491933E-06
pp256	3987.027482	4471.4926	4	         8.9146310E+01	         5.9733750E-01	         1.5697210E-01	         3.0310870E+02	         3.1030468E-06
pp257	4544.8964049999995	4427.4503159999995	4	         9.8869090E+00	         3.5832040E-01	         2.2503260E-01	         1.7919860E+02	         7.3101892E-06
pp258	5029.361522	4500.854122	4	         1.6523480E+01	         2.2238560E-01	         1.1404910E+00	         3.0224640E+02	         4.4205894E-06
pp259	5484.465117	4632.980972	4	         7.7087180E+01	         3.1198900E-01	         6.8758950E-01	         1.8853120E+02	         3.9036480E-06
pp260	2562.993653	5264.2537	4	         7.4566970E+00	         5.4340190E-01	         1.3580780E-01	         2.0175830E+01	         2.6578092E-06
pp261	4471.4926	5440.422834	4	         3.7093770E+01	         5.1139350E-01	         1.9454300E-01	         3.0136150E+02	         3.3030468E-06
pp262	5000.0	5337.6575060000005	4	         1.7692930E+02	         7.2974360E-01	         1.3197220E-01	         5.1708850E+02	         8.3870852E-06
pp263	5513.826639	5220.211417	4	         4.0902990E+01	         3.3908150E-01	         3.9596260E-01	         5.6582640E+02	         6.2800716E-06
pp264	5851.484145	4941.276956000001	4	         1.8214660E+01	         2.1947590E-01	         9.2587730E-01	         1.3423410E+02	         3.7367179E-06
pp265	5998.2917560000005	5176.169132999999	4	         2.9773720E+01	         1.2068620E+00	         1.0693750E+00	         3.4919110E+02	         5.8630070E-06
pp266	6629.564485	5176.169132999999	4	         2.2689510E+01	         2.5868780E-01	         3.1955750E-01	         2.4435850E+02	         7.5874548E-06
pp267	7789.344614	5249.572939	4	         7.1303730E+01	         3.1816700E-01	         5.4328540E-01	         1.6608970E+02	         4.0154841E-06
pp268	7392.964062999999	5058.723043999999	4	         2.2572700E+02	         2.3255470E-01	         5.6031070E-01	         2.3001090E+02	         4.4840952E-06
pp269	7006.664240000001	5109.5789350000005	4	         2.9189600E+00	         1.8008840E-01	         5.7656030E-01	         5.1772480E+01	         2.2755090E-06
pp270	8089.788584000001	5104.384749	4	         2.2644300E+02	         3.8189250E-01	         4.6013950E-01	         1.3376930E+02	         4.9282015E-06
pp271	8444.696731999999	4989.561525	4	         3.3620020E+01	         1.1535970E+00	         2.6976510E-01	         3.4990820E+01	         2.0427577E-05
pp272	8110.507558	4860.376219	4	         5.0362540E+01	         1.7596190E-01	         2.6505170E-01	         2.9313410E+01	         9.1929377E-06
pp273	8517.743585	4720.752439	4	         7.6071630E+01	         2.4058130E-01	         5.9736470E-01	         4.2639330E+01	         1.1883890E-05
pp274	7821.880189	4635.1017	4	         6.7648560E+01	         1.9099990E-01	         1.7635830E-01	         4.0051830E+01	         1.3042590E-05
pp275	6251.365913000001	4709.683108	4	         1.0429180E+01	         2.9917730E-01	         8.5216350E-01	         2.9055630E+02	         4.4061421E-06
pp276	5750.8195479999995	4169.093034	4	         8.4627960E+02	         7.6817150E-01	         1.8215290E+00	         3.2218060E+02	         3.3338017E-06
pp277	5420.458947	4349.289725	4	         3.4587390E+01	         1.2422390E-01	         1.4052860E+00	         4.3556270E+02	         1.7255682E-06
pp278	6041.13644	4469.4208530000005	4	         5.8850820E+01	         2.9660650E-01	         1.0661550E+00	         2.0007750E+02	         5.2068398E-06
pp279	2522.521204	4550.125334	4	         3.9026650E+01	         4.7870390E-01	         1.4611530E-01	         2.4932020E+01	         3.7387283E-06
pp280	2699.69497	5431.307193	4	         1.3745640E+02	         2.7977850E-01	         1.5442770E-01	         2.7818750E+01	         2.3537465E-06
pp281	8210.851888	4453.891995	4	         1.9316550E+02	         1.6606550E-01	         4.8108700E-01	         3.5716180E+01	         8.3406408E-06
pp282	5207.587289	5613.736334	4	         1.6487570E+01	         2.9901100E-01	         2.4460620E-01	         7.6427390E+02	         6.3613930E-06
pp283	5676.9150740000005	5685.940609	4	         1.0968880E+02	         2.3137290E-01	         4.3347580E-01	         5.7746690E+02	         1.3124379E-05
pp284	8371.592906999998	4304.874954999999	4	         5.7308990E+01	         1.7628710E-01	         2.7846860E-01	         6.0906220E+01	         5.7949367E-06
pp285	5398.2875890000005	3798.1497299999996	4	         3.7468330E+01	         2.0960260E-01	         1.0718650E+00	         3.3899150E+02	         2.1479786E-06
pp286	5531.0501189999995	3616.474689	4	         4.3351720E+01	         1.9088190E-01	         8.2591740E-01	         3.5787760E+01	         3.4978804E-06
pp287	5796.5751789999995	3819.112235	4	         1.9775440E+01	         3.9092940E-01	         1.2151750E+00	         9.2821150E+01	         1.1813722E-06
pp288	6013.187728	4021.7497799999996	4	         8.2135640E+01	         1.7422390E-01	         4.5770070E-01	         1.0997670E+02	         2.1838341E-06
pp289	6369.550308	4378.11236	4	         8.6382770E+01	         3.1544090E-01	         4.2911710E-01	         1.9377230E+02	         1.8283101E-06
pp290	6781.8129	4748.449944	4	         2.7012130E+02	         1.8224910E-01	         2.6907580E-01	         1.2246320E+02	         1.9425023E-06
pp291	7054.325461	4790.3749530000005	4	         5.3069150E+02	         2.7563490E-01	         4.3855800E-01	         2.7126400E+02	         1.0396198E-06
pp292	4867.23747	6383.525311	4	         7.9315300E+00	         2.3499530E-01	         9.2758046E-02	         3.6475940E+02	         1.8096233E-06
pp293	5237.5750530000005	6194.862768	4	         2.5989550E+01	         4.8992580E-01	         1.1613240E-01	         2.2616760E+02	         6.9673179E-06
pp294	4028.737282	6635.075367	4	         1.0577060E+02	         1.7729100E-01	         1.4080480E-01	         5.7323680E+01	         2.6926257E-06
pp295	4217.399824	5929.337709	4	         1.0931410E+02	         2.7466650E-01	         1.8003680E-01	         1.0590750E+02	         1.0622510E-06
pp296	4077.649793	5607.912636999999	4	         1.4993250E+02	         3.0067620E-01	         5.4527570E-01	         6.8133740E+01	         3.7760478E-06
pp297	4545.812398	4944.099987	4	         1.4540010E+01	         1.0091390E-01	         1.2930390E-01	         2.0047820E+02	         6.7970446E-06
pp298	4916.1499810000005	4916.1499810000005	4	         4.2743530E+01	         8.9116860E-01	         1.4719540E-01	         2.1951010E+02	         4.8123619E-06
pp299	1933.4427899999998	4798.34431	4	         2.4261910E+01	         3.8294870E-01	         1.1108980E-01	         1.7309280E+01	         3.1812853E-06
pp300	2512.140198	5635.112177	4	         4.8443100E+01	         6.9520730E-01	         7.4007462E-02	         2.4238510E+01	         4.8636031E-06
pp301	4082.1409200000003	5014.120909	4	         3.7385010E+01	         4.5728860E-01	         2.4371640E-01	         5.8228510E+02	         1.4910450E-06
pp302	4258.652282	5204.753179	4	         1.5403590E+01	         3.3632850E-01	         2.1370800E-01	         3.6680410E+02	         2.0444849E-06
pp303	5921.9436399999995	5431.796388000001	4	         3.7356000E+02	         4.1911340E-01	         2.4102420E-01	         2.9581670E+02	         3.5281860E-06
pp304	6557.96805	5478.477079	4	         5.4484600E+02	         1.8218600E+00	         3.8670060E-01	         2.0297820E+02	         4.6364721E-06
pp305	7118.136337999999	5268.413971	4	         6.3701660E+01	         4.1441080E-01	         6.3620230E-01	         4.7390140E+01	         2.6137252E-06
pp306	7608.283590000001	5385.115698	4	         5.7853800E+01	         4.5861350E-01	         3.9795430E-01	         1.4625090E+02	         3.7051173E-06
pp307	8104.265928	5501.817424	4	         1.0277910E+01	         2.7342500E-01	         3.3314310E-01	         3.8668360E+02	         9.6460176E-06
pp308	8419.36059	5437.631475	4	         3.6891720E+02	         1.5801790E-01	         2.0576240E-01	         7.6424390E+01	         2.0178594E-05
pp309	8378.514985	5280.0841439999995	4	         5.1126190E+01	         6.9033190E-01	         2.1496960E-01	         8.3132660E+01	         1.8926315E-05
pp310	5142.48695	4257.567999	4	         4.7130820E+01	         5.7507990E-01	         1.1530590E+00	         2.2535120E+02	         2.8999443E-06
pp311	4820.016485	4250.068686	4	         2.3104410E+01	         3.8784850E-01	         7.6285570E-01	         1.7845060E+02	         5.9713558E-06
pp312	674.4252074	6328.859968	4	         1.3362320E+00	         4.3072420E-01	         4.9513831E-02	         7.9270830E+00	         1.7444320E-05
pp313	498.1478648	4457.608176	4	         4.7542210E+01	         4.2011660E-01	         4.0967194E-02	         1.4355990E+01	         1.7359866E-05
pp314	864.2623456	4783.0432710000005	4	         2.1147770E+01	         5.3498370E-01	         3.2464292E-02	         7.0824250E+00	         1.7617783E-05
pp315	1718.529468	3942.335944	4	         3.6130190E+01	         1.0841620E-01	         2.3783209E-02	         2.0575960E+01	         3.1778289E-06
pp316	5637.310393	6166.1424210000005	4	         9.9522630E+01	         2.0424390E-01	         2.5964490E-01	         4.7450290E+02	         4.2695153E-06
