ppid	easting	northing	zone	drnc
01	1309.3319999999999	4333.847	1	   9.9983100E+01
02	2215.116	4367.795999999999	1	   9.9990100E+01
03	2766.76	4611.534000000001	1	   1.0000150E+02
04	3220.276	4576.561	1	   1.0001150E+02
05	3370.8559999999998	4556.802	1	   1.0001420E+02
06	3820.035	4480.88	1	   1.0001970E+02
07	3969.073	4451.681	1	   1.0002010E+02
08	4267.721	4396.312	1	   1.0001900E+02
09	4417.928	4373.997	1	   1.0001770E+02
10	4721.005	4354.231	1	   1.0001480E+02
11	5263.471	4606.975	1	   1.0001250E+02
12	5715.5019999999995	4658.68	1	   1.0001810E+02
13	1332.924	5819.920999999999	1	   9.9982330E+01
14	1551.043	5927.698	1	   9.9983340E+01
15	5015.357	5180.347	1	   1.0000960E+02
16	5501.52	4803.47	1	   1.0001440E+02
17	1996.355	5743.86	1	   9.9986090E+01
18	2359.333	5707.401999999999	1	   9.9990570E+01
19	2669.937	5360.914000000001	1	   9.9996710E+01
20	3157.9179999999997	5411.734	1	   1.0000470E+02
21	3637.315	5316.807	1	   1.0001030E+02
22	4233.709	5444.404	1	   1.0000930E+02
23	4695.218	5059.772	1	   1.0001140E+02
24	5837.017	4419.032	1	   1.0001960E+02
25	6180.931	5227.034000000001	1	   1.0002990E+02
26	6564.235	4713.901	1	   1.0004000E+02
27	6930.758000000001	5022.067	1	   1.0004630E+02
28	7333.597	4859.674	1	   1.0004640E+02
29	7843.07	4991.014	1	   1.0003540E+02
30	8270.421999999999	4868.7970000000005	1	   1.0002520E+02
31	8812.105	4973.7390000000005	1	   1.0001470E+02
