icpl     elevation      conductance     reach
2830     140.94892883    21.4256946  1
2842     139.41760254    23.8230196  1
2843     138.98307800    23.9414310  1
2845     139.76692200    23.2704847  1
2846     140.12881470    22.2961442  1
2847     139.87527466    22.9286580  1
2848     139.36170959    23.7925537  1
2854     138.29095459    23.5953752  1
2855     137.97273254    22.9319113  1
2856     137.55987549    21.8843727  1
2857     137.21325684    21.3476073  1
2858     137.65238953    22.1912056  1
2870     136.57574463    21.2496100  1
2871     136.24092102    21.3551935  1
2874     135.90707397    21.8075500  1
2875     135.57432556    22.5496649  1
2880     134.91270447    23.4512894  1
2881     134.57838440    24.3024421  1
2884     134.23027039    24.8491984  1
2885     133.87829590    24.9104868  1
2898     133.16310120    24.4830607  1
2899     132.82168579    23.8820130  1
2902     132.48745728    23.3067174  1
2904     132.61286926    23.2596665  1
2905     132.24163818    23.1117888  1
2910     131.51754761    23.3706885  1
2911     131.16175842    24.0076993  1
2914     130.80834961    24.8297560  1
2915     130.45629883    25.5924725  1
2925     129.78453064    25.9748155  1
2926     129.45254517    25.8332422  1
2929     129.12196350    25.2528237  1
2932     129.15356445    25.0277464  1
2933     128.80433655    24.4386027  1
2938     128.09814453    23.8566903  1
2939     127.74836731    23.4932502  1
2942     127.42294312    23.5246266  1
2943     127.09448242    23.9273715  1
2950     126.43228149    24.4704632  1
2951     126.12805176    25.1906669  1
2953     126.11300659    25.4695919  1
2956     125.71177673    26.2404953  1
2957     125.38627625    26.8056334  1
2962     124.74716187    26.9822260  1
2963     124.42984009    26.7240881  1
2966     124.11621094    26.1857967  1
3010     106.08220673    30.1854499  1
3011     104.91427612    29.9572569  1
3015     103.56811523    29.6999427  1
3017     102.69724274    30.6043784  1
3018     102.99445343    30.1877744  1
3019     102.89657593    30.8268175  1
3020     103.82995605    29.5993318  1
3021     103.58644104    29.9154905  1
3022     104.31425476    29.8554286  1
3030     101.16681671    31.0680824  1
3031     100.76856232    31.0827561  1
3036     100.05654144    31.3453729  1
3037      99.72547150    32.0641312  1
3040      99.40077209    32.8350985  1
3041      99.15164185    32.9533169  1
3042     102.18315887    31.3522423  1
3043     102.10232544    31.8401033  1
3046     102.05285645    31.7365272  1
3062      97.68768311    33.3295730  1
3063      98.71369171    32.9012765  1
3064      98.47105408    33.3586135  1
3065      97.54783630    34.0321587  1
3066      97.51295471    34.2547089  1
3077      96.86720276    34.1038805  1
3078      96.47791290    35.6752186  1
3081      95.99910736    36.5923575  1
3261     157.20172119    19.9708627  1
3264     156.84829712    19.8157522  1
3265     156.52485657    19.5934404  1
3269     155.48519897    19.3802072  1
3270     155.87597656    19.4198357  1
3271     155.54989624    19.4082385  1
3272     155.12814331    19.6100839  1
3273     154.77615356    20.0112730  1
3286     154.10334778    20.4634771  1
3287     153.77345276    20.8269111  1
3290     153.44372559    20.9946544  1
3291     153.11407471    20.9267652  1
3296     152.43653870    20.6601995  1
3297     152.09403992    20.2937762  1
3300     151.75161743    19.9542933  1
3301     151.40982056    19.7573803  1
3314     150.75207520    19.7769591  1
3315     150.42671204    20.0292623  1
3317     150.49763489    20.1210028  1
3320     150.14834595    20.5808581  1
3321     149.79924011    21.1255465  1
3326     149.10162354    21.6217514  1
3327     148.75845337    21.9365029  1
3330     148.42298889    21.9841836  1
3331     148.08755493    21.7644520  1
3344     144.71214294    22.4806998  1
3347     147.41751099    21.3665193  1
3348     147.08271790    20.9338292  1
3350     146.39512634    20.4957471  1
3351     146.74858093    20.6101429  1
3352     146.42578125    20.4954754  1
3355     145.68450928    20.7055109  1
3356     145.36201477    21.1491017  1
3359     145.03918457    21.7235598  1
3360     144.71365356    22.2756263  1
