icpl     elevation      conductance     reach
2830     140.94892883    28.4202678  1
2842     139.41760254    32.3010273  1
2843     138.98307800    33.3338071  1
2845     139.76692200    30.7791457  1
2846     140.12881470    29.3289659  1
2847     139.87527466    30.2667101  1
2848     139.36170959    31.7632627  1
2854     138.29095459    34.4669473  1
2855     137.97273254    35.6852638  1
2856     137.55987549    37.2474980  1
2857     137.21325684    38.5640687  1
2858     137.65238953    36.9466096  1
2870     136.57574463    39.9272058  1
2871     136.24092102    40.8506963  1
2874     135.90707397    41.7527835  1
2875     135.57432556    42.6747915  1
2880     134.91270447    43.6171511  1
2881     134.57838440    44.5885778  1
2884     134.23027039    45.5677630  1
2885     133.87829590    46.5684450  1
2898     133.16310120    47.5910653  1
2899     132.82168579    48.6361977  1
2902     132.48745728    49.6923120  1
2904     132.61286926    49.8322390  1
2905     132.24163818    50.9234155  1
2910     131.51754761    52.0384701  1
2911     131.16175842    53.1779535  1
2914     130.80834961    54.3423940  1
2915     130.45629883    55.0000000  1
2925     129.78453064    55.0000000  1
2926     129.45254517    55.0000000  1
2929     129.12196350    70.0000000  1
2932     129.15356445    70.0000000  1
2933     128.80433655    70.0000000  1
2938     128.09814453    70.6294481  1
2939     127.74836731    71.5660973  1
2942     127.42294312    72.5151882  1
2943     127.09448242    73.4768552  1
2950     126.43228149    74.4512910  1
2951     126.12805176    75.4265088  1
2953     126.11300659    75.5964699  1
2956     125.71177673    76.5952023  1
2957     125.38627625    77.6071901  1
2962     124.74716187    78.6325370  1
2963     124.42984009    79.6714218  1
2966     124.11621094    80.7171483  1
3010     106.08220673    106.514120  1
3011     104.91427612    106.947668  1
3015     103.56811523    108.387921  1
3017     102.69724274    109.581308  1
3018     102.99445343    108.854034  1
3019     102.89657593    109.322138  1
3020     103.82995605    107.668528  1
3021     103.58644104    108.131547  1
3022     104.31425476    107.383038  1
3030     101.16681671    111.499932  1
3031     100.76856232    112.140602  1
3036     100.05654144    112.784928  1
3037      99.72547150    113.464756  1
3040      99.40077209    114.138596  1
3041      99.15164185    114.816422  1
3042     102.18315887    110.056708  1
3043     102.10232544    110.689088  1
3046     102.05285645    111.325157  1
3062      97.68768311    116.239936  1
3063      98.71369171    115.498273  1
3064      98.47105408    116.184107  1
3065      97.54783630    116.908300  1
3066      97.51295471    117.604823  1
3077      96.86720276    118.305540  1
3078      96.47791290    119.010405  1
3081      95.99910736    109.179832  1
3261     157.20172119    10.0000000  1
3264     156.84829712    10.1390782  1
3265     156.52485657    10.3818829  1
3269     155.48519897    10.9100370  1
3270     155.87597656    10.6305023  1
3271     155.54989624    10.8850754  1
3272     155.12814331    11.1713040  1
3273     154.77615356    11.4348080  1
3286     154.10334778    11.7096419  1
3287     153.77345276    11.9910808  1
3290     153.44372559    12.2792846  1
3291     153.11407471    12.5744141  1
3296     152.43653870    12.8729733  1
3297     152.09403992    13.1823301  1
3300     151.75161743    13.4991212  1
3301     151.40982056    13.8235266  1
3314     150.75207520    14.1502632  1
3315     150.42671204    14.4892338  1
3317     150.49763489    14.5213674  1
3320     150.14834595    14.8692236  1
3321     149.79924011    15.2254058  1
3326     149.10162354    15.5901316  1
3327     148.75845337    15.9568247  1
3330     148.42298889    16.3407479  1
3331     148.08755493    16.7338960  1
3344     144.71214294    20.6197198  1
3347     147.41751099    17.1365060  1
3348     147.08271790    17.5488131  1
3350     146.39512634    18.4633184  1
3351     146.74858093    17.9475596  1
3352     146.42578125    18.3691780  1
3355     145.68450928    18.8970502  1
3356     145.36201477    19.3409660  1
3359     145.03918457    19.7953135  1
3360     144.71365356    20.3300668  1
3369     142.86938477    24.2514095  1
3371     143.59378052    22.3289926  1
3372     143.91931152    21.3060982  1
3373     143.55433655    22.0153356  1
3374     143.19950867    23.0722839  1
3375     142.81011963    23.8135075  1
3379     141.66189575    26.2594954  1
3380     142.06065369    25.0066121  1
3381     141.77708435    25.7853292  1
3382     141.35147095    27.0772309  1
3383     141.20858765    27.9204280  1
3423     124.18763733    80.9163258  1
3424     123.81753540    81.9822441  1
3431     123.07929993    83.0621477  1
3432     122.70878601    84.1563750  1
3435     122.33508301    85.0000000  1
3436     121.95627594    85.0000000  1
3441     121.42705536    85.0000000  1
3443     121.40378571    85.0000000  1
3444     121.02072144    70.0000000  1
3447     120.63170624    70.0000000  1
3448     120.25042725    70.4554609  1
3455     119.90151215    71.4123424  1
3456     119.61042786    72.3822363  1
3459     119.32991791    72.5705675  1
3462     118.94729614    73.5561631  1
3463     118.55519104    74.5551637  1
3468     117.96264648    75.5691540  1
3469     117.66700745    76.5981647  1
3472     117.36540985    77.6411921  1
3474     117.26510620    77.8285049  1
3475     116.87754822    78.8882832  1
3488     116.20101166    79.9625085  1
3489     115.89495850    80.0000000  1
3492     115.58674622    80.0000000  1
3493     115.27692413    90.0000000  1
3498     114.65421295    90.0000000  1
3499     114.33720398    90.0715568  1
3506     114.44267273    90.1676045  1
3509     114.08169556    91.1450541  1
3510     113.71822357    92.1331396  1
3523     112.98375702    93.1318400  1
3524     112.61254120    94.1414606  1
3527     112.24895477    95.1639650  1
3528     111.90277100    96.2000901  1
3533     111.20854187    97.2474964  1
3534     110.86061096    98.3063402  1
3537     110.51216888    99.3767134  1
3538     110.18052673    100.219014  1
3549     108.97172546    102.252951  1
3554     107.76271057    104.626251  1
3556     107.89952850    103.486676  1
3557     107.86071777    102.800458  1
3558     107.41826630    103.243302  1
3559     107.17255402    103.932534  1
3560     106.71498108    104.380211  1
3563     109.65287781    100.706703  1
3564     109.39402771    101.196891  1
3567     109.13790894    101.689328  1
3568     108.88316345    102.184186  1
3578     105.41850281    105.791837  1
3579     105.93222809    105.074436  1
3580     105.84342957    105.502153  1
3581     105.46980286    106.222459  1
1270     155.52236938    125.288202  2
1272     154.78224182    122.573646  2
1273     155.20268250    124.159265  2
1274     154.88928223    122.964619  2
1277     156.68557739    128.145824  2
1278     157.09468079    129.971676  2
1279     156.74327087    128.883933  2
1282     155.97956848    127.073379  2
1283     155.60957336    126.009919  2
1291     154.18037415    121.394309  2
1292     153.88221741    120.226207  2
1295     153.56172180    119.419964  2
1296     153.23962402    118.763180  2
1301     152.58436584    118.110008  2
1302     152.25610352    117.460462  2
1305     151.87274170    116.866447  2
1307     151.93804932    116.634599  2
1308     151.60000610    116.034641  2
1321     150.83131409    115.437753  2
1322     150.44529724    114.894369  2
1329     150.54914856    114.575459  2
1332     150.18405151    114.038025  2
1334     150.17329407    113.707310  2
