time,H1-4429,H1-1940,H1-193,H3-3932,H3-4569,H3-3794,H3-4343,H3-3716,H3-4025,H3-4429,H3-1394,H3-387,H3-259,H3-405,H3-867,H3-4518,H3-2585,H3-641
0.000000000000,88.49425497,83.82786621,83.93130580,93.15923272,93.37912849,91.29169269,89.42524984,88.29634293,88.19951583,87.95049102,84.33942547,93.80995666,88.96724758,87.87102040,85.49627621,84.87574809,84.44565746,84.56491136
30.44166666667,88.55259053,83.87809154,83.99016619,93.30361674,93.45522206,91.38038398,89.65188550,88.23104610,88.26964143,88.07952937,84.43637025,93.86686449,89.04763988,87.95449900,85.65601414,84.94023182,84.49380226,84.66939204
60.88333333333,88.62856431,83.91654077,84.04571640,93.39183098,93.52351057,91.46719247,89.73641576,88.27305437,88.34496268,88.16298654,84.49568657,93.93406530,89.13072537,88.02942406,85.74183379,85.00033945,84.53149308,84.72889449
91.32500000000,88.65871839,83.90178930,84.04047031,93.39540251,93.53706091,91.46794524,89.73775515,88.27412600,88.35497104,88.17542732,84.47391638,93.95147391,89.13433065,88.02168035,85.70756785,85.00044154,84.52051526,84.70420120
121.7666666667,88.68992449,83.90830072,84.05333634,93.43166883,93.56762312,91.49343418,89.76584825,88.28974757,88.38199223,88.20495153,84.49242246,93.98399266,89.16286063,88.05070436,85.74729305,85.01524391,84.52783081,84.73189642
152.2083333333,88.76110953,83.94679487,84.10676012,93.53068437,93.64287755,91.58186606,89.85786740,88.34240663,88.45823529,88.28883458,84.55215606,94.05825774,89.25142927,88.14256878,85.84567845,85.07154403,84.56374272,84.80645220
182.6500000000,88.78332836,83.90723709,84.08785821,93.52486030,93.65333333,91.57088231,89.85240432,88.33978758,88.45887711,88.29147263,84.41986083,94.07380881,89.23191213,88.08652329,85.58524528,85.06125802,84.51832654,84.65038961
213.0916666667,88.72591718,83.83571703,84.02785052,93.35405474,93.57034251,91.42442632,89.09255267,88.28814698,88.36617336,87.97250525,84.26231609,94.04506489,89.15298474,87.98355767,85.31048723,84.97847065,84.44576869,84.48436761
243.5333333333,88.63574536,83.77698958,83.96541379,93.16024465,93.48526828,91.27961037,88.76050505,88.22630852,88.27302364,87.79922700,84.17239054,94.00042719,89.06421055,87.89217227,85.17620996,84.90432540,84.38960087,84.39985327
273.9750000000,88.55537031,83.74274343,83.91110862,93.06147012,93.43955364,91.20262245,89.09851053,88.17070640,88.21252918,87.87280594,84.15945155,93.94923836,88.97923527,87.82322717,85.18754776,84.86317780,84.35931492,84.39708228
304.4166666667,88.48560362,83.72421481,83.86639788,93.00339437,93.39745988,91.14425977,89.32120684,88.11969414,88.15510115,87.90601587,84.15140954,93.89613265,88.89482215,87.75199546,85.18703003,84.82744680,84.33835214,84.38460713
334.8583333333,88.42258030,83.71781106,83.83063953,92.99913131,93.35963292,91.10375674,89.40049479,88.07394540,88.09867106,87.89114916,84.16621490,93.84289109,88.81673688,87.69224269,85.22375418,84.79348442,84.32921768,84.39503687
365.3000000000,88.38279605,83.73242215,83.81730577,93.06139964,93.34520610,91.10426498,89.43122938,88.04666798,88.06384245,87.87403999,84.21259783,93.80387338,88.77508180,87.69017862,85.32183277,84.77703139,84.33845593,84.45681025
395.7416666667,88.44525179,83.81078069,83.88536559,93.17403641,93.41320951,91.21382713,89.59504618,88.09295311,88.13360951,87.97225036,84.35156316,93.83989007,88.86295815,87.84295679,85.57528195,84.84301997,84.40649423,84.64291689
426.1833333333,88.53722321,83.87516102,83.96077073,93.27866825,93.48851907,91.32941518,89.70911678,88.15611898,88.22410939,88.07479092,84.44484680,93.89702940,88.95387136,87.93985893,85.70527392,84.91808054,84.46706932,84.73245240
