time,EVT-1,EVT-2,EVT-3
0.000000000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
30.44166666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
60.88333333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
91.32500000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
121.7666666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
152.2083333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
182.6500000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
213.0916666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
243.5333333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
273.9750000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
304.4166666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
334.8583333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
365.3000000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
395.7416666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
426.1833333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
456.6250000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
487.0666666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
517.5083333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
547.9500000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
578.3916666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
608.8333333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
639.2750000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
669.7166666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
700.1583333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
730.6000000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
761.0416666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
791.4833333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
821.9250000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
852.3666666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
882.8083333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
913.2500000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
943.6916666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
974.1333333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1004.575000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1035.016666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1065.458333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1095.900000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1126.341666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1156.783333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1187.225000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1217.666666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1248.108333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1278.550000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1308.991666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1339.433333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1369.875000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1400.316666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1430.758333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1461.200000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1491.641666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1522.083333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1552.525000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1582.966666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1613.408333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1643.850000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1674.291666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1704.733333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1735.175000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1765.616666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1796.058333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1826.500000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1856.941666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1887.383333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
1917.825000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
1948.266666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
1978.708333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2009.150000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2039.591666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2070.033333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2100.475000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2130.916666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2161.358333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2191.800000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2222.241666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2252.683333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2283.125000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2313.566666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2344.008333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2374.450000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2404.891666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2435.333333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2465.775000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2496.216666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2526.658333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2557.100000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2587.541666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2617.983333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2648.425000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2678.866666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2709.308333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2739.750000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2770.191666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2800.633333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2831.075000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2861.516666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2891.958333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
2922.400000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
2952.841666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
2983.283333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3013.725000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3044.166666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3074.608333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3105.050000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3135.491666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3165.933333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3196.375000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3226.816666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3257.258333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3287.700000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3318.141666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3348.583333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3379.025000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3409.466666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3439.908333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3470.350000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3500.791666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3531.233333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3561.675000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
3592.116666667,0.300000000E+31,0.300000000E+31,0.300000000E+31
3622.558333333,0.300000000E+31,0.300000000E+31,0.300000000E+31
3653.000000000,0.300000000E+31,0.300000000E+31,0.300000000E+31
