time,H1-4429,H1-1940,H1-193,H3-3932,H3-4569,H3-3794,H3-4343,H3-3716,H3-4025,H3-4429,H3-1394,H3-387,H3-259,H3-405,H3-867,H3-4518,H3-2585,H3-641
0.000000000000,88.32474790,83.82410947,83.92400915,92.37064600,92.74495104,90.86204229,89.18094074,88.17994769,88.05827496,87.79215392,84.33074090,93.38277984,88.87369246,87.80284742,85.47246677,84.82397210,84.43901463,84.55020076
30.44166666667,88.38321745,83.87470037,83.98288753,92.48318097,92.81567223,90.96525559,89.40864014,88.23362329,88.13646741,87.92168778,84.42923776,93.44116268,88.95789599,87.88901963,85.63445577,84.88865019,84.49073430,84.65502563
60.88333333333,88.45971120,83.91382219,84.03848511,92.57142134,92.88353006,91.05720549,89.49420738,88.29053679,88.21472346,88.00569694,84.49063296,93.50882100,89.04645575,87.96802020,85.72412560,84.94894906,84.53130930,84.71522088
91.32500000000,88.49084814,83.90000236,84.03332570,92.58735505,92.89868535,91.06403514,89.49686604,88.29918852,88.22729621,88.01887880,84.47143458,93.52682831,89.05720449,87.96575495,85.69497331,84.94926839,84.52326473,84.69159371
121.7666666667,88.52316327,83.90762081,84.04633000,92.61900027,92.92821819,91.09089788,89.52615787,88.32021852,88.25669674,88.04922941,84.49278241,93.56000540,89.09416800,88.00137490,85.74059462,84.96431709,84.53342042,84.72069586
152.2083333333,88.59545375,83.94731555,84.09995133,92.70201579,93.00049910,91.17679051,89.61920111,88.37685908,88.33508797,88.13396837,84.55544749,93.63497248,89.19213487,88.10068363,85.84525285,85.02088840,84.57198340,84.79694317
182.6500000000,88.61902895,83.90898031,84.08130711,92.70656852,93.01209428,91.16941846,89.61507446,88.37783080,88.33776477,88.13754484,84.42604498,93.65159213,89.18266718,88.05265798,85.59116326,85.01088502,84.52899209,84.64277592
213.0916666667,88.56306714,83.83865347,84.02161699,92.60024662,92.93921402,91.04235310,88.85745252,88.33029551,88.24718762,87.81961348,84.27127855,93.62475413,89.11420266,87.95807303,85.32263818,84.92838800,84.45863195,84.47878610
243.5333333333,88.47430833,83.78106467,83.95955669,92.43160099,92.85865988,90.90920350,88.52731541,88.27195981,88.15605858,87.64735318,84.18397990,93.58239913,89.03613979,87.87527871,85.19438311,84.85453684,84.40445018,84.39639150
273.9750000000,88.39526359,83.74789372,83.90568342,92.29173314,92.80700002,90.82516783,88.86617939,88.21850649,88.09726073,87.72184377,84.17350020,93.53343565,88.96200448,87.81502829,85.21146839,84.81366983,84.37595862,84.39579136
304.4166666667,88.32675050,83.73037240,83.86145524,92.22953676,92.76452937,90.76669247,89.09002797,88.16964308,88.04142008,87.75595109,84.16774969,93.48301540,88.88847310,87.75251847,85.21640306,84.77821832,84.35662072,84.38550829
334.8583333333,88.26491441,83.72490946,83.82622471,92.23163801,92.72804197,90.72893099,89.17061029,88.12597809,87.98647591,87.74196030,84.18468594,93.43282165,88.82124661,87.70145963,85.25827783,84.74452990,84.34896240,84.39812954
365.3000000000,88.22618230,83.74040282,83.81345899,92.27808478,92.71143341,90.72618056,89.20225560,88.10022241,87.95292642,87.72564737,84.23305119,93.39694162,88.79038402,87.70802377,85.36119040,84.72834256,84.35954788,84.46207735
395.7416666667,88.28933967,83.81959969,83.88212354,92.36439810,92.77530764,90.82855136,89.36670609,88.14743366,88.02369608,87.82453130,84.37386510,93.43611067,88.88897809,87.86935298,85.61914428,84.79458795,84.42882124,84.65033354
426.1833333333,88.38209591,83.88476119,83.95816431,92.46263548,92.84941263,90.94139882,89.48157933,88.21150532,88.11511524,87.92775800,84.46886857,93.49658678,88.99049227,87.97469983,85.75341146,84.86990315,84.49052098,84.74198843
456.6250000000,88.54709175,83.98006227,84.08693075,92.63741125,92.99171922,91.13569579,89.69137454,88.33209397,88.28449998,88.11713597,84.61457381,93.62412363,89.18526841,88.17400142,85.97592909,85.00158167,84.58540107,84.90468573
487.0666666667,88.67116256,84.00623240,84.14719037,92.74057698,93.07943148,91.23788986,89.77789435,88.40543966,88.38706741,88.22468493,84.65927945,93.70879998,89.29674479,88.26331070,86.03953918,85.06809869,84.62173440,84.94656706
