ppid	easting	northing	zone	ghbcond1	ghbcond3
01	0	0	1	       3.7834140E+00	       5.0333430E+01
02	0	250	1	       2.7920660E+00	       1.8356230E+01
03	0	500	1	       2.5692040E+00	       2.0950640E+01
04	0	750	1	       1.9237450E+00	       2.1414290E+01
05	0	1000	1	       1.3950460E+00	       1.2232270E+01
06	0	1250	1	       1.8881000E+00	       2.0349890E+01
07	0	1500	1	       3.1604160E+00	       1.0662850E+01
08	0	1750	1	       4.2110420E+00	       5.5324740E+00
09	0	2000	1	       6.8285780E+00	       6.9765390E+00
10	0	2250	1	       3.4824900E+00	       5.4766350E+00
11	0	2500	1	       4.6474730E+00	       1.4220980E+01
12	0	2750	1	       5.0452470E+00	       2.0124650E+01
13	0	3000	1	       4.7182560E+00	       3.9135450E+01
14	0	3250	1	       4.0400200E+00	       2.8570460E+01
15	0	3500	1	       3.9955500E+00	       5.4543980E+01
16	0	3750	1	       2.7065550E+00	       3.7951840E+01
17	0	4000	1	       6.4194600E+02	       7.6146740E+02
18	0	4250	1	       4.0680460E+02	       3.7484460E+02
19	0	4500	1	       4.1629080E+02	       1.5372840E+02
20	0	4750	1	       1.1006170E+03	       2.7072260E+02
21	0	5000	1	       2.0446550E+03	       2.4850190E+02
22	0	5250	1	       1.8032290E+03	       3.8786460E+02
23	0	5500	1	       6.3185470E+02	       4.7727390E+02
24	0	5750	1	       2.3668640E+00	       1.2512600E+01
25	0	6000	1	       2.6472770E+00	       1.1777370E+01
26	0	6250	1	       2.1140910E+00	       2.3298640E+01
27	0	6500	1	       2.2356920E+00	       3.5704980E+01
28	0	6750	1	       2.3453970E+00	       2.2320610E+01
29	0	7000	1	       1.1166860E+00	       1.4048310E+01
30	0	7250	1	       7.9987800E-01	       1.2088840E+01
31	0	7500	1	       7.1303810E-01	       1.1762210E+01
32	0	7750	1	       3.8338270E-01	       1.9105820E+01
33	0	8000	1	       5.8094730E-01	       1.4229880E+01
34	0	8250	1	       4.7505080E-01	       5.4917460E+00
35	0	8500	1	       4.2680600E-01	       7.9864460E+00
36	0	8750	1	       5.7872610E-01	       8.0181750E+00
37	0	9000	1	       8.6355880E-01	       1.2617270E+01
38	0	9250	1	       1.6898500E+00	       1.2986540E+01
39	0	9500	1	       1.4365020E+00	       2.3629500E+01
40	0	9750	1	       2.4449450E+00	       2.1958010E+01
41	0	10000	1	       5.4821100E+00	       4.2887950E+01
