ppid	easting	northing	zone	ghbc1	ghbc3
01	0	0	1	    9.9791250E+01	    9.9565510E+01
02	0	250	1	    9.9649510E+01	    9.9272960E+01
03	0	500	1	    9.9628280E+01	    9.9231030E+01
04	0	750	1	    9.9610940E+01	    9.9205710E+01
05	0	1000	1	    9.9596340E+01	    9.9186790E+01
06	0	1250	1	    9.9576410E+01	    9.9162830E+01
07	0	1500	1	    9.9550650E+01	    9.9121760E+01
08	0	1750	1	    9.9516610E+01	    9.9062810E+01
09	0	2000	1	    9.9478870E+01	    9.8999850E+01
10	0	2250	1	    9.9441590E+01	    9.8950900E+01
11	0	2500	1	    9.9412630E+01	    9.8929200E+01
12	0	2750	1	    9.9392680E+01	    9.8925240E+01
13	0	3000	1	    9.9361590E+01	    9.8907990E+01
14	0	3250	1	    9.9326020E+01	    9.8878530E+01
15	0	3500	1	    9.9339810E+01	    9.8872730E+01
16	0	3750	1	    9.9582960E+01	    9.8885280E+01
17	0	4000	1	    9.9821140E+01	    9.8941380E+01
18	0	4250	1	    9.9739500E+01	    9.9051900E+01
19	0	4500	1	    9.9644700E+01	    9.9182280E+01
20	0	4750	1	    9.9668940E+01	    9.9307470E+01
21	0	5000	1	    9.9718130E+01	    9.9424850E+01
22	0	5250	1	    9.9780250E+01	    9.9522580E+01
23	0	5500	1	    9.9856330E+01	    9.9612220E+01
24	0	5750	1	    9.9929460E+01	    9.9685910E+01
25	0	6000	1	    9.9964430E+01	    9.9737310E+01
26	0	6250	1	    9.9951380E+01	    9.9770850E+01
27	0	6500	1	    9.9929960E+01	    9.9792440E+01
28	0	6750	1	    9.9925700E+01	    9.9810920E+01
29	0	7000	1	    9.9929740E+01	    9.9827390E+01
30	0	7250	1	    9.9935320E+01	    9.9845040E+01
31	0	7500	1	    9.9942480E+01	    9.9860720E+01
32	0	7750	1	    9.9948640E+01	    9.9875270E+01
33	0	8000	1	    9.9954070E+01	    9.9887850E+01
34	0	8250	1	    9.9959650E+01	    9.9898940E+01
35	0	8500	1	    9.9964130E+01	    9.9908760E+01
36	0	8750	1	    9.9966550E+01	    9.9916420E+01
37	0	9000	1	    9.9969230E+01	    9.9922600E+01
38	0	9250	1	    9.9972530E+01	    9.9927580E+01
39	0	9500	1	    9.9974000E+01	    9.9932320E+01
40	0	9750	1	    9.9975860E+01	    9.9936870E+01
41	0	10000	1	    9.9985440E+01	    9.9962730E+01
