group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.225098,1.23921,0,0
kx2,0.713319,1.21203,0,0
kx3,1.00873,0.990282,0,0
rch,-0.0187229,1.36711,6135,5
strc,-0.0120355,0.0439175,0,0
ghb1,0.0139008,0.071122,0,0
ghb3,0.000461474,0.0961238,0,0
