group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.22438,1.23855,0,0
kx2,0.713512,1.21164,0,0
kx3,1.00789,0.991496,0,0
rch,-0.0186684,1.36687,6136,5
strc,-0.0120677,0.0439289,0,0
ghb1,0.013888,0.0711316,0,0
ghb3,0.000454977,0.0960752,0,0
