real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
0,89.4933,84.6361,85.4005,94.8258,94.5342,91.5673,90.1028,88.2989,88.9661,89.3804,84.8574,98.1876,90.7329,88.245,86.574,87.5064,84.8562,85.4009,-8356.98,-10753,0.112909,-6920.63,-9287.57
1,89.6235,84.6216,85.4107,94.8013,94.5627,91.6182,89.839,88.4089,89.08,89.5084,84.9425,98.6218,90.7429,88.315,86.5877,87.5487,84.6425,85.4808,-7824.47,-11254.8,0.115101,-6272.64,-9643.03
2,89.8232,84.8938,85.663,94.8019,94.7964,91.7444,90.2536,88.2922,89.0535,89.71,85.0912,98.2959,90.7893,88.3251,86.3896,87.6501,84.9063,85.526,-9023.39,-11640.4,0.113249,-7501.67,-10083.3
3,89.7509,84.8184,85.6115,95.0045,94.3918,91.8374,90.2497,88.2413,88.9826,89.6496,84.9677,98.2566,90.8582,88.5328,86.3481,87.156,84.7807,85.4515,-8532.24,-11267.6,0.10131,-7537.53,-10233.8
4,89.905,84.5134,85.6178,94.922,94.8759,91.587,89.9377,88.3483,89.3843,89.8042,84.9442,98.327,90.7328,88.3445,86.2974,87.4351,84.5109,85.8096,-9454.97,-12517.6,0.100835,-8045.85,-11066.9
5,89.7017,84.5852,85.6334,94.8879,94.4975,91.6478,89.9145,88.299,89.0175,89.5904,84.8169,98.8994,90.7108,88.1577,86.1821,87.5018,84.5926,85.3527,-8753.45,-11658.3,0.111318,-7209.15,-10060.5
6,89.8229,84.6125,85.686,94.397,94.1664,91.5659,89.9472,88.4742,89.1627,89.7351,85.0305,98.5763,90.568,88.1966,86.4198,87.4283,84.7496,85.8296,-7542.41,-10367,0.0877308,-6592.54,-9393.14
7,89.7845,84.6939,85.602,94.9012,94.9346,91.5971,89.7627,88.4043,89.0208,89.7031,84.7133,98.3561,91.0647,88.3226,86.4368,87.554,84.5282,85.6616,-7762.66,-11381.3,0.0813511,-6580.63,-10147.9
8,89.8715,84.6361,85.5354,94.7807,95.2786,91.7477,90.2633,88.4056,89.1662,89.7839,84.9391,98.6474,90.6248,88.4318,86.5946,87.573,84.6671,85.6191,-7341.36,-10315,0.0875523,-6018.58,-8917.06
9,89.8197,84.7008,85.4405,94.8052,94.914,91.7329,90.2368,88.2256,89.1717,89.7087,84.904,98.9599,90.8092,88.3116,86.5758,87.606,84.7942,85.5393,-7979.41,-10073.7,0.111046,-6393.14,-8449.83
