group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.225822,1.23129,0,0
kx2,0.715629,1.20871,0,0
kx3,1.01491,0.978346,0,0
rch,-0.01871,1.36322,6136,5
strc,-0.0119616,0.0428793,0,0
ghb1,0.0139517,0.0710309,0,0
ghb3,0.000496413,0.0956257,0,0
