group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.0969597,1.11029,0,0
kx2,0.665056,1.03527,0,0
kx3,0.774241,0.929971,0,0
rch,-0.0213882,1.15488,6514,6
strc,-0.00838056,0.0547713,0,0
ghb1,0.019437,0.0543353,0,0
ghb3,-0.000384698,0.0774635,0,0
