group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.227082,1.22043,0,0
kx2,0.718043,1.20339,0,0
kx3,1.02271,0.960994,0,0
rch,-0.0188056,1.35691,6132,5
strc,-0.0118724,0.0414573,0,0
ghb1,0.0140495,0.0706419,0,0
ghb3,0.000566862,0.0950404,0,0
