group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.229517,1.20386,0,0
kx2,0.720911,1.19476,0,0
kx3,1.03204,0.936395,0,0
rch,-0.018954,1.34884,6141,5
strc,-0.0117452,0.0395118,0,0
ghb1,0.0141757,0.0700366,0,0
ghb3,0.000609282,0.0941601,0,0
