group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds
kx1,0.196641,1.30322,0,0
kx2,0.655522,1.21889,0,0
kx3,0.88178,1.10547,0,0
rch,-0.0193415,1.3618,6200,5
strc,-0.014231,0.0589645,0,0
ghb1,0.012692,0.0690461,0,0
ghb3,-4.32624e-05,0.0911992,0,0
