Date,Day,P (mm),Ev (mm)
16/04/2000,107.00,6.4,
17/04/2000,108.00,0,3.3
18/04/2000,109.00,0.2,3.1
19/04/2000,110.00,0,2.9
20/04/2000,111.00,0.2,4.3
21/04/2000,112.00,1.2,3.5
22/04/2000,113.00,3.8,
23/04/2000,114.00,0,
24/04/2000,115.00,0,
25/04/2000,116.00,0,2.3
26/04/2000,117.00,2,4.3
27/04/2000,118.00,0.4,5.2
28/04/2000,119.00,0,5.1
29/04/2000,120.00,1.4,2.4
30/04/2000,121.00,43,6.2
01/05/2000,122.00,8.8,10.9
02/05/2000,123.00,0.2,4.1
03/05/2000,124.00,1,4
04/05/2000,125.00,2.4,4.4
05/05/2000,126.00,3.8,3.7
06/05/2000,127.00,13.4,7
07/05/2000,128.00,1,3.8
08/05/2000,129.00,2.8,3.1
09/05/2000,130.00,13,3.1
10/05/2000,131.00,0.4,3.3
11/05/2000,132.00,0,4.3
12/05/2000,133.00,0,3.9
13/05/2000,134.00,0,4.7
14/05/2000,135.00,0,4.9
15/05/2000,136.00,0,4.4
16/05/2000,137.00,0,9.2
17/05/2000,138.00,0,4.9
18/05/2000,139.00,0,6.4
19/05/2000,140.00,0.2,4.4
20/05/2000,141.00,0,5.3
21/05/2000,142.00,1,3.8
22/05/2000,143.00,0,5.6
23/05/2000,144.00,5.8,5
24/05/2000,145.00,3,5.7
25/05/2000,146.00,0,6.4
26/05/2000,147.00,0,4.4
27/05/2000,148.00,0,6.5
28/05/2000,149.00,0,7.4
29/05/2000,150.00,0,3.1
30/05/2000,151.00,0,11.6
31/05/2000,152.00,0,8.1
01/06/2000,153.00,0,7.3
02/06/2000,154.00,0,6.9
03/06/2000,155.00,0,6.3
04/06/2000,156.00,0,8.6
05/06/2000,157.00,0,8.2
06/06/2000,158.00,0,8.7
07/06/2000,159.00,0,
08/06/2000,160.00,0,10.5
09/06/2000,161.00,0,12.5
10/06/2000,162.00,0,10.5
11/06/2000,163.00,0,8.4
12/06/2000,164.00,0,9.6
13/06/2000,165.00,0,8.4
14/06/2000,166.00,0,8.9
15/06/2000,167.00,0,10.8
16/06/2000,168.00,0,10.2
17/06/2000,169.00,0,7.6
18/06/2000,170.00,0,6.2
19/06/2000,171.00,0,7
20/06/2000,172.00,0,8
21/06/2000,173.00,0,
22/06/2000,174.00,0,
23/06/2000,175.00,0,11.7
24/06/2000,176.00,0,12.9
25/06/2000,177.00,0,9.3
26/06/2000,178.00,0,9.2
27/06/2000,179.00,0.6,11.4
28/06/2000,180.00,0,8.7
29/06/2000,181.00,0,11.2
30/06/2000,182.00,0,9.9
01/07/2000,183.00,0,8.9
02/07/2000,184.00,0,9.4
03/07/2000,185.00,0,8.4
04/07/2000,186.00,0,8.2
05/07/2000,187.00,0,10.5
06/07/2000,188.00,0,7.9
07/07/2000,189.00,0,9
08/07/2000,190.00,0,9
09/07/2000,191.00,0,8
10/07/2000,192.00,0,9.8
11/07/2000,193.00,0,
12/07/2000,194.00,0,
13/07/2000,195.00,0,12.5
14/07/2000,196.00,0,9.3
15/07/2000,197.00,0,12
16/07/2000,198.00,0,10
17/07/2000,199.00,0,4.2
18/07/2000,200.00,0,7.3
19/07/2000,201.00,0,7.1
20/07/2000,202.00,0,8.1
21/07/2000,203.00,0,7.3
22/07/2000,204.00,0,8.3
23/07/2000,205.00,0,7.4
24/07/2000,206.00,0,7.4
25/07/2000,207.00,0,8.3
26/07/2000,208.00,0,6.9
27/07/2000,209.00,0,
28/07/2000,210.00,0,
29/07/2000,211.00,0,9.5
30/07/2000,212.00,0,8.2
31/07/2000,213.00,0,8.4
01/08/2000,214.00,0,7.3
02/08/2000,215.00,0,7
03/08/2000,216.00,0,
04/08/2000,217.00,0,9.4
05/08/2000,218.00,0,8
06/08/2000,219.00,0,8.1
07/08/2000,220.00,0,7.6
08/08/2000,221.00,0,
09/08/2000,222.00,0,7.3
10/08/2000,223.00,0,6.2
11/08/2000,224.00,0,8.9
12/08/2000,225.00,0,7
13/08/2000,226.00,0,7.1
14/08/2000,227.00,0,8
15/08/2000,228.00,0,8.2
16/08/2000,229.00,0,8.5
17/08/2000,230.00,0,7.7
18/08/2000,231.00,0,8
19/08/2000,232.00,0,7.4
20/08/2000,233.00,0,7
21/08/2000,234.00,0,7.9
22/08/2000,235.00,0,
23/08/2000,236.00,0.4,
24/08/2000,237.00,0,
25/08/2000,238.00,0,
26/08/2000,239.00,0,
27/08/2000,240.00,0,
28/08/2000,241.00,0,
29/08/2000,242.00,0,
30/08/2000,243.00,0,
31/08/2000,244.00,0,
01/09/2000,245.00,0,
02/09/2000,246.00,0,7.4
03/09/2000,247.00,0,7.4
04/09/2000,248.00,0,8.6
05/09/2000,249.00,0,6.3
06/09/2000,250.00,0,6.7
07/09/2000,251.00,0,6.5
08/09/2000,252.00,0,6.4
09/09/2000,253.00,0,6.3
10/09/2000,254.00,0,6.3
11/09/2000,255.00,0,4.6
12/09/2000,256.00,0,4.8
13/09/2000,257.00,0,5.2
14/09/2000,258.00,0.2,4.4
15/09/2000,259.00,0,
16/09/2000,260.00,0,5.1
17/09/2000,261.00,0,5
18/09/2000,262.00,7.6,3.2
19/09/2000,263.00,0.2,4.7
20/09/2000,264.00,0,5.3
21/09/2000,265.00,0,6.2
22/09/2000,266.00,0,5.5
23/09/2000,267.00,0,2.8
24/09/2000,268.00,0,4.8
25/09/2000,269.00,0,5
26/09/2000,270.00,0,5.3
27/09/2000,271.00,0,6
28/09/2000,272.00,8.2,2.3
29/09/2000,273.00,0.2,4
30/09/2000,274.00,0,5.2
01/10/2000,275.00,0,2.8
02/10/2000,276.00,0,4.3
03/10/2000,277.00,0,5.4
04/10/2000,278.00,0,5.1
05/10/2000,279.00,0,4.3
06/10/2000,280.00,0,4
07/10/2000,281.00,0.2,3.7
08/10/2000,282.00,0,4
09/10/2000,283.00,0,5.5
10/10/2000,284.00,0,5.6
11/10/2000,285.00,2.2,2.6
12/10/2000,286.00,0.4,4.7
13/10/2000,287.00,0,5.1
14/10/2000,288.00,0,
15/10/2000,289.00,0,
16/10/2000,290.00,0,
17/10/2000,291.00,0,
18/10/2000,292.00,0.2,
19/10/2000,293.00,0,
20/10/2000,294.00,8,1.9
21/10/2000,295.00,0,3.3
22/10/2000,296.00,0,5.2
23/10/2000,297.00,0,
24/10/2000,298.00,0,3.4
25/10/2000,299.00,0,2.4
26/10/2000,300.00,0,2.3
27/10/2000,301.00,0.2,3.2
28/10/2000,302.00,0,3.1
29/10/2000,303.00,0,3.8
30/10/2000,304.00,0,3.3
31/10/2000,305.00,1.8,3.8
01/11/2000,306.00,0,3
02/11/2000,307.00,1.4,0.6
03/11/2000,308.00,0,2
04/11/2000,309.00,0.2,3.2
05/11/2000,310.00,0,2.4
06/11/2000,311.00,0.4,3.7
07/11/2000,312.00,0.4,2.6
08/11/2000,313.00,0,3
09/11/2000,314.00,0,3
10/11/2000,315.00,0,2.8
11/11/2000,316.00,0,2.9
12/11/2000,317.00,0.2,3.2
13/11/2000,318.00,19.2,3.3
14/11/2000,319.00,0,2.8
15/11/2000,320.00,0,3
16/11/2000,321.00,0.8,2.2
17/11/2000,322.00,1,3
18/11/2000,323.00,0,3
19/11/2000,324.00,0.2,0.7
20/11/2000,325.00,2.6,2
21/11/2000,326.00,0,1
22/11/2000,327.00,7.8,0.7
23/11/2000,328.00,7.2,1.9
24/11/2000,329.00,3.4,0.8
25/11/2000,330.00,0.6,1.1
26/11/2000,331.00,1.4,0.5
27/11/2000,332.00,0,2.1
28/11/2000,333.00,0,2.2
29/11/2000,334.00,1.6,2
30/11/2000,335.00,0,1.3
01/12/2000,336.00,6.8,1.8
02/12/2000,337.00,6.2,1.6
03/12/2000,338.00,0.2,1.5
04/12/2000,339.00,0.2,1.7
05/12/2000,340.00,10,0.5
06/12/2000,341.00,13.6,0.2
07/12/2000,342.00,7.4,1.6
08/12/2000,343.00,0.2,3
09/12/2000,344.00,0.2,3.2
10/12/2000,345.00,0.2,2.6
11/12/2000,346.00,0.2,1.6
12/12/2000,347.00,0.2,1.8
13/12/2000,348.00,0.2,1.5
14/12/2000,349.00,0.2,1.9
15/12/2000,350.00,0.2,1.9
16/12/2000,351.00,0,3.8
17/12/2000,352.00,0,4.5
18/12/2000,353.00,0.2,3.1
19/12/2000,354.00,6.8,2.9
20/12/2000,355.00,7.8,2.4
21/12/2000,356.00,77.2,
22/12/2000,357.00,8.6,1.2
23/12/2000,358.00,6.2,5.7
24/12/2000,359.00,23.6,1.8
