point  easting          northing          structure_id     kh               pos_on_slider
1      6051.0023010023  6306.5013065013    1                 3.6362037E-02    7.3432710E-01
2      5037.0012870013  5799.5007995008    1                 7.2294794E-02    4.1585230E-01
3      4198.5004485004  4843.9998439998    1                 5.5712435E-02    5.3062480E-01
4      5056.5013065013  3771.4987714988    1                 4.6809278E-02    2.1473640E-01
5      6246.0024960025  4414.9994149994    1                 3.2839417E-02    0.0000000E+00
6      6558.0028080028  5487.5004875005    1                 6.9519207E-02    2.5876980E-01
 
