ppid	easting	northing	zone	ghbc1	ghbc3
01	0	0	1	    4.3813000E-03	    1.9878600E-02
02	0	250	1	    5.4578000E-03	    2.4855300E-02
03	0	500	1	    6.3975000E-03	    2.9275700E-02
04	0	750	1	    7.0956000E-03	    3.2675700E-02
05	0	1000	1	    7.4813000E-03	    3.4736800E-02
06	0	1250	1	    7.5362000E-03	    3.5373000E-02
07	0	1500	1	    7.3080000E-03	    3.4824200E-02
08	0	1750	1	    6.9110000E-03	    3.3704700E-02
09	0	2000	1	    6.5080000E-03	    3.2914700E-02
10	0	2250	1	    6.2690000E-03	    3.3374200E-02
11	0	2500	1	    6.3058000E-03	    3.5640100E-02
12	0	2750	1	    6.6101000E-03	    3.9576300E-02
13	0	3000	1	    7.0212000E-03	    4.4219100E-02
14	0	3250	1	    7.2477000E-03	    4.7853400E-02
15	0	3500	1	    6.9951000E-03	    4.8649800E-02
16	0	3750	1	    6.1757000E-03	    4.5817200E-02
17	0	4000	1	    5.1281000E-03	    3.9936500E-02
18	0	4250	1	    4.1911000E-03	    3.2396400E-02
19	0	4500	1	    3.3286000E-03	    2.4695500E-02
20	0	4750	1	    2.5102000E-03	    1.7917800E-02
21	0	5000	1	    1.8168000E-03	    1.2592500E-02
22	0	5250	1	    1.2903000E-03	    8.7838000E-03
23	0	5500	1	    9.2660000E-04	    6.2909000E-03
24	0	5750	1	    7.0700000E-04	    4.8202000E-03
25	0	6000	1	    6.1380000E-04	    4.1000000E-03
26	0	6250	1	    6.3080000E-04	    3.9396000E-03
27	0	6500	1	    7.3360000E-04	    4.2426000E-03
28	0	6750	1	    8.9840000E-04	    4.9449000E-03
29	0	7000	1	    1.1118000E-03	    5.9831000E-03
30	0	7250	1	    1.3595000E-03	    7.2966000E-03
31	0	7500	1	    1.6130000E-03	    8.7457000E-03
32	0	7750	1	    1.8392000E-03	    1.0146400E-02
33	0	8000	1	    2.0089000E-03	    1.1318100E-02
34	0	8250	1	    2.1014000E-03	    1.2111400E-02
35	0	8500	1	    2.1069000E-03	    1.2429500E-02
36	0	8750	1	    2.0274000E-03	    1.2237500E-02
37	0	9000	1	    1.8745000E-03	    1.1559300E-02
38	0	9250	1	    1.6657000E-03	    1.0468700E-02
39	0	9500	1	    1.4201000E-03	    9.0709000E-03
40	0	9750	1	    1.1567000E-03	    7.4877000E-03
41	0	10000	1	    8.9430000E-04	    5.8510000E-03
