time,elapsed_seconds,message
11:44:54,5.74e-05,PEST++ performance logger started
11:44:54,0.0003295,starting to process control file
11:44:54,0.0010813,finished processing control file
11:44:54,0.0013278,starting basic model IO error checking
11:44:54,0.0029654,finished basic model IO error checking
11:44:54,0.0017754,initializing
11:44:54,0.0001139,using glm algorithm
11:44:54,3.49e-05,using REDSVD for truncated svd solve
11:44:54,3.34e-05,maxsing: 104
11:44:54,3.14e-05,eigthresh:  5e-07
11:44:54,2.99e-05,initializing localizer
11:44:54,3.08e-05,not using localization
11:44:54,3.46e-05,using lambda multipliers: 
11:44:54,3.09e-05,using lambda scaling factors: 
11:44:54,3.06e-05,acceptable phi factor:  1.05
11:44:54,3.05e-05,lambda increase factor:  10
11:44:54,3.09e-05,lambda decrease factor:  0.75
11:44:54,3.01e-05,max run fail:  1
11:44:54,3.62e-05,sanity_check warnings
11:44:54,3.66e-05,noptmax > 3, this is a lot of iterations for an ensemble method, please consider using fewer iterations for better outcomes
11:44:54,3.08e-05,continuing initialization...
11:44:54,3.26e-05,initializing prior parameter covariance matrix
11:44:54,5.7e-06,initializing parcov
11:44:54,0.0070992,parcov loaded  from unc file param.unc
11:44:54,0.0008641,initializing observation noise covariance matrix
11:44:54,0.0002196,obscov loaded  from observation weights
11:44:54,0.0001864,using reg_factor:  0
11:44:54,0.0001647,drawing parameter realizations:  20
11:44:54,9.7e-05,parameters not grouped by parameter groups, reordering par ensemble
11:44:54,0.0008905,making standard normal draws
11:44:54,7.73e-05,...drawing by group

11:44:54,0.0008282,thread: 0 - min variance for group K: 0.2
11:44:54,1.31e-05,thread: 0 - Randomized Eigen decomposition of full cov for 104 element matrix

11:44:54,0.0044716,draw thread: 0 processed 0 groups
11:44:54,8.19e-05,checking realization for invalid values
11:44:54,2.7e-05,resizing reals matrix
11:44:54,9.6e-06,filling reals matrix and adding mean values
11:44:54,0.0003583,not using prior parameter covariance matrix scaling
11:44:54,0.0001748,drawing observation noise realizations:  20
11:44:54,2.42e-05,making standard normal draws
