iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,base
0,20,15778.9,31269.2,238.897,105652,3236.24,6427.3,3859.1,104767,4161.76,5192.79,16142.2,5372.91,782.727,4584.66,2988.64,2273.6,6322.28,105652,29804.9,4904.32,2486.07,1871.52,4509.42,238.897
1,42,783.325,711.753,137.985,2523.85,382.531,214.38,408.897,687.672,1206.68,1443.26,221.376,1788.96,137.985,1243.82,718.626,197.491,2523.85,1564.74,1726.03,161.896,140.123,435.195,317.989,144.983
2,64,79.1798,31.4741,38.5174,174.684,86.3197,78.8164,65.679,40.7345,62.8506,57.7887,45.0091,53.9523,59.893,88.0078,174.684,73.6869,86.6526,78.7199,73.6058,83.8856,113.687,115.981,105.123,38.5174
3,86,42.2992,12.6139,25.9653,68.2984,47.3412,33.8707,45.414,27.7541,45.4728,30.1512,25.9653,38.2534,44.1986,28.5102,35.7346,40.3754,39.4554,68.2984,51.1471,49.6574,65.5318,62.402,40.2618,26.1887
4,108,34.5643,12.1221,20.2657,63.8746,35.3601,28.2838,39.1805,24.8676,40.6534,20.2657,22.7473,29.5637,32.1479,21.4614,22.8281,35.9792,24.8798,63.8746,45.7854,40.076,56.6735,48.3052,35.0191,23.3346
5,130,32.3332,11.8112,18.1199,61.3424,30.9619,29.5253,36.4135,24.0808,38.2979,18.1199,21.8041,28.4313,26.3892,19.5318,20.3048,30.4891,23.1128,61.3424,43.4793,37.6693,53.5504,46.3671,35.0197,21.7728
6,152,31.0491,11.617,16.9694,59.5764,28.4239,30.8729,34.9599,23.5381,36.8327,16.9694,19.3658,27.7021,23.4735,18.9125,18.9173,31.0064,22.4884,59.5764,41.8266,35.9881,51.5653,44.9585,32.9711,20.6324
7,174,29.9135,11.4695,15.6845,58.5555,27.4359,31.2199,34.9127,23.0701,35.5886,15.6845,17.8415,26.8074,21.926,18.4185,17.8759,28.8821,22.128,58.5555,40.4414,34.2722,50.5392,41.9461,31.0802,19.6443
