iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,base
0,80,17637.2,36549.3,302.316,194592,302.316,553.825,26327.2,1439.51,15496.5,1500.78,11753.3,194592,7683.09,8961.92,29532.3,115728,7658.85,115288,784.764,844.076,6323.38,2595.69,47859.3,2914.73,2292.02,8109.71,6080.53,8641.26,28936.8,2735.85,2282.37,713.683,2452.94,9190.03,83084.1,1328.48,56029.3,16056.7,5869.5,3426.68,550.96,1880.14,7214.31,4783.17,6223.01,9132.48,1329.63,7029.11,4788.61,1722.85,833.333,3286.49,9644.55,4657.79,11334.5,124935,99291.4,3058.79,5401.23,3595.11,150213,3296.33,3059.71,6271.06,888.375,3267.84,1323.25,26680.2,2501.41,596.533,8859.83,7939.79,400.956,4534.03,7550.52,7098.98,1653.2,2470.28,10268.8,9774.12,3634.67,1237.07,911.009,483.449
1,200,1318.09,1516.69,107.992,6175.76,307.684,349.541,940.957,536.237,469.335,107.992,401.228,6175.76,392.553,1062.33,570.85,2178.17,208.159,4211.81,247.656,439.247,2968.15,1138.86,858.87,1598.91,449.174,275.84,3094.44,4832.58,973.246,1029.18,449.016,722.334,518.314,1022.53,4198.7,583.662,2167.37,1153.63,373.141,894.132,210.851,358.402,128.719,1850.1,332.702,973.856,506.23,587.015,1735.77,1142.38,325.471,454.288,6021.48,1374.21,1165.79,4531.55,5160.21,317.183,2120.5,452.447,3932.56,793.999,453.178,383.114,457.91,742.276,164.27,954.969,1465.23,254.747,5195.51,365.405,442.817,966.876,3783.42,3831.25,569.408,367.032,728.765,393.356,490,424.202,495.754,140
2,320,305.462,413.4,18.484,2302.27,18.484,194.932,188.711,196.156,192.105,34.279,167.704,2302.27,130.899,175.577,196.907,146.54,110.167,820.917,128.618,162.965,412.499,515.809,99.8516,205.809,170.059,99.5658,146.791,1084.61,370.225,135.617,117.873,155.187,235.309,492.71,591.078,233.735,144.768,92.8935,120.577,161.634,108.279,227.405,47.2215,184.151,114.063,137.519,140.49,135.603,119.772,75.4254,224.534,149.033,2302.13,61.9002,239.572,1081.98,1329.58,168.531,121.957,120.031,361.167,111.864,240.213,116.41,190.018,114.9,82.3299,299.318,495.794,125.016,1223.51,135.706,116.724,140.683,763.059,421.783,360.442,146.886,290.56,163.273,271.11,200.658,171.279,51.2796
3,440,72.7767,86.0485,6.35063,480.569,6.35063,47.7262,26.1803,81.9376,101.188,17.8466,51.679,419.043,43.4146,49.6634,38.1211,95.9632,23.0631,150.555,48.0844,23.0253,61.199,107.274,30.8451,119.531,38.6751,41.4475,34.381,168.359,95.6251,26.7333,28.9619,21.6147,162.59,275.816,84.9132,62.448,29.2014,33.0486,20.0665,39.074,58.313,28.3246,14.0456,18.8315,35.6756,36.3833,28.4504,29.9231,36.2461,41.5058,48.5917,21.7033,480.569,18.1267,84.4115,345.429,220.666,26.4742,48.0035,50.7396,22.3955,24.1167,57.3341,19.0912,106.9,24.399,21.3914,70.7713,224.858,45.9234,185.516,34.8946,21.4548,24.2567,97.1806,61.5388,50.7892,66.5188,49.1838,34.0452,106.793,37.7678,42.7281,14.2243
4,560,10.6152,8.50163,1.0776,46.127,1.0776,13.7134,12.0215,15.4326,8.11233,2.43933,9.63556,16.3646,4.33438,16.307,20.5875,4.74587,4.28132,10.2801,8.07122,7.14894,46.127,14.1112,7.22939,10.6327,19.8688,3.39454,14.8779,20.2558,10.1362,4.41269,12.1732,10.118,4.28605,4.83204,20.1149,5.59118,16.0929,5.26283,6.60832,9.93384,7.09536,9.00704,1.39682,4.18797,8.00382,8.44322,3.49118,7.6284,7.89667,2.19441,13.309,6.51461,18.1819,5.20615,10.8251,29.1514,11.8847,8.08667,8.96498,6.84036,5.48317,7.11601,3.53922,3.04789,14.2194,3.29606,1.91385,16.2968,10.4031,8.69125,46.0237,5.22061,11.7403,2.43003,38.4149,9.26397,12.8864,12.5402,13.0005,6.40612,17.8371,7.17628,10.2884,3.05903
5,680,2.28944,1.61038,0.22717,11.14,0.22717,3.1184,1.89124,2.96734,1.70643,0.519889,3.06559,1.72509,0.644507,4.14769,2.23237,1.46639,1.04594,2.52151,1.67263,1.27596,4.37144,5.03583,2.1429,1.73256,3.81815,1.2606,3.63089,1.4281,2.86547,1.30069,3.43976,1.77687,1.15173,1.61307,4.58315,1.43585,2.0015,1.42314,1.26356,1.22863,2.55768,2.0085,0.46789,1.52564,3.10544,2.49867,0.465415,3.20164,1.18475,1.17206,4.38321,1.95533,3.07296,1.44615,1.47731,2.61153,2.02088,2.12682,2.37008,0.830506,0.487821,2.9802,1.56435,0.889786,4.68188,0.594451,0.531057,2.25818,3.40503,3.57313,11.14,2.23579,1.41554,0.946865,4.65629,2.98373,2.33273,5.22029,1.50477,2.022,5.78883,1.10229,1.79029,0.83551
