iteration,total_runs,obs_realization,par_realization,heads,time,distance
0,20,0,0,3021.16,0,0
0,20,1,1,6375.21,0,0
0,20,2,2,3690.71,0,0
0,20,3,3,105710,0,0
0,20,4,4,4181.71,0,0
0,20,5,5,5027.66,0,0
0,20,6,6,16511,0,0
0,20,7,7,5361.09,0,0
0,20,8,8,661.118,0,0
0,20,9,9,4561.69,0,0
0,20,10,10,2862.91,0,0
0,20,11,11,2314.92,0,0
0,20,12,12,6332.33,0,0
0,20,13,13,105703,0,0
0,20,14,14,29756.7,0,0
0,20,15,15,4944.75,0,0
0,20,16,16,2616.28,0,0
0,20,17,17,1962.93,0,0
0,20,18,18,4549.97,0,0
0,20,base,base,238.897,0,0
1,42,0,0,305.215,0,0
1,42,1,1,237.371,0,0
1,42,2,2,337.417,0,0
1,42,3,3,610.199,0,0
1,42,4,4,1212.08,0,0
1,42,5,5,1372.06,0,0
1,42,6,6,250.587,0,0
1,42,7,7,1779.79,0,0
1,42,8,8,93.8796,0,0
1,42,9,9,1242.78,0,0
1,42,10,10,649.975,0,0
1,42,11,11,167.48,0,0
1,42,12,12,2528.54,0,0
1,42,13,13,1550.83,0,0
1,42,14,14,1709.41,0,0
1,42,15,15,146.381,0,0
1,42,16,16,102.866,0,0
1,42,17,17,464.276,0,0
1,42,18,18,308.89,0,0
1,42,base,base,144.983,0,0
2,64,0,0,54.1704,0,0
2,64,1,1,78.6049,0,0
2,64,2,2,40.1709,0,0
2,64,3,3,67.7657,0,0
2,64,4,4,50.731,0,0
2,64,5,5,80.5265,0,0
2,64,6,6,56.6313,0,0
2,64,7,7,54.1417,0,0
2,64,8,8,49.9967,0,0
2,64,9,9,101.343,0,0
2,64,10,10,185.594,0,0
2,64,11,11,64.8587,0,0
2,64,12,12,78.8619,0,0
2,64,13,13,43.2875,0,0
2,64,14,14,48.6452,0,0
2,64,15,15,85.1897,0,0
2,64,16,16,110.055,0,0
2,64,17,17,90.4944,0,0
2,64,18,18,96.6053,0,0
2,64,base,base,38.5174,0,0
3,86,0,0,32.5363,0,0
3,86,1,1,36.3176,0,0
3,86,2,2,31.5906,0,0
3,86,3,3,40.1384,0,0
3,86,4,4,39.3375,0,0
3,86,5,5,51.9119,0,0
3,86,6,6,36.6549,0,0
3,86,7,7,41.5758,0,0
3,86,8,8,58.1364,0,0
3,86,9,9,36.6519,0,0
3,86,10,10,44.153,0,0
3,86,11,11,32.0757,0,0
3,86,12,12,42.1122,0,0
3,86,13,13,32.9159,0,0
3,86,14,14,29.8656,0,0
3,86,15,15,48.0363,0,0
3,86,16,16,44.6172,0,0
3,86,17,17,38.5779,0,0
3,86,18,18,31.3549,0,0
3,86,base,base,26.1887,0,0
4,108,0,0,31.0963,0,0
4,108,1,1,35.6863,0,0
4,108,2,2,29.1942,0,0
4,108,3,3,35.8542,0,0
4,108,4,4,36.1708,0,0
4,108,5,5,35.6531,0,0
4,108,6,6,33.8693,0,0
4,108,7,7,31.3139,0,0
4,108,8,8,42.82,0,0
4,108,9,9,30.5037,0,0
4,108,10,10,30.8839,0,0
4,108,11,11,28.3053,0,0
4,108,12,12,30.5237,0,0
4,108,13,13,31.8345,0,0
4,108,14,14,25.8402,0,0
4,108,15,15,35.0894,0,0
4,108,16,16,32.083,0,0
4,108,17,17,33.3562,0,0
4,108,18,18,27.9269,0,0
4,108,base,base,23.3346,0,0
5,130,0,0,32.1618,0,0
5,130,1,1,40.2124,0,0
5,130,2,2,29.1799,0,0
5,130,3,3,33.2129,0,0
5,130,4,4,33.9428,0,0
5,130,5,5,30.8887,0,0
5,130,6,6,32.2921,0,0
5,130,7,7,29.8557,0,0
5,130,8,8,35.6124,0,0
5,130,9,9,29.2086,0,0
5,130,10,10,29.2301,0,0
5,130,11,11,24.3469,0,0
5,130,12,12,29.9347,0,0
5,130,13,13,31.821,0,0
5,130,14,14,24.4252,0,0
5,130,15,15,31.8186,0,0
5,130,16,16,28.0105,0,0
5,130,17,17,35.6231,0,0
5,130,18,18,28.5086,0,0
5,130,base,base,21.7728,0,0
6,152,0,0,34.2923,0,0
6,152,1,1,42.7815,0,0
6,152,2,2,30.1225,0,0
6,152,3,3,31.4533,0,0
6,152,4,4,32.7227,0,0
6,152,5,5,28.8308,0,0
6,152,6,6,31.014,0,0
6,152,7,7,28.874,0,0
6,152,8,8,31.0169,0,0
6,152,9,9,29.3388,0,0
6,152,10,10,28.1036,0,0
6,152,11,11,24.2752,0,0
6,152,12,12,29.4243,0,0
6,152,13,13,31.9478,0,0
6,152,14,14,23.395,0,0
6,152,15,15,29.6466,0,0
6,152,16,16,25.9316,0,0
6,152,17,17,35.7915,0,0
6,152,18,18,27.4541,0,0
6,152,base,base,20.6324,0,0
7,174,0,0,37.4728,0,0
7,174,1,1,43.5209,0,0
7,174,2,2,32.2656,0,0
7,174,3,3,30.2147,0,0
7,174,4,4,31.7213,0,0
7,174,5,5,27.8491,0,0
7,174,6,6,30.6615,0,0
7,174,7,7,27.9271,0,0
7,174,8,8,28.7732,0,0
7,174,9,9,29.7751,0,0
7,174,10,10,26.906,0,0
7,174,11,11,22.8957,0,0
7,174,12,12,28.9215,0,0
7,174,13,13,32.0219,0,0
7,174,14,14,22.4416,0,0
7,174,15,15,28.0233,0,0
7,174,16,16,24.8444,0,0
7,174,17,17,32.4992,0,0
7,174,18,18,26.1602,0,0
7,174,base,base,19.6443,0,0
