real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
0,-0.0579959,0.466984,0.38372,0.837222,-0.632697,0.835815,0.308382,0.286208,-1.51668,-0.0693322,-1.97897,-0.663398,-0.114315,0.51059
1,-0.0260039,1.40008,-0.3779,-0.182863,0.903336,-0.128465,-0.681084,-0.543149,0.258941,-1.06772,1.28885,0.560575,0.862082,-0.357267
2,0.219637,-0.263041,1.6156,0.394791,-0.825254,0.741958,0.721749,-0.372295,-0.445666,-0.45862,1.02605,2.15219,-1.25432,0.00351907
3,-0.151865,1.15777,0.252871,0.706946,-1.36492,0.500715,-0.862586,-0.15716,-1.46274,0.545895,2.06583,-0.296739,2.10084,1.65765
4,-0.0995235,0.667847,1.6215,-0.771126,-1.26945,-0.637605,0.580042,0.375192,-0.3292,-0.493202,0.881992,-0.79301,-0.158437,0.701562
5,-0.216304,0.89689,1.26653,0.130521,-1.15043,-0.419161,0.32193,0.327402,-0.0440347,-1.05072,-0.303863,-0.641159,0.89701,1.04502
6,0.124675,0.612896,-0.476964,-0.522261,-1.43458,2.32656,-0.205963,0.822285,-0.289885,0.349279,-0.548563,1.34494,0.435087,0.251115
7,1.02774,1.32505,1.12571,0.223359,-0.0551493,-0.305869,-1.43065,-0.28304,0.193949,0.194155,0.0112542,-0.532852,-0.929961,0.0215587
8,0.145564,0.883826,-0.971559,-0.757661,0.0836164,0.520691,-0.719137,1.39544,-0.0814243,0.68342,0.929108,-0.591221,-1.71596,0.0977399
9,0.182413,-0.0802382,-0.0252593,0.779905,0.847523,2.65873,-0.787756,-0.152246,1.03818,-0.813204,-0.244138,-1.16293,1.97886,1.44749
10,0.0477681,0.666603,0.204134,0.577417,0.0374124,-1.49022,0.340188,-0.705489,0.360802,-2.00214,-0.667829,0.0862193,0.83638,1.13272
11,0.308193,0.882046,0.384267,0.827183,0.218198,-1.45605,0.133757,0.750958,1.48478,0.315425,1.64101,-1.46375,0.113719,0.407907
12,0.0171358,-1.42012,0.805251,2.59729,0.0133612,1.27793,1.18452,0.317231,1.15382,1.25804,0.0921854,-0.734149,0.4458,1.88034
13,0.70364,0.820222,0.372437,0.73751,-0.351915,0.648469,-0.746317,0.856654,-0.168955,0.336531,0.456882,2.20229,2.22364,0.385664
14,-0.0779325,0.961938,0.341302,-0.0890618,-0.970977,-0.11987,-0.99907,0.770413,-0.635498,0.666777,1.20732,0.26297,-1.22714,-1.67935
15,0.129958,-0.134137,0.0974787,0.446136,-0.558591,1.86806,0.0113394,-0.123412,-0.711211,0.190632,0.533786,0.881669,-0.992038,0.709874
16,0.597288,-0.0530202,1.50295,0.477267,0.29354,-0.948761,-0.48131,-1.18251,1.62333,2.05347,-1.1869,-0.692371,-0.132532,-0.148201
17,0.454322,-1.28266,-1.94809,2.01079,0.785219,0.876613,-0.635899,-0.62548,-0.189065,-0.665625,0.0434741,0.00576876,-1.14212,-1.62595
18,0.245228,0.870158,-0.177064,-0.136282,0.0321426,0.196783,0.611513,1.04771,0.241655,0.0903969,0.937024,-0.611623,0.930391,-0.249358
19,0.0557044,0.9386,0.45514,0.565768,0.0074352,1.65521,-1.17692,-0.508727,-2.36829,0.518329,-1.09557,1.78723,0.765367,1.33206
20,-0.0841403,0.687089,1.1732,0.444517,-0.494698,0.251791,-0.752259,0.203956,-1.57147,-1.62734,0.877018,-0.754273,0.403264,0.453694
