iteration,_is_super,_lambda,_scale_factor,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
1,1,0.1,1,1.00367,1.00431,1.00587,1.00782,1.00549,0.998605,0.991303,0.980033,1.19509,1.00861,1.01456,1.31269,1.03143,0.997625,0.942679,0.851235,0.96936,0.983644,1.01095,1.16281,1.15667,1.00284,0.802305,0.839696,0.964434,1.08906,0.996767,0.934803,0.971079,1.0246,1.25267,1.45871,0.929585,0.890784,1.01528,0.96059,1.03507,1.01433,1.28157,1.49496,0.954476,1.11588,1.05567,1.12292,1.19432,1.12121,1.22472,1.45782,1.19588,1.179,1.21877,2.52935,2.79011,1.30684,1.69273,2.07991,0.976603,1.09373,1.29059,4.22622,4.41232,1.4647,1.72045,1.8421,0.875317,0.831464,1.21847,4.9948,5.08252,1.27866,1.64496,1.46736,2.20315,1.66464,1.03652,0.420751,0.411489,1.00722,1.29721,1.5655,1.89966,1.72656,0.980341,0.548283,0.565486,0.92639,1.02546,1.26121,1.18652,1.15923,0.971811,0.862992,0.845656,0.915686,0.874136,0.977121,0.812556,0.686356,0.657539,0.337581,0.321842,0.624717,0.58038,0.62709
1,0,0.1,0.75,1.0026,1.00324,1.0044,1.00591,1.00412,0.998953,0.993465,0.984456,1.19211,1.00586,1.01102,1.30411,1.02558,0.998169,0.950421,0.860859,0.96713,0.980993,1.00827,1.15236,1.14626,1.00206,0.810769,0.849263,0.967825,1.092,0.998741,0.942801,0.977546,1.01936,1.23055,1.42659,0.934439,0.893215,1.01629,0.971068,1.04278,1.00468,1.26193,1.46166,0.958303,1.11234,1.04055,1.1213,1.18727,1.09124,1.20326,1.4239,1.18667,1.15347,1.16469,2.30915,2.53279,1.22669,1.60329,1.96517,0.988055,1.08564,1.21391,3.68448,3.82605,1.35013,1.63794,1.75589,0.894563,0.84146,1.16187,4.29502,4.35806,1.20485,1.60125,1.42563,2.04828,1.56612,1.02771,0.459333,0.449998,1.00721,1.26393,1.50701,1.79113,1.66157,0.987185,0.584396,0.605566,0.948214,1.02418,1.24073,1.14948,1.14407,0.979211,0.88063,0.866312,0.934751,0.885023,0.976469,0.789236,0.678674,0.667313,0.352981,0.337555,0.639146,0.578102,0.615057
1,1,1,1,1.00456,1.00466,1.00548,1.00673,1.00442,0.998322,0.991782,0.981395,1.19804,1.01003,1.01362,1.30723,1.02719,0.996909,0.94454,0.854254,0.973058,0.986299,1.01074,1.1559,1.14974,1.00267,0.805003,0.843836,0.966041,1.08999,0.998726,0.940802,0.977131,1.02597,1.25165,1.45893,0.933764,0.893527,1.01733,0.963911,1.03833,1.01541,1.28347,1.49905,0.9612,1.12063,1.05457,1.11958,1.19019,1.11855,1.22795,1.46511,1.19854,1.17642,1.21062,2.49551,2.75095,1.2955,1.68261,2.07517,0.987215,1.09905,1.2771,4.09773,4.27592,1.44599,1.71993,1.85035,0.88876,0.841531,1.2094,4.79731,4.88018,1.26755,1.65688,1.48151,2.15895,1.63767,1.03952,0.435899,0.426443,1.01157,1.28277,1.54205,1.87028,1.71117,0.986494,0.562084,0.580171,0.934453,1.02222,1.24898,1.17841,1.15841,0.976837,0.870521,0.853469,0.922118,0.877112,0.974245,0.803421,0.6831,0.661596,0.343333,0.327386,0.628936,0.577511,0.619363
1,0,1,0.75,1.00327,1.0035,1.00411,1.0051,1.00332,0.998741,0.993825,0.985482,1.19432,1.00692,1.01032,1.30004,1.02242,0.997632,0.951828,0.863148,0.969896,0.982977,1.00812,1.14722,1.14111,1.00193,0.812813,0.852401,0.969034,1.0927,1.00021,0.947335,0.982111,1.02039,1.22979,1.42675,0.937588,0.895278,1.01782,0.973586,1.04524,1.00548,1.26333,1.46466,0.963362,1.11589,1.03973,1.1188,1.18419,1.0893,1.20564,1.42923,1.18865,1.15157,1.15884,2.28594,2.50608,1.2187,1.59609,1.9618,0.996097,1.0896,1.20439,3.60013,3.737,1.33717,1.63756,1.76178,0.904848,0.84909,1.15537,4.16702,4.22728,1.19699,1.60994,1.43592,2.01738,1.54705,1.02994,0.471681,0.462208,1.01047,1.25337,1.49005,1.77031,1.65045,0.991827,0.595394,0.617322,0.954397,1.02174,1.23169,1.14358,1.14346,0.983007,0.886385,0.872308,0.939672,0.887282,0.974313,0.782572,0.676258,0.670398,0.357482,0.341906,0.64238,0.575957,0.609364
1,1,10,1,1.00626,1.00505,1.0039,1.00307,1.00108,0.997852,0.994,0.986926,1.2038,1.01217,1.01013,1.28901,1.01344,0.995857,0.952579,0.86639,0.982264,0.992752,1.01188,1.13473,1.12865,1.00494,0.816496,0.8603,0.979538,1.10232,1.01239,0.971111,1.0074,1.03551,1.24989,1.45999,0.954812,0.908654,1.03292,0.992591,1.06676,1.02406,1.29101,1.5119,0.989256,1.138,1.05167,1.12604,1.19283,1.10487,1.23464,1.485,1.22208,1.17036,1.16428,2.27089,2.49088,1.22658,1.62404,2.03558,1.04589,1.12651,1.20236,3.44414,3.57759,1.3366,1.69426,1.86357,0.957621,0.890157,1.15847,3.89336,3.95112,1.20172,1.68989,1.52876,1.95733,1.51138,1.05134,0.516486,0.506297,1.0326,1.2262,1.45043,1.7329,1.63693,1.01664,0.635349,0.659092,0.979151,1.01688,1.20842,1.13893,1.15329,1.00184,0.910741,0.896116,0.95785,0.897797,0.970601,0.762801,0.668858,0.681235,0.371244,0.354584,0.650442,0.564987,0.586194
1,0,10,0.75,1.00454,1.00379,1.00292,1.00236,1.00081,0.998388,0.995492,0.989645,1.19862,1.00852,1.0077,1.28643,1.01214,0.996842,0.957898,0.872328,0.976769,0.987797,1.00897,1.13142,1.12537,1.00363,0.821501,0.864844,0.97917,1.10195,1.01046,0.970134,1.00484,1.02749,1.2285,1.42752,0.953395,0.906621,1.0295,0.995231,1.06664,1.0119,1.26889,1.47406,0.984375,1.12883,1.03759,1.12363,1.18616,1.07929,1.21056,1.44376,1.20611,1.14712,1.1254,2.12981,2.3262,1.16974,1.55424,1.93367,1.04017,1.10995,1.15112,3.16026,3.26922,1.26056,1.6192,1.77121,0.956935,0.885627,1.11869,3.56304,3.60807,1.15006,1.63394,1.47013,1.87436,1.45668,1.03871,0.535676,0.525709,1.02619,1.21168,1.42315,1.67186,1.59644,1.01447,0.652699,0.679289,0.988435,1.01774,1.20157,1.11473,1.13967,1.00182,0.916926,0.904799,0.96685,0.902929,0.971579,0.752706,0.665656,0.685269,0.379064,0.362995,0.658785,0.566564,0.584722
1,1,100,1,1.00196,1.00193,1.0015,1.00086,1.00003,0.999404,0.99803,0.994541,1.19036,1.00254,1.00508,1.27912,1.00761,0.99968,0.966021,0.882796,0.972471,0.983751,1.01299,1.12659,1.12073,1.01056,0.832468,0.878391,1.00684,1.131,1.03168,1.00193,1.03553,1.04044,1.22955,1.42656,0.982484,0.930348,1.05601,1.03938,1.10929,1.02502,1.27447,1.47539,1.00976,1.14571,1.04475,1.16045,1.21798,1.06953,1.20812,1.43829,1.23219,1.14799,1.0888,1.93105,2.09289,1.10415,1.48425,1.85151,1.0847,1.1268,1.09195,2.72591,2.79849,1.16244,1.54864,1.70623,1.00632,0.917023,1.07876,3.04319,3.06946,1.0908,1.60186,1.44808,1.76267,1.38424,1.04826,0.60374,0.593927,1.04806,1.20791,1.41137,1.59555,1.55618,1.04278,0.717531,0.751539,1.03954,1.04483,1.22363,1.09583,1.14189,1.02812,0.958627,0.950862,1.00997,0.938091,1.00219,0.741467,0.667888,0.707694,0.403051,0.387277,0.685791,0.569919,0.580735
1,0,100,0.75,1.00132,1.00145,1.00113,1.0007,1.00003,0.999553,0.998517,0.995367,1.18857,1.00131,1.00393,1.27902,1.00776,0.999711,0.968017,0.884688,0.969456,0.981072,1.0098,1.12533,1.11944,1.00784,0.833524,0.878449,0.999566,1.12339,1.02486,0.993136,1.02581,1.03115,1.21347,1.40294,0.974044,0.922807,1.04671,1.03021,1.09837,1.0126,1.25668,1.44729,0.99964,1.13457,1.03246,1.14929,1.20486,1.05329,1.19101,1.40956,1.21359,1.13064,1.07023,1.88599,2.04147,1.08104,1.45278,1.80099,1.069,1.11017,1.0709,2.65183,2.71921,1.13525,1.51366,1.65783,0.993207,0.905599,1.06045,2.96192,2.98559,1.06949,1.56968,1.41155,1.73274,1.36378,1.03643,0.602208,0.592573,1.03769,1.1981,1.3943,1.57146,1.53701,1.03398,0.715046,0.749564,1.03381,1.03865,1.21289,1.08293,1.13121,1.02146,0.952852,0.945948,1.00605,0.933156,0.9952,0.736861,0.664932,0.705135,0.40317,0.387818,0.685458,0.570269,0.580633
1,1,1000,1,0.999586,1.00022,1.00028,1.00034,1.00007,1.00004,0.999747,0.997467,1.18347,0.997837,1.00158,1.2785,1.00797,1.00038,0.97268,0.889395,0.962845,0.975196,1.00489,1.12338,1.11744,1.0042,0.836862,0.880252,0.991831,1.1153,1.01623,0.981748,1.01256,1.01674,1.18582,1.36196,0.964241,0.913775,1.03485,1.02002,1.08476,0.993028,1.22646,1.39863,0.98606,1.11858,1.01404,1.13595,1.18739,1.0256,1.16132,1.35912,1.18692,1.10377,1.03811,1.79826,1.94006,1.03777,1.39416,1.70848,1.04746,1.08489,1.03357,2.50429,2.55987,1.08348,1.44711,1.56854,0.976991,0.89031,1.03078,2.80327,2.8209,1.03243,1.51095,1.34787,1.69216,1.33615,1.02449,0.609508,0.600176,1.02972,1.19482,1.38493,1.54139,1.5152,1.0315,0.722404,0.758986,1.0397,1.0415,1.21516,1.07239,1.1239,1.02494,0.956558,0.951751,1.01639,0.937143,1.00236,0.751785,0.679565,0.720098,0.416462,0.401761,0.705242,0.5893,0.602962
1,0,1000,0.75,0.99954,1.00017,1.00021,1.00031,1.00006,1.00003,0.999805,0.997562,1.18341,0.997788,1.0013,1.27856,1.00803,1.00023,0.973017,0.889643,0.96225,0.974667,1.00374,1.12293,1.11698,1.00308,0.836821,0.879843,0.988372,1.11167,1.01333,0.978093,1.0087,1.01349,1.18096,1.35502,0.960448,0.910451,1.03094,1.01579,1.0801,0.988809,1.22101,1.39043,0.981989,1.11436,1.00961,1.13104,1.1821,1.02068,1.15624,1.35096,1.17999,1.09781,1.03264,1.78786,1.92861,1.03191,1.38613,1.69559,1.04135,1.07905,1.02767,2.48843,2.5434,1.07691,1.43861,1.55644,0.971415,0.885742,1.02487,2.785,2.80237,1.02627,1.50237,1.33764,1.6805,1.32809,1.01875,0.606517,0.597243,1.02404,1.18835,1.37467,1.53128,1.50655,1.02558,0.718685,0.755128,1.03393,1.03616,1.20659,1.06552,1.11782,1.01909,0.951309,0.946611,1.01084,0.932448,0.995322,0.744538,0.673632,0.714385,0.41319,0.398646,0.699988,0.584753,0.597221
