real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
33,-0.13614,1.4948,0.763889,-0.967853,-0.290767,0.171414,0.290073,0.481203,-0.217473,-0.791461,-1.59428,-0.643687,-1.49651,0.0269103
34,-0.15312,1.50197,0.102468,-0.252296,-0.157121,-0.274411,0.10704,1.08941,-0.109751,-0.0451349,-0.765289,-1.36283,-0.91326,0.67483
35,-0.229062,0.342066,0.0768924,2.34037,-0.65774,-0.491653,0.605997,1.15247,-0.204399,0.341435,-0.67761,-1.99955,1.42678,-0.02762
36,-0.175513,0.308888,0.966371,0.979869,-0.527197,0.0770292,0.0215152,0.063614,0.39364,-0.236819,-1.12054,-0.659142,-0.883031,-0.3633
37,-0.174548,0.805091,0.50015,0.713187,-0.492988,-0.0189635,0.622823,0.818452,-0.114394,-0.072154,-0.778297,-0.990819,-0.539168,0.936633
38,-0.173949,1.17881,0.871009,-0.303246,-0.610396,0.115198,-0.352476,0.427065,-0.226568,-0.306705,-0.974439,-0.00520927,-0.1772,0.65596
39,-0.169152,1.08167,0.774937,0.215583,-0.239894,-0.265329,0.165161,0.217695,-0.350866,-0.585342,-0.963565,-1.50481,-0.150805,0.557537
40,-0.178958,0.442754,1.81998,0.315677,-1.03876,0.0742051,-0.0582142,-0.283253,-0.122171,-0.763548,-1.71793,-0.32023,-0.222319,-0.106624
41,-0.202518,1.12492,-0.210118,1.03077,-0.388296,-0.399016,-0.335192,1.43915,-0.111347,-0.0940891,0.0235978,-0.948915,-0.0588365,0.472242
42,-0.17516,1.84618,0.436332,-0.858554,-0.483336,-0.0171019,-0.0697638,0.774758,-0.133739,-0.508791,-1.50305,-0.889148,-0.479936,0.393295
43,-0.156521,1.5196,0.212928,-0.286122,-0.376365,-0.0822059,-0.272461,1.0728,0.0396111,-0.465514,-0.866779,-1.23261,-0.436596,0.028784
44,-0.189238,0.35795,1.32476,0.877419,-0.853873,-0.00510641,0.198782,-0.14611,0.00735733,-0.483246,-1.01151,-0.829133,-0.262036,0.17089
45,-0.133967,1.53029,0.243023,-0.388576,-0.306229,-0.147692,-0.407179,1.01299,-0.0574684,-0.34987,-0.285214,-1.00755,-0.859997,0.593133
46,-0.19002,0.773414,1.0085,0.595706,-0.564456,0.0222558,0.330058,-0.0173904,0.074976,-0.381894,-1.31688,-0.816846,-0.524233,-0.107622
47,-0.246061,0.196303,0.59732,1.92472,-1.10869,-0.340928,-0.610361,0.555654,0.125954,-0.00332206,-0.744328,-1.21371,0.620763,-0.181532
48,-0.17158,1.19114,0.777673,0.253638,-0.601013,-0.140908,0.05759,0.47221,-0.0622719,-0.362965,-0.79541,-1.00888,-0.758692,-0.0367737
49,-0.172198,1.41246,0.162664,0.00467375,-0.113283,-0.203209,-0.292686,0.923239,0.108261,-0.23001,-0.79471,-0.80481,0.010307,-0.0962323
50,-0.169634,1.25482,0.436255,0.0442854,-0.554585,-0.0513025,-0.00686588,1.04907,-0.0355593,-0.759721,-1.20062,-1.40916,-0.112182,-0.0779956
51,-0.182406,0.737268,0.942145,0.489024,-0.583761,0.133805,0.681981,0.33934,-0.359144,-0.385175,-1.09309,-0.597856,-0.693268,0.010664
52,-0.170843,1.33099,0.127124,0.471508,-0.358568,-0.0411489,0.855375,0.765077,-0.40567,0.0243676,-0.878,-0.870833,-0.48584,0.40349
53,-0.185689,0.351357,1.71603,0.605095,-1.09668,0.165895,-0.0721893,-0.385588,-0.218885,-0.478653,-1.46371,-0.219596,-0.816131,0.0477079
54,-0.185034,1.40966,1.17836,-0.478221,-0.788138,-0.0304189,0.36808,0.317913,-0.519327,-0.736628,-1.67558,-0.646666,-0.828554,1.16153
55,-0.182418,1.22826,0.0992439,0.442129,-0.543229,0.050133,-0.0511087,1.34481,0.0415616,-0.447236,-0.88214,-1.35886,0.042299,-0.0100176
56,-0.198906,0.790215,0.699347,0.805437,-0.977365,0.0606768,-0.471493,0.5835,-0.0306324,-0.636001,-0.896451,-1.02076,-0.0155659,0.0896267
57,-0.141104,0.789027,0.676605,0.38059,-0.553071,0.027606,0.383902,0.979658,-0.341362,-0.382905,-0.747727,-0.78139,-0.312354,0.477943
58,-0.164204,1.05682,-0.312886,0.936838,-0.336871,0.119749,0.850478,1.41899,0.141772,0.442116,-0.891224,-1.38327,0.0186184,0.0989297
59,-0.20221,1.42158,0.550586,0.0960263,-0.394307,-0.50138,0.344673,0.691661,-0.202378,-0.396957,-1.03095,-0.932108,-0.298867,0.37685
60,-0.174125,0.989087,0.735743,0.402849,-0.527976,0.0312627,0.803706,0.672422,-0.202267,-0.358592,-1.38031,-0.451457,-0.276055,0.35763
61,-0.184501,0.656083,0.603058,1.0546,-0.6615,-0.16994,0.411787,0.452669,-0.0665825,-0.572522,-0.860753,-1.24091,-0.685738,-0.319728
62,-0.142267,1.34806,0.676567,-0.411781,-0.341173,-0.00769921,-0.453633,0.645294,0.0893181,-0.53042,-0.952296,-0.95054,-0.421505,0.126271
63,-0.137636,-0.085124,0.541592,1.74315,-0.498166,0.276692,0.784229,0.697151,0.251464,-0.207709,-1.23344,-1.30327,0.108524,-0.093355
64,-0.168898,2.05586,-0.356082,-0.283553,-0.185121,-0.279878,0.611006,1.51636,-0.684196,0.0154651,-0.264582,-0.854479,-0.495861,0.84329
65,-0.1581,0.773236,1.00556,0.247466,-0.30149,-0.303265,0.0412025,0.401447,0.0137111,-0.0962474,-1.20832,-0.562977,-0.570105,0.337046
66,-0.160489,1.32179,0.311007,0.0449192,-0.23582,-0.264114,0.214798,0.842025,-0.324559,-0.138703,-0.636143,-1.2762,0.409096,0.737678
67,-0.136798,0.63131,1.16934,0.444843,-0.884505,0.376846,0.980953,0.449759,-0.473023,-0.824232,-1.33138,-1.10593,-0.825783,0.846552
68,-0.148466,1.10881,0.040825,0.420982,-0.583955,0.397124,0.877022,1.21998,-0.109933,0.0679636,-1.25797,-0.978328,-0.332243,0.314932
69,-0.22914,1.35955,-0.541539,1.09242,-0.486443,-0.234704,-0.239422,1.60164,0.0804232,0.0391199,0.187475,-1.11872,-0.160339,0.72843
70,-0.151125,1.2343,-0.0464912,0.335278,-0.147844,0.0527705,0.0939245,1.36302,0.0653321,-0.155163,0.000539457,-1.24029,-0.295804,0.37392
71,-0.137936,1.0698,0.493201,0.237125,-0.482166,0.228834,0.255503,0.861465,-0.202377,-0.64427,-0.851741,-1.03732,0.690746,0.586838
72,-0.171936,0.870046,0.686335,0.452102,-0.720801,0.318199,0.495256,0.759624,-0.340456,-0.796854,-1.33017,-0.736376,-0.304305,0.443396
73,-0.172532,1.13974,0.806766,0.0850285,-0.764666,-0.0867248,0.0153545,0.855067,-0.133352,-0.590183,-1.62231,-0.90778,-0.644405,0.397274
74,-0.207798,0.0390476,0.967975,1.86454,-1.05532,-0.13851,0.43084,0.140673,0.296653,-0.47219,-1.00519,-0.787344,-0.281859,0.29634
75,-0.158247,0.865551,0.516152,0.522182,-0.560878,-0.0575799,-0.104604,0.547272,0.0866353,-0.296627,-0.959242,-0.961026,-0.348698,0.271559
76,-0.211697,1.43127,-0.122812,0.692583,-0.429107,-0.3932,-0.0749006,1.21983,-0.443231,-0.433814,0.22998,-1.69217,-0.0145029,0.0826303
77,-0.186369,1.02287,0.797322,0.321641,-0.977238,0.114451,-0.0311528,0.646876,-0.120747,-0.505552,-0.947829,-0.413536,-0.999849,-0.497239
78,-0.115478,1.25907,0.781481,-0.564946,-0.339105,0.564443,1.17302,0.617312,-0.321665,-0.478482,-1.6937,-0.341938,-0.973298,-0.0323451
base,-0.171955,0.8961,0.679944,0.462455,-0.581215,0.0221711,0.290572,0.590142,-0.0614938,-0.35157,-1.03149,-0.918417,-0.412839,0.41292
