real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
0,-0.166992,0.591073,0.987579,0.453703,-0.512763,-0.299736,-0.0170906,0.420593,-0.186049,-0.331564,-1.33244,-1.10185,-0.327934,0.56249
1,-0.150091,1.73865,0.320004,-0.638295,-0.347089,0.00138317,0.805506,0.720661,-0.350456,-0.527526,-0.821816,-1.01371,0.291591,0.63464
2,-0.168945,0.532906,1.80347,0.0926337,-0.969179,0.275449,0.0112468,-0.493289,-0.198242,-0.642592,-1.22574,-0.487375,-1.86868,-0.618927
3,-0.213614,0.982585,0.393455,1.14997,-0.634956,-0.531106,0.0198418,0.748924,0.118465,-0.813801,0.275038,-1.31375,-0.565511,0.598024
4,-0.172535,0.787752,1.14503,0.195634,-0.620982,0.0866112,0.586208,-0.0733605,-0.0969478,-0.174112,-1.01708,-0.568263,-0.865392,0.381033
5,-0.204291,0.885695,1.08821,0.629651,-0.971684,-0.186598,0.799813,0.286652,-0.251711,-0.938805,-1.09557,-0.775897,-0.20725,0.972485
6,-0.17049,1.08411,0.967017,0.151959,-0.868597,0.209696,0.0214723,0.388036,0.0189821,-0.785151,-0.994224,-0.48915,-0.899346,0.122337
7,-0.240063,1.39646,0.482647,0.537988,-0.69152,-0.294112,-0.230062,0.379549,0.0690201,-0.377903,-0.130965,-1.9923,-0.304788,-0.212168
8,-0.160886,1.6173,0.127198,-0.1069,-0.562473,-0.115222,-0.5108,1.3695,0.0461537,-0.469161,-0.309483,-1.16541,-0.336097,0.602019
9,-0.155327,0.512951,0.900848,0.893085,-0.690843,-0.0709071,0.257279,-0.220851,0.187556,-0.506815,-0.937335,-0.732428,0.434941,0.594891
10,-0.181559,1.09755,0.579492,0.0225107,-0.265914,-0.429154,0.342832,0.564337,-0.183332,0.000476334,-0.752247,-0.692381,0.126331,0.433486
11,-0.219213,0.960359,-0.219072,1.3575,-0.347744,-0.179687,0.889932,1.17149,-0.161803,0.255829,-0.162445,-1.30199,-0.0979295,0.683221
12,-0.177295,-0.745844,1.17548,2.57937,-0.709788,-0.0724163,0.0272865,0.106482,0.39467,-0.0967095,-0.496774,-1.31939,0.158013,0.622676
13,-0.173462,1.04432,0.561162,0.493433,-0.317464,-0.39261,0.140228,0.860876,0.108844,-0.345863,-0.357491,-0.886237,0.555167,0.179365
14,-0.191372,1.05185,0.84299,0.401904,-0.740976,-0.230516,-0.352209,0.498738,-0.0455529,-0.565186,-0.876427,-1.05008,-0.0643619,-0.19313
15,-0.13764,0.552275,1.22428,0.365287,-0.665008,0.159471,-0.131147,-0.188473,0.0859357,-0.701228,-1.22969,-1.49979,-0.98287,0.543901
16,-0.152466,0.32948,1.31904,1.04246,-0.746749,0.106089,-0.143163,0.129,0.0781666,-0.225423,-1.48806,-1.35401,0.313456,0.713834
17,-0.187665,0.178603,0.438403,1.77747,-0.737843,-0.358463,-0.320041,0.781829,0.138888,-0.387912,-0.373072,-0.940717,0.0189233,-0.210425
18,-0.160457,1.53104,-0.238479,0.239763,-0.550216,0.1889,0.16584,1.34307,0.0819311,-0.165455,-0.38815,-1.00785,-0.357935,0.384367
19,-0.175922,1.26988,0.870131,-0.368803,-0.818338,0.259748,-0.0806227,0.466116,-0.638653,-0.457298,-1.24321,-0.899034,-0.971172,0.469065
20,-0.1875,0.773233,1.03646,0.421805,-0.88991,0.0438247,0.581716,0.216245,-0.546676,-0.397053,-1.1561,-0.892812,-0.239876,1.04769
21,-0.151565,1.78459,0.31728,-0.660728,-0.380872,0.117616,-0.226451,1.07014,0.0153034,-0.888864,-0.738525,-0.570532,-0.490675,0.723559
22,-0.225734,-0.102613,1.54052,1.47855,-1.88508,0.330832,-0.777024,-0.0716768,-0.11379,-0.986594,-1.59295,-0.78943,0.411554,0.682607
23,-0.182228,0.462484,0.750465,1.41014,-0.945009,0.286426,0.0512958,0.395405,0.091701,-0.573801,-1.43606,-1.23366,-0.0951655,0.505851
24,-0.139198,1.17696,1.00457,-0.427746,-0.63664,0.164967,0.742376,-0.0507423,-0.550368,-0.686756,-1.49827,-0.768555,-1.18358,-0.24521
25,-0.182398,1.00303,0.549964,0.525313,-0.221071,-0.373328,0.706095,0.728922,-0.216997,-0.000666096,-0.565919,-0.4212,-1.01081,0.0920677
26,-0.185278,1.23156,0.246243,0.379974,-0.584126,-0.201283,0.393927,1.09664,-0.0888985,-0.408603,-0.5921,-0.686184,0.294756,1.46637
27,-0.137268,0.823864,0.891058,-0.0975146,-0.675113,0.256217,-0.12488,0.67796,0.0393089,-0.339715,-0.904084,-0.859827,-0.131111,0.401547
28,-0.2042,0.454814,1.97033,0.194889,-1.09942,0.164792,0.698267,-0.679668,-0.511001,-0.985292,-2.05394,-0.170803,-0.54078,0.626346
29,-0.173358,0.850269,0.782247,0.470412,-0.36055,-0.262988,0.069949,0.498501,0.107314,-0.040926,-0.768169,-1.0942,-0.832158,0.644091
30,-0.179777,0.688772,0.0807737,1.1147,-0.756399,0.104574,0.510322,1.13662,-0.276972,0.301858,-0.145803,-0.987591,0.600728,1.24549
31,-0.187551,0.259123,0.801857,1.31537,-0.754799,0.151425,0.476452,0.416963,0.376544,-0.297114,-1.63866,-0.645022,0.348037,0.328287
32,-0.136142,1.28808,0.437942,-0.196759,-0.381376,0.205714,0.34605,0.513541,-0.058516,-0.651589,-1.24496,-1.16895,-0.859909,0.816269
33,-0.139002,1.46056,0.750957,-0.943559,-0.234205,0.124641,0.270443,0.495075,-0.186975,-0.735823,-1.28915,-0.569853,-1.61622,-0.0818263
34,-0.150959,1.58998,0.133434,-0.35271,-0.124488,-0.264873,0.147797,0.996632,-0.0131736,-0.0552173,-0.419242,-1.35333,-0.986903,0.798015
35,-0.231018,0.399404,0.134854,2.27819,-0.617436,-0.469742,0.520145,1.29278,-0.113967,0.448451,-0.670745,-1.85228,1.37318,-0.372153
36,-0.171994,0.221662,1.01183,1.01939,-0.451544,-0.0278978,-0.133845,-0.128026,0.50153,-0.272254,-0.826791,-0.691928,-0.865584,-0.232472
37,-0.174982,0.832541,0.63052,0.687451,-0.454493,-0.00199707,0.549501,0.700069,-0.0289401,-0.0333855,-0.69885,-0.896087,-0.353601,0.740122
38,-0.176415,1.11505,0.926102,-0.222789,-0.573854,0.08089,-0.360619,0.417707,-0.199415,-0.308449,-0.944408,0.0579831,-0.0663996,0.582528
39,-0.167552,1.01903,0.874352,0.273247,-0.158045,-0.309649,0.0661073,0.0456122,-0.229655,-0.525009,-0.744287,-1.49121,-0.238934,0.456208
40,-0.176891,0.449193,1.8793,0.247607,-0.974003,0.0351025,-0.198832,-0.322208,0.0175887,-0.780496,-1.59118,-0.160708,0.0580226,-0.254382
41,-0.204137,1.11081,-0.235763,0.978444,-0.321267,-0.475271,-0.571137,1.53682,-0.00440312,-0.100096,0.428141,-0.830957,-0.219909,0.26253
42,-0.171948,1.75243,0.497875,-0.790613,-0.373726,-0.0602949,-0.107284,0.802139,-0.014166,-0.442476,-1.35446,-0.838308,-0.559777,0.212437
43,-0.15089,1.48353,0.281544,-0.286227,-0.252689,-0.124817,-0.194947,0.900589,0.196151,-0.382447,-0.578488,-1.15594,-0.378548,-0.0102645
44,-0.189734,0.463868,1.41621,0.787885,-0.866667,0.0203531,0.178336,-0.28213,0.0352159,-0.531898,-0.726974,-0.86552,-0.32129,0.210666
45,-0.127389,1.51798,0.274314,-0.398267,-0.26133,-0.139119,-0.356352,0.930218,-0.0333088,-0.231195,-0.286294,-1.05946,-0.985455,0.565058
46,-0.189953,0.74789,0.977194,0.529843,-0.491344,-0.0413136,0.129283,0.0157118,0.206629,-0.490852,-0.887506,-0.699752,-0.328394,-0.170276
47,-0.241149,0.228568,0.59203,1.88782,-1.07934,-0.302749,-0.386926,0.468222,0.10685,0.0313687,-0.466556,-1.27614,0.496387,-0.0339962
48,-0.165165,1.42144,0.736453,-0.131292,-0.525293,-0.2098,-0.176695,0.68228,0.160784,-0.359944,-0.398733,-0.869213,-0.838824,-0.220197
49,-0.178236,1.47363,0.174748,-0.0338717,-0.116498,-0.202021,-0.250422,0.926803,0.104832,-0.278128,-0.508203,-0.76395,0.166359,0.0516373
50,-0.166733,1.24275,0.371358,-0.0158288,-0.508261,-0.157587,0.00887461,0.95492,-0.0266054,-0.756727,-1.02757,-1.38029,0.0831687,0.0559829
51,-0.194774,0.737399,0.738131,0.441319,-0.580392,-0.0298025,0.571919,0.32005,-0.420834,-0.306111,-0.865552,-0.466382,-0.27582,0.312074
52,-0.169424,1.40472,0.258675,0.391137,-0.379801,0.00976474,0.753277,0.583648,-0.36907,-0.0247197,-0.674385,-0.755134,-0.353172,0.364361
53,-0.183097,0.336476,1.74522,0.555029,-0.989881,0.117899,-0.104359,-0.325621,-0.075197,-0.486048,-1.11773,-0.0651805,-0.68634,-0.0670545
54,-0.181165,1.55585,1.17391,-0.634598,-0.834979,0.11037,0.421555,0.355927,-0.460165,-0.789128,-1.80934,-0.605585,-0.805299,0.987456
55,-0.184102,1.09845,0.138801,0.614697,-0.572344,0.066124,-0.0504115,1.27857,-0.0322267,-0.450516,-1.2997,-1.36013,0.265502,-0.10936
56,-0.194104,0.787743,0.805157,0.836814,-0.954398,0.137556,-0.399763,0.511013,0.0391132,-0.630298,-0.964164,-1.06567,-0.146221,-0.0804755
