real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
0,-0.18227,0.602583,0.807285,0.648674,-0.958356,0.21079,0.355387,0.497027,-0.635596,-0.404052,-1.61698,-0.969012,-0.0792872,0.482611
1,-0.150559,1.56089,-0.0609139,-0.354348,0.32234,-0.436186,-0.42483,-0.200362,0.195514,-0.876825,0.855814,0.0976209,0.84832,-0.481762
2,-0.189254,0.27388,1.46321,0.647896,-0.843421,0.366561,0.560193,-0.547799,-0.0131552,-0.383597,0.484301,1.68458,-1.36682,-0.401705
3,-0.23278,1.03858,0.273434,0.813956,-0.928596,-0.450361,-0.618576,0.266302,-0.221674,-0.0997989,1.24581,-0.75355,2.19306,1.35234
4,-0.198317,0.80137,1.23552,-0.253687,-0.728006,-0.282837,0.399708,0.0866158,-0.21914,-0.567158,0.213737,-1.16008,-0.143767,0.461101
5,-0.206299,0.912526,1.07848,0.361563,-0.910412,-0.369245,0.322666,0.20599,-0.0932093,-1.0215,-0.65727,-0.814571,0.879449,0.959389
6,-0.109497,0.99766,0.0432549,-0.206653,-1.37645,1.5954,-0.372112,0.949623,0.63764,-0.196584,-0.432534,0.590184,0.376693,0.0664453
7,0.138707,1.87582,0.9519,0.329718,-0.426133,-0.328587,-0.898753,-0.241038,0.629264,0.485101,0.0916405,-0.654184,-1.4242,-0.538138
8,-0.0874029,1.37341,-0.421251,-0.512966,-0.282466,0.28992,-1.03546,1.5069,0.467838,0.0223756,0.941958,-1.14616,-1.60118,-0.0587167
9,-0.0676802,0.297014,0.19733,0.65642,0.0440132,1.24207,-0.523968,-0.301045,1.34599,-0.74749,-0.651158,-1.02511,2.02985,1.11436
10,-0.215532,0.886809,0.403256,0.650362,-0.203118,-0.948116,0.250139,-0.375243,-0.034868,-1.54309,-0.621868,-0.379289,0.651412,1.03189
11,-0.225972,1.19015,-0.0854396,1.10513,0.23707,-0.889917,0.351119,0.690245,1.08146,0.782394,1.29588,-1.35985,-0.280021,0.0210408
