iteration,total_runs,obs_realization,par_realization,heads,time,distance
0,100,0,0,3021.16,0,0
0,100,1,1,6375.21,0,0
0,100,2,2,3690.71,0,0
0,100,3,3,105710,0,0
0,100,4,4,4181.71,0,0
0,100,5,5,5027.66,0,0
0,100,6,6,16511,0,0
0,100,7,7,5361.09,0,0
0,100,8,8,661.118,0,0
0,100,9,9,4561.69,0,0
0,100,10,10,2862.91,0,0
0,100,11,11,2314.92,0,0
0,100,12,12,6332.33,0,0
0,100,13,13,105703,0,0
0,100,14,14,29756.7,0,0
0,100,15,15,4944.75,0,0
0,100,16,16,2616.28,0,0
0,100,17,17,1962.93,0,0
0,100,18,18,4549.97,0,0
0,100,19,19,8823.22,0,0
0,100,20,20,2294.03,0,0
0,100,21,21,854.802,0,0
0,100,22,22,2114.94,0,0
0,100,23,23,7980.92,0,0
0,100,24,24,18615.6,0,0
0,100,25,25,3309.14,0,0
0,100,26,26,858.852,0,0
0,100,27,27,2412.09,0,0
0,100,28,28,3392.55,0,0
0,100,29,29,8360.58,0,0
0,100,30,30,5048.95,0,0
0,100,31,31,4953.71,0,0
0,100,32,32,1436.33,0,0
0,100,33,33,355.957,0,0
0,100,34,34,2904.1,0,0
0,100,35,35,4788.03,0,0
0,100,36,36,4475.34,0,0
0,100,37,37,10767.4,0,0
0,100,38,38,2764.03,0,0
0,100,39,39,660.403,0,0
0,100,40,40,208.508,0,0
0,100,41,41,33926.4,0,0
0,100,42,42,42399.8,0,0
0,100,43,43,4844.36,0,0
0,100,44,44,42265,0,0
0,100,45,45,13920.1,0,0
0,100,46,46,3710.76,0,0
0,100,47,47,1053.79,0,0
0,100,48,48,9782.77,0,0
0,100,49,49,11216.2,0,0
0,100,50,50,3727.05,0,0
0,100,51,51,947.907,0,0
0,100,52,52,6695.38,0,0
0,100,53,53,5897.01,0,0
0,100,54,54,2649.24,0,0
0,100,55,55,11524.2,0,0
0,100,56,56,33639.8,0,0
0,100,57,57,777.861,0,0
0,100,58,58,10484.8,0,0
0,100,59,59,8279.04,0,0
0,100,60,60,3252.15,0,0
0,100,61,61,637.984,0,0
0,100,62,62,337768,0,0
0,100,63,63,5356.4,0,0
0,100,64,64,2792.26,0,0
0,100,65,65,942.896,0,0
0,100,66,66,1621.79,0,0
0,100,67,67,9074.65,0,0
0,100,68,68,22244.4,0,0
0,100,69,69,5670.72,0,0
0,100,70,70,31190.3,0,0
0,100,71,71,644.584,0,0
0,100,72,72,3785.42,0,0
0,100,73,73,49736.6,0,0
0,100,74,74,13052.2,0,0
0,100,75,75,4771.86,0,0
0,100,76,76,507.142,0,0
0,100,77,77,25117.3,0,0
0,100,78,78,10182.6,0,0
0,100,79,79,1674.54,0,0
0,100,80,80,9180.36,0,0
0,100,81,81,96909.4,0,0
0,100,82,82,3127.1,0,0
0,100,83,83,289.71,0,0
0,100,84,84,3438.72,0,0
0,100,85,85,5903.56,0,0
0,100,86,86,7183.69,0,0
0,100,87,87,18830.3,0,0
0,100,88,88,21596.8,0,0
0,100,89,89,4880.02,0,0
0,100,90,90,897.687,0,0
0,100,91,91,148671,0,0
0,100,92,92,1054.09,0,0
0,100,93,93,727.507,0,0
0,100,94,94,560.408,0,0
0,100,95,95,1724.07,0,0
0,100,96,96,1974.98,0,0
0,100,97,97,1997.33,0,0
0,100,98,98,948.697,0,0
0,100,base,base,238.897,0,0
