real_name,well01_1,well02_1,well03_1,well04_1,well05_1,well06_1,well07_1,well08_1,well09_1,well10_1,well11_1,well12_1,part_time,part_east
0,5.74791,5.67351,5.29805,3.95652,3.78291,4.05297,2.71204,3.34811,2.87849,1.00146,1.27185,1.08742,0,0
1,5.60738,5.67621,5.4977,4.03203,4.01507,4.10076,2.61863,3.19746,2.92099,1.22779,0.969136,1.19589,0,0
2,5.63657,5.77179,5.45829,4.00307,3.7965,4.04222,2.71925,3.21407,2.98298,1.14995,1.15608,1.41665,0,0
3,5.71706,5.86653,5.47868,4.04691,4.04745,4.29048,2.59581,3.26449,3.04111,1.04156,1.25675,1.25946,0,0
4,5.75911,5.79656,5.39787,4.01744,3.80376,4.13064,2.52031,3.4023,2.97937,0.96226,1.31069,1.01929,0,0
5,5.76041,5.63313,5.47341,4.18868,4.22315,4.10162,2.54813,3.27593,2.98327,1.13866,1.23359,1.27769,0,0
6,5.75643,5.64807,5.592,4.19741,3.99191,4.26896,2.4835,3.22931,3.04785,0.948108,1.21986,1.18474,0,0
7,5.63475,5.65866,5.5748,4.07188,4.05472,4.01071,2.53634,3.31803,2.97986,1.14173,1.23693,1.26747,0,0
8,5.75665,5.85552,5.59205,4.12729,3.87629,4.26001,2.68315,3.24787,3.06572,1.19639,1.2595,1.08101,0,0
9,5.90243,5.61804,5.39375,4.05081,3.95002,4.17033,2.66868,3.32147,2.86643,1.06118,1.22641,1.05359,0,0
10,5.73615,5.87834,5.64872,4.10917,3.91289,4.08109,2.66096,3.18333,2.88284,1.11506,1.20436,1.04876,0,0
11,5.63026,5.89058,5.43964,4.2028,3.95305,4.1083,2.65682,3.29666,2.93674,1.02185,1.34005,1.16584,0,0
12,5.66097,5.65465,5.51457,4.19322,3.98412,3.97005,2.63856,3.18583,3.05923,1.10777,1.10681,1.2341,0,0
13,5.80898,5.89448,5.3994,4.0251,3.70152,4.05822,2.53779,3.36358,2.91445,1.14768,1.05477,1.24887,0,0
14,5.71695,5.75115,5.41706,4.142,3.86079,4.08423,2.47827,3.34203,3.04811,1.24778,1.16749,1.05042,0,0
15,5.85608,5.72584,5.39056,4.09737,3.97964,3.96964,2.5945,3.35224,3.045,1.06673,1.28296,1.25101,0,0
16,5.7977,5.76803,5.48386,4.09906,3.83816,4.11987,2.60854,3.49142,3.09141,1.27007,1.15313,1.33638,0,0
17,5.67639,5.83551,5.46241,4.04433,3.83885,3.90399,2.46927,3.20831,3.0442,1.06519,1.14893,1.2168,0,0
18,5.71465,5.75615,5.54352,4.08815,3.89309,4.10191,2.53907,3.30626,2.93128,1.21873,1.27958,1.27324,0,0
base,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
